Nome,MT INSS RECEIVABLES III RESPONSABILI
Grupo,FIDC INSS MT
CNPJ,44.173.467/0001-09
Páginas locais analisadas,364
Última competência IME,—
PL (R$ mm),—
Direitos creditórios / PL,—
Vencidos Over 30d / crédito,—
Vencidos Over 60d / crédito,—
Vencidos Over 90d / crédito,—
Vencidos Over 180d / crédito,—
Vencidos Over 360d / crédito,—
PDD / crédito,—
PDD / vencidos,—
Cotas sênior / PL,—
Cotas mezanino / PL,—
Cotas subordinadas / PL,—
Séries/classes emitidas identificadas,4
Volume emitido identificado (R$ mm),168
Primeira emissão identificada,14/06/2022
Última emissão identificada,30/12/2025
"Emissões detectadas (data, classe, preço e volume)","14/06/2022 · Classe/série não identificada: R$ 165 mm
23/09/2022 · Classe/série não identificada: Rem DI + 4,45% a.a.
23/09/2022 · Cotas Subordinadas Júnior do Fundo · Subordinada: R$ 2 mm
10/05/2023 · Cotas Subordinadas Júnior · Subordinada: R$ 1 mm
18/11/2024 · Cotas Seniores serão colocados à disposição do Fundo · Sênior: Rem DI + 4,6% a.a.
28/11/2024 · Classe/série não identificada: Rem DI + 4,45% a.a.
30/12/2025 · Cotas Subordinadas Júnior sem a necessidade de aprovação em assemble · Subordinada: termos econômicos não identificados"
Remuneração-alvo por emissão detectada,"23/09/2022 · Classe/série não identificada: DI + 4,45% a.a.
18/11/2024 · Cotas Seniores serão colocados à disposição do Fundo · Sênior: DI + 4,6% a.a.
28/11/2024 · Classe/série não identificada: DI + 4,45% a.a."
Amortização/vencimento por emissão detectada,—
Regulamento-base dos thresholds,28/11/2024 · 791513_regulamento_regulamento_791513_2024-11-28.pdf
Alocação mínima em DCs,—
Subordinação mínima,>= 10%
Evento de avaliação por atraso,—
Liquidação/vencimento por atraso,—
Cobertura mínima PDD,—
Reserva/caixa mínimo,—
Limite de recompra,—
Limite de cancelamento,—
Limite de chargeback/contestação,—
Limites de concentração,>= 67%
Hedges permitidos,texto; Regra textual de derivativos/hedge; verificar observação e fonte.
Cross default do cedente,—
Troca de gestor/administrador,—
Critérios de elegibilidade,>=; <=; texto; texto 40%; +1
