ordem;fidc;cnpj_fundo;cedente;total_brl
1;30E FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS – RESPONSABILIDADE LIMITADA;40211693000186;30E PARTICIPAÇÕES E PRODUÇÕES ARTÍSTICAS S.A.;582794683.30
2;AFINITY MF FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS – RESPONSABILIDADE LIMITADA;22358482000199;CREFAZ SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE S.A.;1668953204.88
3;COBUCCIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE CLASSE ÚNICA FECHADA DE RESPONSABILIDADE LIMITADA;32526025000110;COBUCCIO S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTOS;1759550198.61
4;FOR-TE FIDC;06182371000118;TEL TELECOMUNICAÇÕES LTDA.;977835561.91
5;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITO CONSIGNADO PRIVADO PAKITÁ DE RESPONSABILIDADE LIMITADA;53841740000117;QI SOCIEDADE DE CRÉDITO DIRETO S.A.;1918531934.02
6;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CASH FLOW MULTISSEGMENTOS;97533979000103;RQ INDÚSTRIA E COMÉRCIO DE CONFECÇÕES LTDA.;590129661.12
7;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MONEE I DE RESPONSABILIDADE LIMITADA;42922136000107;MAREE SOCIEDADE DE CRÉDITO DIRETO S.A. | MONEE I FIDC SEGMENTO FINANCEIRO | QI SOCIEDADE DE CRÉDITO DIRETO S.A.;5751418460.99
8;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TURBI I DE RESPONSABILIDADE LIMITADA;49936440000144;TURBI COMPARTILHAMENTO DE VEÍCULOS S/A;590453123.13
9;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS XPCE INFRA;31216543000174;ARAPUA PARTICIPAÇÕES S.A.;647834872.81
10;JEFER BANKING FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESP. LIMITADA;54029281000134;BWT COMÉRCIO, IMPORTAÇÃO E EXPORTAÇÃO LTDA.;415133268.20
11;KYKLOS N FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;32400342000195;LATASA GARIMPEIRO URBANO COM. METAIS LTDA | LATASA METAIS LTDA;608534520.92
12;LF III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;31739396000117;LISTO INSTITUIÇÃO DE PAGAMENTO LTDA;1385981646.72
13;MULTIPLICA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;23216398000101;Q DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;1993263958.67
14;RED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS REAL LP DE RESPONSABILIDADE LIMITADA;17250006000110;BMP SOCIEDADE DE CRÉDITO DIRETO S.A.;3394314559.41
15;RESIDENCE CLUB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;43193260000133;HRH FORTALEZA EMPREENDIMENTO HOTELEIRO S.A. | HRH ILHA DO SOL EMPREENDIMENTOS IMOBILIÁRIOS SPE S/A;403404357.91
16;ROQDEAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;46285232000134;VENTISOL DA AMAZÔNIA INDÚSTRIA DE APARELHOS ELÉTRICOS LTDA | VENTISOL INDÚSTRIA E COMÉRCIO S.A.;511432466.92
