offer_id,rating_agency,rating_assigned,rating_scope,rating_source_type,rating_source_url,latest_document_id,latest_document_date,rating_match_status,rating_evidence,rating_limitation
3483,S&P Global Ratings,brAAA (sf),1ª série de cotas seniores,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=725548&cvm=true,725548,23/08/2024,vínculo por fundo e série,"Relatório identifica a 1ª série sênior do ACR IV, correspondente à oferta.",Rating aplicável somente à série indicada.
2925,Austin Rating,brAA+(sf) | brA(sf) | brBBB-(sf),Sênior | subordinada mezanino | subordinada júnior,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=862398&cvm=true,862398,30/09/2024,vínculo por fundo e subclasses,Relatório e oferta identificam as mesmas subclasses.,Notas apresentadas na ordem das subclasses indicadas.
3865,S&P Global Ratings,brAAA (sf),2ª série de cotas seniores,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=845820&cvm=true,845820,31/12/2024,vínculo por fundo e série,Relatório identifica a 2ª série sênior correspondente à oferta.,Rating aplicável somente à série indicada.
2036,Fitch Ratings,AA+sf(bra) | BBBsf(bra),Sênior | mezanino A,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1092921&cvm=true,1092921,30/09/2025,vínculo por fundo e subclasses,Relatório identifica as cotas sênior e mezanino A da oferta.,Cota mezanino B da oferta sem rating verificado.
15612,S&P Global Ratings,brAAA (sf),1ª série de cotas seniores,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1192923&cvm=true,1192923,31/03/2026,vínculo por fundo e série,Relatório identifica a 1ª série sênior correspondente à oferta.,Rating aplicável somente à série indicada.
3794,Liberum Ratings,CCC(FE),Cota única,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=617829&cvm=true,617829,29/12/2023,vínculo por fundo e classe,Relatório identifica a cota única da emissão.,Perspectiva estável no documento.
4203,Austin Rating,brAAA(sf),Cotas seniores da 1ª série da 2ª emissão,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1245715&cvm=true,1245715,05/06/2026,vínculo por fundo emissão e série,Relatório identifica a 1ª série da 2ª emissão correspondente à oferta.,Rating aplicável somente à série indicada.
17739,Moody's Local,AAA.br(sf) | BBB.br(sf),Sênior série 1 | mezanino série 1,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1204281&cvm=true,1204281,15/05/2026,vínculo por fundo e subclasses,Relatório identifica as subclasses e séries da oferta.,Notas apresentadas na ordem das subclasses indicadas.
16416,S&P Global Ratings,brAAA (sf),1ª série de cotas seniores,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1185561&cvm=true,1185561,06/05/2026,vínculo por fundo e série,Relatório identifica a 1ª série sênior correspondente à oferta.,Rating aplicável somente à série indicada.
18122,Austin Rating,brAA(sf),1ª série de cotas seniores,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1048523&cvm=true,1048523,25/11/2025,vínculo por fundo e série,Relatório identifica a 1ª série sênior correspondente à oferta.,Cota mezanino da oferta sem rating verificado.
14966,Moody's Local,AAA.br(sf),Sênior série 1,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1048510&cvm=true,1048510,26/11/2025,vínculo por fundo e série,Relatório identifica a série sênior correspondente à oferta.,Rating aplicável somente à série indicada.
20185,Moody's Local,AAA.br(sf) | AA+.br(sf),Sênior séries 1 e 2 | mezanino 1 série 1,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1204286&cvm=true,1204286,15/05/2026,vínculo por fundo e subclasses,Relatório identifica as subclasses e séries da oferta.,Cota mezanino 2 da oferta sem rating verificado.
20351,Moody's Local,AAA.br(sf),Sênior série 1,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1199880&cvm=true,1199880,13/05/2026,vínculo por fundo e série,Relatório identifica a série sênior correspondente à oferta.,Rating aplicável somente à série indicada.
20694,Austin Rating,brAAA(sf),5ª série sênior da 3ª emissão,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1245798&cvm=true,1245798,05/06/2026,vínculo por fundo emissão e série,Relatório e registro da oferta identificam a 5ª série sênior da 3ª emissão.,Rating aplicável somente à série indicada.
22987,Moody's Local,AAA(br),Cotas seniores da 1ª série,SRE/CVM,https://web.cvm.gov.br/sre-publico-cvm/rest/download/aaf335ad-f778-4103-9b2d-93a3cea6f2b8,aaf335ad-f778-4103-9b2d-93a3cea6f2b8,02/12/2025,vínculo por oferta e série,Comunicado da oferta identifica as cotas seniores da 1ª série.,Documento público localizado no SRE/CVM.
24947,Moody's Local,(P) AAA.br(sf) | (P) AA+.br(sf) | (P) BBB.br(sf),Sênior | mezanino A | mezanino B,SRE/CVM,https://web.cvm.gov.br/sre-publico-cvm/rest/download/68e86224-61b6-4cc6-b2cb-b6b2684d34cc,68e86224-61b6-4cc6-b2cb-b6b2684d34cc,03/03/2026,vínculo por oferta e subclasses,Anúncio de início da oferta identifica as três subclasses e ratings preliminares.,Ratings provisórios conforme marcador (P) do documento.
24433,Austin Rating,brAAA(sf),1ª série sênior da 1ª emissão,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1242099&cvm=true,1242099,01/07/2026,vínculo por fundo emissão e série,Relatório identifica a 1ª série sênior da 1ª emissão correspondente à oferta.,Rating aplicável somente à série indicada.
24371,Fitch Ratings,AAAsf(bra),2ª série sênior,SRE/CVM,https://web.cvm.gov.br/sre-publico-cvm/rest/download/2526e816-d7bc-415a-a590-ccb79c46b209,2526e816-d7bc-415a-a590-ccb79c46b209,23/01/2026,vínculo por oferta e série,Anúncio de encerramento identifica a 2ª série sênior e o rating.,Documento público localizado no SRE/CVM.
25826,Moody's Local,AAA.br(sf),1ª série sênior da 1ª emissão,SRE/CVM,https://web.cvm.gov.br/sre-publico-cvm/rest/download/0e689a5a-9239-4702-b118-d73308949308,0e689a5a-9239-4702-b118-d73308949308,27/04/2026,vínculo por oferta emissão e série,Anúncio de encerramento identifica a 1ª série sênior da 1ª emissão e o rating.,Documento público localizado no SRE/CVM.
26277,Moody's Local,(P) AAA.br(sf),Cotas seniores da 1ª emissão,SRE/CVM,https://web.cvm.gov.br/sre-publico-cvm/rest/download/9ce78c31-6bb2-4912-a374-952ab07be210,9ce78c31-6bb2-4912-a374-952ab07be210,18/05/2026,vínculo por oferta e emissão,Anúncio de encerramento identifica as cotas seniores da 1ª emissão e rating preliminar.,Rating provisório conforme marcador (P) do documento.
24266,Moody's Local,br_Aa (AA),Cotas seniores,SRE/CVM,https://web.cvm.gov.br/sre-publico-cvm/rest/download/0847e467-a14a-47f1-8dc7-5707df123e46,0847e467-a14a-47f1-8dc7-5707df123e46,08/06/2026,vínculo por oferta e subclasse,Anúncio de encerramento identifica as cotas seniores e o rating.,Cotas mezanino da oferta sem rating verificado.
26532,Fitch Ratings,AAA(EXP)sf(bra) | AA+(EXP)sf(bra),Sênior | mezanino A,SRE/CVM,https://web.cvm.gov.br/sre-publico-cvm/rest/download/cceb5997-7bdc-4ed2-840b-d1ba4e58b019,cceb5997-7bdc-4ed2-840b-d1ba4e58b019,25/06/2026,vínculo por oferta e subclasses,Anúncio de encerramento identifica as subclasses e ratings esperados.,Ratings esperados conforme marcador EXP do documento.
24712,Moody's Local,AAA.br(sf),2ª série sênior da 2ª emissão,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1195766&cvm=true,1195766,31/03/2026,vínculo por fundo emissão e série,Relatório identifica a 2ª série sênior da 2ª emissão correspondente à oferta.,Rating aplicável somente à série indicada.
