role,participant,pl_brl_current,pl_dated_brl_current,vehicles_current,funds_current,share_current,dated_coverage_current,rank_current,pl_brl_previous,pl_dated_brl_previous,vehicles_previous,funds_previous,share_previous,dated_coverage_previous,rank_previous,delta_pl_brl,delta_share_pp,delta_rank,competencia_current,competencia_previous,history_quality
administrador,FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,10139078076.08,10139078076.08,88.0,88.0,0.010577674361255235,1.0,22.0,6188362477.22,6188362477.22,31.0,31.0,0.007907439882284116,1.0,23.0,3950715598.8599997,0.26702344789711185,1.0,2026-05,2025-05,alta
administrador,SEFER INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,8008728255.19,8008728255.19,25.0,25.0,0.00835516985819838,1.0,23.0,12347451299.79,12347451299.79,27.0,27.0,0.01577747412371708,1.0,15.0,-4338723044.600001,-0.7422304265518702,-8.0,2026-05,2025-05,alta
administrador,S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,7915269947.64,7915269947.64,13.0,13.0,0.008257668730758581,1.0,24.0,6771895288.95,6771895288.95,14.0,14.0,0.008653073423480307,1.0,21.0,1143374658.6900005,-0.03954046927217257,-3.0,2026-05,2025-05,alta
administrador,CATALISE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,7177237789.43,7177237789.43,78.0,78.0,0.007487710774117812,1.0,25.0,4565690206.67,4565690206.67,55.0,55.0,0.00583400228465526,1.0,28.0,2611547582.76,0.16537084894625523,3.0,2026-05,2025-05,alta
administrador,QORE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,6701330238.14,6701330238.14,40.0,40.0,0.006991216411826221,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6701330238.14,0.6991216411826221,-26.0,2026-05,2025-05,alta
administrador,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",6694362068.5199995,6694362068.5199995,15.0,15.0,0.006983946813093349,1.0,27.0,4803016680.06,4803016680.06,70.0,70.0,0.006137256146676764,1.0,27.0,1891345388.459999,0.08466906664165849,0.0,2026-05,2025-05,alta
administrador,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,6405709837.68,6405709837.68,54.0,54.0,0.006682808062748915,1.0,28.0,12664929313.23,12664929313.23,100.0,100.0,0.0161831449800163,1.0,14.0,-6259219475.549999,-0.9500336917267385,-14.0,2026-05,2025-05,alta
administrador,BANCO FINAXIS S.A,5337533438.6,5337533438.6,17.0,17.0,0.0055684244841765675,1.0,29.0,5228370960.1,5228370960.1,17.0,17.0,0.006680770430216198,1.0,24.0,109162478.5,-0.11123459460396301,-5.0,2026-05,2025-05,alta
administrador,RJI CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA,3951789316.1,3951789316.1,18.0,18.0,0.004122735836171256,1.0,30.0,5212798922.83,5212798922.83,10.0,10.0,0.0066608726060324195,1.0,25.0,-1261009606.73,-0.25381367698611634,-5.0,2026-05,2025-05,alta
administrador,MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,3195698423.1,3195698423.1,81.0,80.0,0.003333937959909437,1.0,31.0,1779679377.41,1779679377.41,49.0,48.0,0.002274060018044109,1.0,33.0,1416019045.6899998,0.10598779418653283,2.0,2026-05,2025-05,alta
administrador,BANCO J. SAFRA S.A,2956263542.31,2956263542.31,4.0,4.0,0.0030841456039655945,1.0,32.0,1919853143.0900002,1919853143.0900002,3.0,3.0,0.0024531729302673623,1.0,31.0,1036410399.2199998,0.06309726736982323,-1.0,2026-05,2025-05,alta
administrador,OSLO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,2397272549.62,2397272549.62,21.0,21.0,0.0025009737763909455,1.0,33.0,1779832365.5100002,1779832365.5100002,17.0,17.0,0.00227425550500983,1.0,32.0,617440184.1099997,0.022671827138111538,-1.0,2026-05,2025-05,alta
administrador,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,2345324337.75,2345324337.75,63.0,63.0,0.002446778388537418,1.0,34.0,1102219225.54,1102219225.54,36.0,36.0,0.0014084068758316623,1.0,36.0,1243105112.21,0.10383715127057558,2.0,2026-05,2025-05,alta
administrador,AZUMI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2082665554.33,2082665554.33,95.0,95.0,0.002172757510278792,1.0,35.0,1340590069.85,1340590069.85,63.0,63.0,0.001712995226628687,1.0,35.0,742075484.48,0.045976228365010474,0.0,2026-05,2025-05,alta
administrador,CAIXA ECONOMICA FEDERAL,1865099983.25,1865099983.25,4.0,4.0,0.001945780486743086,1.0,36.0,1426885263.8100002,1426885263.8100002,3.0,3.0,0.0018232625325404915,1.0,34.0,438214719.4399998,0.012251795420259448,-2.0,2026-05,2025-05,alta
administrador,FINVEST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1047476681.53,1047476681.53,33.0,33.0,0.001092788432547146,1.0,37.0,2979023854.8399997,2979023854.8399997,7.0,7.0,0.003806572760847689,1.0,30.0,-1931547173.3099997,-0.2713784328300543,-7.0,2026-05,2025-05,alta
administrador,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,958433386.06,958433386.06,8.0,8.0,0.0009998933017998303,1.0,38.0,693543643.85,693543643.85,5.0,5.0,0.0008862044991178004,1.0,37.0,264889742.20999992,0.011368880268202992,-1.0,2026-05,2025-05,alta
administrador,INTEGRAL ACCESS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,889201023.08,889201023.08,4.0,4.0,0.0009276660849495788,1.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,889201023.08,0.09276660849495788,-39.0,2026-05,2025-05,alta
administrador,WNT CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,686294323.12,686294323.12,21.0,21.0,0.000715982046046941,1.0,40.0,207266848.47,207266848.47,12.0,12.0,0.0002648439146705063,1.0,41.0,479027474.65,0.04511381313764347,1.0,2026-05,2025-05,alta
administrador,BR-CAPITAL DTVM S.A,640384800.38,640384800.38,1.0,1.0,0.000668086568965053,1.0,41.0,509313725.99,509313725.99,1.0,1.0,0.0006507969893995714,1.0,38.0,131071074.38999999,0.0017289579565481629,-3.0,2026-05,2025-05,alta
administrador,LASTRO RDV DTVM LTDA,639716187.72,639716187.72,8.0,8.0,0.0006673890334555891,1.0,42.0,294704425.69,294704425.69,5.0,5.0,0.00037657094873886715,1.0,40.0,345011762.03000003,0.029081808471672195,-2.0,2026-05,2025-05,alta
administrador,SANTANDER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,507114261.73,507114261.73,1.0,1.0,0.0005290510127526484,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507114261.73,0.05290510127526484,-43.0,2026-05,2025-05,alta
administrador,INTRA INVESTIMENTOS DTVM LTDA,444284369.98,444284369.98,26.0,26.0,0.0004635032252617601,1.0,44.0,339486820.43,339486820.43,17.0,17.0,0.0004337935331454524,1.0,39.0,104797549.55000001,0.0029709692116307676,-5.0,2026-05,2025-05,alta
administrador,BARU DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,344831175.65000004,344831175.65000004,10.0,10.0,0.0003597478842025761,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344831175.65000004,0.035974788420257614,-45.0,2026-05,2025-05,alta
administrador,LIONS TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,182357206.23,182357206.23,4.0,4.0,0.0001902456150801205,1.0,46.0,10380869.07,10380869.07,1.0,1.0,1.326459114168813e-05,1.0,45.0,171976337.16,0.01769810239384324,-1.0,2026-05,2025-05,alta
administrador,ATIVA INVESTIMENTOS S.A. C.T.C.V,98331024.33999999,98331024.33999999,4.0,4.0,0.00010258462823469194,1.0,47.0,29526.93,29526.93,1.0,1.0,3.772927405963762e-08,1.0,48.0,98301497.40999998,0.01025468989606323,1.0,2026-05,2025-05,alta
administrador,BANCO BNP PARIBAS BRASIL S/A,78056259.53,78056259.53,1.0,1.0,8.143281755703595e-05,1.0,48.0,65171678.98,65171678.98,1.0,1.0,8.327584808725945e-05,1.0,44.0,12884580.550000004,-0.0001843030530223507,-4.0,2026-05,2025-05,alta
administrador,DILLON S/A DTVM,67371559.23,67371559.23,2.0,2.0,7.028591844323585e-05,1.0,49.0,66004334.440000005,66004334.440000005,2.0,2.0,8.43398085480183e-05,1.0,43.0,1367224.789999999,-0.0014053890104782452,-6.0,2026-05,2025-05,alta
administrador,BFL ADMINISTRACAO DE RECURSOS LTDA,38424092.17,38424092.17,1.0,1.0,4.0086241722507294e-05,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38424092.17,0.00400862417225073,-50.0,2026-05,2025-05,alta
administrador,MERITO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,15993991.42,15993991.42,3.0,3.0,1.66858595730312e-05,1.0,51.0,2413417.44,2413417.44,1.0,1.0,3.0838454256527523e-06,1.0,46.0,13580573.98,0.0013602014147378447,-5.0,2026-05,2025-05,alta
administrador,HEDGE INVESTMENTS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151250505.09,151250505.09,2.0,2.0,0.00019326668089771691,1.0,42.0,-151250505.09,-0.019326668089771692,42.0,2026-05,2025-05,alta
administrador,SICOOB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150599.47,150599.47,1.0,1.0,1.9243479348737488e-07,1.0,47.0,-150599.47,-1.9243479348737487e-05,47.0,2026-05,2025-05,alta
custodiante,BTG PACTUAL,145656936481.02,145656936481.02,429.0,426.0,0.15195776489670174,1.0,1.0,95696424528.98,34614403674.71,321.0,321.0,0.12228012284315755,0.3617105220501486,2.0,49960511952.03999,2.9677642053544186,1.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,QI TECH + SINGULARE,138779724251.94,138779724251.94,796.0,796.0,0.14478305818997764,1.0,2.0,103084891622.19,41665311000.99,713.0,713.0,0.13172104676719348,0.40418445754102283,1.0,35694832629.75,1.3062011422784154,-1.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,OLIVEIRA TRUST,116525130023.44,116525130023.44,202.0,202.0,0.1215657746239007,1.0,3.0,92198936627.93,26579920128.19,158.0,158.0,0.11781106088720811,0.2882887926945797,3.0,24326193395.51001,0.37547137366925887,0.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,BANCO DAYCOVAL S.A,63717633407.03,63717633407.03,475.0,475.0,0.06647393108052474,1.0,4.0,45768285797.2,20910506114.739998,316.0,316.0,0.05848234808300012,0.4568776337264363,6.0,17949347609.83,0.7991582997524622,2.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,GRUPO BB,60841973938.55,60841973938.55,1.0,1.0,0.06347387632177867,1.0,5.0,74619761016.06,0.0,1.0,1.0,0.09534853144704142,0.0,4.0,-13777787077.509995,-3.1874655125262747,-1.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,GRUPO BRADESCO/BEM,49908473842.659996,49908473842.659996,46.0,46.0,0.052067414829395066,1.0,6.0,33196132803.940002,6736499065.96,38.0,38.0,0.042417751939669276,0.20293023605329277,8.0,16712341038.719994,0.964966288972579,2.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,REAG/CBSF,49376060585.88,49376060585.88,87.0,87.0,0.05151197043755037,1.0,7.0,72822023827.11,18137327730.96,166.0,166.0,0.09305139730241152,0.2490637691424319,5.0,-23445963241.230003,-4.153942686486115,-2.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,GRUPO GENIAL,42802969338.17,42802969338.17,125.0,125.0,0.04465454037898094,1.0,8.0,36648394328.88,18278781863.66,107.0,107.0,0.0468290239953826,0.4987607833409441,7.0,6154575009.290001,-0.21744836164016568,-1.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,24613405440.31,24613405440.31,129.0,129.0,0.025678132243933317,1.0,9.0,15919481151.85,8316185340.29,100.0,100.0,0.020341785186112616,0.5223904762325484,11.0,8693924288.460001,0.5336347057820702,2.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,BANCO FINAXIS S.A,22959957709.55,22959957709.55,82.0,82.0,0.02395315966377368,1.0,10.0,19135988914.23,8414442009.42,77.0,77.0,0.02445181297707452,0.43971816910715344,9.0,3823968795.3199997,-0.049865331330083834,-1.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,ITAU/INTRAG,22434813297.29,22434813297.29,34.0,34.0,0.023405298552158033,1.0,11.0,15621251431.05,1841406940.9099998,19.0,19.0,0.019960709643589487,0.11787832421990711,12.0,6813561866.240002,0.34445889085685455,1.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,22282538096.29,22282538096.29,137.0,137.0,0.023246436229825918,1.0,12.0,14274268571.31,3156668901.82,102.0,102.0,0.01823954576137197,0.22114400370500398,13.0,8008269524.980001,0.500689046845395,1.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,22266191752.04,22266191752.04,163.0,163.0,0.023229382775342578,1.0,13.0,7720433267.0,4202240266.97,108.0,108.0,0.009865107635293828,0.5443010931694644,21.0,14545758485.04,1.3364275140048751,8.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,16943833175.17,16943833175.17,174.0,174.0,0.017676789587133212,1.0,14.0,12995895930.04,7880778264.85,108.0,108.0,0.016606051465391364,0.606405153386431,14.0,3947937245.129999,0.10707381217418474,0.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,16498844233.11,16498844233.11,290.0,290.0,0.017212551311409238,1.0,15.0,11750357871.04,1869197361.03,173.0,173.0,0.015014512934981327,0.1590757814820972,16.0,4748486362.07,0.21980383764279107,1.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,VERT DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,15565898871.06,15565898871.06,45.0,45.0,0.016239248594677062,1.0,16.0,4512893828.92,3980993259.28,11.0,11.0,0.0057665394971089115,0.8821375840416589,27.0,11053005042.14,1.0472709097568151,11.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,13985589864.58,13985589864.58,44.0,44.0,0.014590578574062428,1.0,17.0,11501507166.91,3327357719.87,42.0,42.0,0.014696533503457135,0.28929753914711764,17.0,2484082697.67,-0.010595492939470715,0.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,PLANNER CORRETORA DE VALORES S.A,12792399326.869999,12792399326.869999,182.0,182.0,0.013345772994687003,1.0,18.0,10783865482.85,1918775126.94,138.0,138.0,0.01377953672206064,0.17793018004457703,18.0,2008533844.0199986,-0.04337637273736372,0.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,12574459421.95,12574459421.95,77.0,77.0,0.013118405444376358,1.0,19.0,7320778013.59,1814123415.7,59.0,59.0,0.009354431361625018,0.24780472954272534,23.0,5253681408.360001,0.376397408275134,4.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,11230603717.460001,11230603717.460001,88.0,88.0,0.011716417223756378,1.0,20.0,7700886448.45,739147497.4300001,43.0,43.0,0.009840130867507032,0.09598213171663794,22.0,3529717269.010001,0.18762863562493456,2.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,BNY MELLON BANCO S.A,10517995513.33,10517995513.33,38.0,38.0,0.010972983010715944,1.0,21.0,10424306456.63,5030860943.66,34.0,34.0,0.013320095085531856,0.4826086958006021,19.0,93689056.70000076,-0.23471120748159124,-2.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,NAO INFORMADO,9876317948.24,9876317948.24,60.0,60.0,0.010303547754619231,1.0,22.0,17918775439.44,0.0,164.0,164.0,0.02289646737292821,0.0,10.0,-8042457491.199999,-1.2592919618308978,-12.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,BANCO B3 S.A,8830530613.78,8830530613.78,11.0,11.0,0.009212521746925264,1.0,23.0,7257638268.25,7257638268.25,10.0,10.0,0.009273751902026997,1.0,24.0,1572892345.5300007,-0.006123015510173246,1.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,SEFER INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,7871234513.8,7871234513.8,23.0,23.0,0.008211728411922789,1.0,24.0,12028744770.79,166948639.31,18.0,18.0,0.01537023348009999,0.013879140549678108,15.0,-4157510256.9900007,-0.7158505068177201,-9.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,QORE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,6698827947.09,6698827947.09,39.0,39.0,0.006988605876658687,1.0,25.0,1607785486.53,0.0,16.0,16.0,0.002054415384545504,0.0,30.0,5091042460.56,0.49341904921131835,5.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,6479685787.81,6479685787.81,15.0,15.0,0.00675998406486351,1.0,26.0,4555345519.94,463657776.72999996,13.0,13.0,0.005820783927017088,0.10178322910972229,26.0,1924340267.8700008,0.09392001378464221,0.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,5768664594.84,5768664594.84,46.0,46.0,0.006018205513918999,1.0,27.0,8568522392.16,4210385560.9,60.0,60.0,0.010948789109465371,0.49137825265560436,20.0,-2799857797.3199997,-0.4930583595546372,-7.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,RJI CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA,3951789316.1,3951789316.1,18.0,18.0,0.004122735836171256,1.0,28.0,4822042551.84,2999414.58,10.0,10.0,0.006161567252863934,0.0006220215910072134,25.0,-870253235.7400002,-0.20388314166926783,-3.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,TERRA INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,3258778054.18,3258778054.18,83.0,82.0,0.0033997462899553895,1.0,29.0,1458050240.04,194216163.38,38.0,37.0,0.0018630848889196936,0.1332026551942901,32.0,1800727814.1399999,0.1536661401035696,3.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,OSLO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,2453341180.33,2453341180.33,23.0,23.0,0.0025594678241812503,1.0,30.0,2546287626.58,0.0,15.0,15.0,0.0032536258831480625,0.0,28.0,-92946446.25,-0.06941580589668121,-2.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,LASTRO RDV DTVM LTDA,2111296049.44,2111296049.44,42.0,42.0,0.0022026265034754767,1.0,31.0,1177101509.52,0.0,26.0,26.0,0.0015040908570140281,0.0,33.0,934194539.9200001,0.06985356464614485,2.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,AZUMI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2064080426.27,2064080426.27,93.0,93.0,0.002153368426665293,1.0,32.0,1149279277.71,269965328.87,55.0,55.0,0.0014685398326132436,0.23489967504497275,35.0,914801148.56,0.06848285940520495,3.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,FINVEST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1337505123.29,1337505123.29,35.0,35.0,0.0013953629259497702,1.0,33.0,674383249.49,0.0,14.0,14.0,0.000861721501058091,0.0,41.0,663121873.8,0.05336414248916792,8.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,XP SERVICOS FINANCEIROS DTVM LTDA,1089082600.81,1089082600.81,2.0,2.0,0.001136194140871138,1.0,34.0,1942655365.52,1604949620.6599998,5.0,5.0,0.0024823094269918874,0.8261628125843079,29.0,-853572764.71,-0.13461152861207495,-5.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,958433386.06,958433386.06,8.0,8.0,0.0009998933017998303,1.0,35.0,685110759.6,0.0,4.0,4.0,0.0008754290273372445,0.0,39.0,273322626.4599999,0.012446427446258582,4.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
