cnpj,rating_document_count,latest_document_id,latest_document_date,rating_agency,rating_assigned,rating_scope,rating_availability_status,rating_limitation
08692888000182,19,1046984,26/11/2025,Fitch Ratings,N/D,Documento mais recente informa Rating Atual NA.,documento lido,Rating transcrito do documento mais recente disponibilizado no FundosNet.
40771109000147,6,724143,08/08/2024,Austin Rating,brA+(sf),"Classe única, 1ª emissão.",documento lido,Rating transcrito do documento mais recente disponibilizado no FundosNet.
40677194000189,14,899446,12/05/2025,S&P Global Ratings,brAAA (sf) | brBBB (sf),2ª série sênior | 1ª série mezanino.,documento lido,Rating transcrito do documento mais recente disponibilizado no FundosNet.
50473039000102,10,1245798,05/06/2026,N/D,N/D,,documento localizado; leitura inconclusiva,O arquivo mais recente não permitiu identificar com segurança agência e rating aplicável à emissão; requer leitura manual/OCR.
51983832000106,12,725548,23/08/2024,S&P Global Ratings,brAAA (sf),Cotas seniores.,documento lido,Rating transcrito do documento mais recente disponibilizado no FundosNet.
48905593000161,11,1263451,30/06/2026,Fitch Ratings,BBBf(bra),Rating de fundo informado no monitoramento.,documento lido,Rating transcrito do documento mais recente disponibilizado no FundosNet.
52720932000102,10,1195770,31/03/2026,N/D,N/D,,documento localizado; leitura inconclusiva,O arquivo mais recente não permitiu identificar com segurança agência e rating aplicável à emissão; requer leitura manual/OCR.
50114948000146,11,1195766,31/03/2026,Moody's Local,AAA.br(sf),Sênior série 2.,documento lido,Rating transcrito do documento mais recente disponibilizado no FundosNet.
51957370000152,4,862398,30/09/2024,Austin Rating,brAA+(sf) | brA(sf) | brBBB-(sf),Sênior | mezanino | subordinada júnior.,documento lido,Rating transcrito do documento mais recente disponibilizado no FundosNet.
49306883000151,8,844717,03/02/2025,SR Rating,brBBB-(o.e.) | B+SR(o.e.),Equivalência br | nota global única.,documento lido,Rating transcrito do documento mais recente disponibilizado no FundosNet.
47936340000192,5,664421,28/03/2024,N/D,N/D,,documento localizado; leitura inconclusiva,O arquivo mais recente não permitiu identificar com segurança agência e rating aplicável à emissão; requer leitura manual/OCR.
34850088000152,23,845820,31/12/2024,S&P Global Ratings,brAAA (sf),2ª série de cotas seniores.,documento lido,Rating transcrito do documento mais recente disponibilizado no FundosNet.
