cnpj,categoria_mvp,fonte,motivo
45598747000121,Adquirência,"FundosNet/B3 doc. 883977; IMG_8705.JPG","Créditos contra emissores derivados de transações de pagamento processadas pelo Sistema SumUp."
62626887000185,Adquirência,"FundosNet/B3 doc. 1152823, p. 93; IMG_8704.JPG","Transações com instrumentos de pagamento operacionalizadas pelo Sistema SumUp; devedores são os emissores."
52271464000136,Adquirência,"FundosNet/B3 doc. 1155755, p. 13; IMG_8705.JPG e IMG_8707.jpg","Direitos da Kiwify, na condição de subcredenciadora, contra credenciadoras de transações de pagamento."
48967719000122,Adquirência,"FundosNet/B3 doc. 785770, p. 14; IMG_8704.JPG","Soulpay atua como subcredenciadora; créditos contra Redecard decorrem de transações com instrumentos de pagamento."
40919667000107,Adquirência,"FundosNet/B3 doc. 1118056, p. 24 e 36–38; IMG_8705.JPG e IMG_8707.jpg","Direitos de clientes e estabelecimentos contra RecargaPay por transações de pagamento; RecargaPay atua como subcredenciadora."
31739396000117,Adquirência,"FundosNet/B3 doc. 1146939, p. 10; IMG_8706.JPG","Recebíveis da Listo IP contra emissores derivados de transações em arranjos de pagamento."
52968533000165,Agro / Revenda,"FundosNet/B3 doc. 994391; leitura integral do regulamento","Maqcampo cede recebíveis performados de vendas a prazo de bens e prestação de serviços na cadeia de máquinas e implementos agrícolas."
52100879000147,Risco Corporativo,"FundosNet/B3 doc. 1117315; leitura integral de 244 páginas","Sotreq e Somov cedem recebíveis performados de vendas de equipamentos e prestação de serviços a clientes empresariais."
54083697000130,Adquirência,"FundosNet/B3 doc. 640301; leitura integral de 119 páginas","Regulamento define contratos de adquirência, credenciadores, bandeiras, emissores e direitos decorrentes de transações de pagamento."
50857998000113,Adquirência,"Regulamento e auditoria documental por CNPJ","A subcredenciadora da Rede Leo figura como devedora dos direitos creditórios."
38376526000143,Adquirência,"FundosNet/B3 doc. 948252","Hotmart figura como devedora dos direitos creditórios de cartões e recebíveis a prazo dos produtores."
38385876000176,Adquirência,"FundosNet/B3 doc. 719764","Direitos creditórios constam da agenda de recebíveis e decorrem de transações de pagamento."
38658727000133,Risco Corporativo,"FundosNet/B3 doc. 691063","Fornecedores cedem direitos creditórios comerciais contra a MadeiraMadeira, configurando supplier finance."
63622842000103,Risco Corporativo,"FundosNet/B3 doc. 1051646; leitura integral de 90 páginas","Direitos creditórios são notas comerciais emitidas pela Dass Nordeste para projetos de investimento."
58288437000152,Risco Corporativo,"Regulamento e auditoria documental por CNPJ","Estrutura de recebíveis comerciais da Altomax com cedente e devedores do grupo econômico."
63679792000192,Risco Corporativo,"FundosNet/B3 doc. 1101558","Direitos creditórios decorrem de contratos de locação de equipamentos médicos."
48953864000154,Adquirência,"FundosNet/B3 doc. 473796","Cedente atua como subcredenciadora e o lastro consiste em URs registradas de transações de pagamento."
58476088000100,Risco Corporativo,"FundosNet/B3 doc. 852325","Direitos creditórios são notas comerciais emitidas pelos devedores."
58349979000198,Risco Corporativo,"Regulamento e IMG_8706.JPG","Clientes da Volkswagen devem direitos creditórios decorrentes da compra de produtos."
31570767000180,Risco Corporativo,"FundosNet/B3 doc. 1203635; leitura integral de 80 páginas","Notas fiscais e duplicatas de vendas e serviços, com mínimo de 2.500 devedores e limite de 5% por devedor."
52340225000190,Risco Corporativo,"FundosNet/B3 doc. 1171206","Direitos creditórios podem ser formalizados por duplicatas, notas comerciais e CCBs corporativas."
30035329000159,Consignado INSS e FGTS,"Regulamento e auditoria documental por CNPJ","Devedores são titulares de contas vinculadas do FGTS com saque-aniversário e emitem CCBs."
63657457000193,Risco Corporativo,"Relatório de rating doc. 1118693 e regulamento","Pacote identifica originadores ligados à Manserv e carteira de recebíveis comerciais de serviços e indústria."
65836995000170,Risco Corporativo,"FundosNet/B3 doc. 1184844","Direitos creditórios performados decorrem de vendas locais a prazo de produtos pela Cantu Store a pessoas físicas e jurídicas."
65873297000145,Risco Corporativo,"FundosNet/B3 doc. 1226438","Fornecedores cedem notas fiscais devidas por empresas do grupo ArcelorMittal, configurando supplier finance."
62393829000159,Risco Corporativo,"Comentário explícito do usuário e IMG_8706.JPG","Risco corporativo concentrado em BRF e Marfrig; classificação editorial separada da taxonomia oficial."
