metric_id,metric_label,definition,formula,universe,period,inclusions,exclusions,primary_source,secondary_source,limitations,decision_grade,source_url
market_pl_gross,Gross FIDC PL,Sum of monthly-filing PL across reporting vehicles.,sum(pl),All CVM FIDC reporting vehicles,2026-05,Includes FIC-FIDC and NP,None in gross view,CVM monthly FIDC filing,ANBIMA press releases for external reconciliation,Different scopes explain CVM/ANBIMA gaps.,observed,https://dados.cvm.gov.br/dataset/fidc-doc-inf_mensal
admin_pl_share_delta,Administrator PL share delta,Participant PL divided by total gross FIDC PL at each date.,share_t - share_t-12m,All monthly reporting vehicles grouped to economic participant,2025-05 vs 2026-05,Active reporting rows with PL,No ex-FIC or ex-NP filter,CVM monthly FIDC filing,None,Provider migration can move PL without fundraising.,observed,https://dados.cvm.gov.br/dataset/fidc-doc-inf_mensal
manager_custodian_pl_share_delta,Manager/custodian PL share delta,Same share formula with dated role reconstruction for the prior date.,reconstructed_share_t - reconstructed_share_t-12m,All monthly reporting vehicles,2025-05 vs 2026-05,"cad_fi_hist, dated offers, then current-role fallback",No silent imputation beyond flagged fallback,CVM cadastro history and monthly filing,CVM public offers,Prior-date dated evidence covers only about one-third of PL.,directional_only,https://dados.cvm.gov.br/dados/FI/CAD/DADOS/
fidc_type_share_delta,FIDC type PL share delta,Share by largest reported receivables category in each month.,type_pl / total_pl,All monthly reporting vehicles,2025-05 vs 2026-05,Contemporaneous dominant category,None; unknown retained,"CVM monthly FIDC filing, receivables tables",None,"A move may be a dominant-balance change, not a legal reclassification.",observed_with_classification_caveat,https://dados.cvm.gov.br/dataset/fidc-doc-inf_mensal
primary_offer_role_share,Primary-offer volume share by role,Registered valid primary public-distribution volume by disclosed role.,participant primary volume / total primary volume,CVM public FIDC offers,Two equal trailing-12-month windows ending May 2025 and May 2026,Valid registered primary offers,Secondary distributions and invalid/cancelled volume,CVM public-offer open data,None,Registered amount is not necessarily cash settled or outstanding PL.,observed,https://dados.cvm.gov.br/dataset/oferta-distrib
investor_subscriber_distribution,Subscriber count distribution,Unique high-confidence closing-announcement tables after semantic deduplication.,distribution(total_subscribers),Closing announcements with parseable Annex N allocation tables,2024-07-01..2026-06-30,Parsed-high observations,Duplicate semantic copies and lower-confidence parses,CVM/Fundos.NET closing announcements,Monthly filing X.1/X.1.1 for stock cross-check,Accounts are not unique CPF/CNPJ; disclosure is a selected offer subset.,observed_sample,https://dados.cvm.gov.br/dataset/oferta-distrib
investor_amount_proxy,Investor-category amount proxy,Closing amount allocated by each category's share of subscribed quotas.,closing_amount * category_quotas / total_quotas,Parsed-high offers with amount and quota totals,2024-07-01..2026-06-30,Only fully allocable observations,Offers without amount or quota denominator,CVM/Fundos.NET closing announcements,None,Not disclosed cash allocation; quota prices may differ by class.,directional_proxy,https://dados.cvm.gov.br/dataset/oferta-distrib
accepted_cedent_map,Accepted cedent map,Named cedent/originator evidence accepted by the document curation pipeline.,unique fund x participant identity,"Local document corpus, not all CVM FIDCs",Evidence through 2026-06-30,Accepted and active curation rows,Rejected/ambiguous candidates,"CVM/Fundos.NET regulations, assemblies and offer documents",BrasilAPI/CNPJ for legal-entity enrichment,Non-random document coverage; linked PL is not additive across cedents.,curated_sample,https://dados.cvm.gov.br/dataset/fidc-doc-inf_mensal
sacado_examples,Named sacado examples,High-confidence accepted sacado evidence after fund/role false-positive exclusions.,confidence >= 0.90,Curated local document corpus,Evidence through 2026-06-30,Valid CNPJ and high-confidence relation,Institutional-role/fund self matches,CVM/Fundos.NET regulations and offer documents,BrasilAPI/CNPJ,Coverage is too small for a market ranking or concentration conclusion.,examples_only,https://dados.cvm.gov.br/dataset/fidc-doc-inf_mensal
secondary_distribution_volume,Registered secondary distributions,Valid public offers classified as secondary by CVM.,sum(registered_amount),CVM public FIDC offers,Two equal trailing-12-month windows,Valid secondary distributions,Primary distributions,CVM public-offer open data,ANBIMA pricing for price/rate context,This is not exchange/OTC turnover or time-to-sell.,observed_not_liquidity,https://dados.cvm.gov.br/dataset/oferta-distrib
secondary_trade_speed,Secondary trade speed,Median time between actual trades by quota series.,median(diff(trade_date)),B3 Fundos21/OTC trade-level records,Requires at least 36 months,Executed/registered non-cancelled trades,Offer registrations and corrections,B3 DataWise or participant extract,ANBIMA indicative pricing,Not measurable from free CVM/ANBIMA open data currently loaded.,not_available,https://www.b3.com.br/pt_br/market-data-e-indices/servicos-de-dados/datawise-reports/
