cnpj_fundo,documento_id_regulamento,documento_data_regulamento,pagina_clausula,paginas_lidas,status_curadoria_documental,observacao_documental,subordinacao_minima_junior_pct,subordinacao_minima_junior_display,subordinacao_minima_texto,subordinacao_minima_fonte
60010416000112,1051393,2025-10-09,definição “Índice de Subordinação”,integral,revisto — mínimo júnior localizado,"Leitura integral do regulamento e revisão da fórmula, denominador e condição temporal.",5.0,"5,0%","Cotas subordinadas / PL, razão mínima de 5,0%; a estrutura não tem mezanino no regulamento lido.",FundosNet/B3; documento 1051393; referência 2025-10-09; definição “Índice de Subordinação”
58458416000138,N/D,N/D,N/D,0,lacuna — regulamento integral não disponível nas fontes locais,O regulamento integral não consta dos pacotes documentais nem do extrato local usado nesta rodada; o mínimo permanece N/D.,,N/D,N/D — regulamento integral não disponível nas fontes locais para leitura.,N/D — documento não disponível nas fontes locais
53841740000117,N/D,N/D,N/D,0,lacuna — regulamento integral não disponível nas fontes locais,O regulamento integral não consta dos pacotes documentais nem do extrato local usado nesta rodada; o mínimo permanece N/D.,,N/D,N/D — regulamento integral não disponível nas fontes locais para leitura.,N/D — documento não disponível nas fontes locais
62390922000100,1170223,2026-04-15,cláusulas de subordinação e definições revisadas,integral,revisto — mínimo júnior não isolado,Leitura integral e revisão das cláusulas candidatas; nenhum percentual de cotas júnior / PL foi isolado.,,N/D,"N/D — o regulamento foi lido integralmente; a evidência encontrada usa cotas subordinadas em conjunto, outro denominador, condição sem percentual ou não define mínimo júnior / PL.",FundosNet/B3; documento 1170223; referência 2026-04-15; cláusulas candidatas revisadas
61271872000189,1211502,2026-06-01,cláusulas de subordinação e definições revisadas,integral,revisto — mínimo júnior não isolado,Leitura integral e revisão das cláusulas candidatas; nenhum percentual de cotas júnior / PL foi isolado.,,N/D,"N/D — o regulamento foi lido integralmente; a evidência encontrada usa cotas subordinadas em conjunto, outro denominador, condição sem percentual ou não define mínimo júnior / PL.",FundosNet/B3; documento 1211502; referência 2026-06-01; cláusulas candidatas revisadas
63321684000143,N/D,N/D,N/D,0,lacuna — regulamento integral não disponível nas fontes locais,O regulamento integral não consta dos pacotes documentais nem do extrato local usado nesta rodada; o mínimo permanece N/D.,,N/D,N/D — regulamento integral não disponível nas fontes locais para leitura.,N/D — documento não disponível nas fontes locais
63546406000194,1130481,2026-03-05,p. 142; item 6.8.5,integral,revisto — mínimo júnior localizado,"Leitura integral do regulamento e revisão da fórmula, denominador e condição temporal.",1.5,"1,5% inicial; meta 2,5%","Cotas subordinadas júnior / PL: mínimo inicial de 1,5% e meta de 2,5%.",FundosNet/B3; documento 1130481; referência 2026-03-05; p. 142; item 6.8.5
62310468000130,1153512,2026-04-01,cláusulas de subordinação e definições revisadas,integral,revisto — mínimo júnior não isolado,Leitura integral e revisão das cláusulas candidatas; nenhum percentual de cotas júnior / PL foi isolado.,,N/D,"N/D — o regulamento foi lido integralmente; a evidência encontrada usa cotas subordinadas em conjunto, outro denominador, condição sem percentual ou não define mínimo júnior / PL.",FundosNet/B3; documento 1153512; referência 2026-04-01; cláusulas candidatas revisadas
63733796000101,N/D,N/D,N/D,0,lacuna — regulamento integral não disponível nas fontes locais,O regulamento integral não consta dos pacotes documentais nem do extrato local usado nesta rodada; o mínimo permanece N/D.,,N/D,N/D — regulamento integral não disponível nas fontes locais para leitura.,N/D — documento não disponível nas fontes locais
44395657000170,N/D,N/D,N/D,0,lacuna — regulamento integral não disponível nas fontes locais,O regulamento integral não consta dos pacotes documentais nem do extrato local usado nesta rodada; o mínimo permanece N/D.,,N/D,N/D — regulamento integral não disponível nas fontes locais para leitura.,N/D — documento não disponível nas fontes locais
