cnpj_fundo,documento_id_regulamento,documento_data_regulamento,pagina_clausula,subordinacao_minima_junior_pct,subordinacao_minima_junior_display,subordinacao_minima_texto,subordinacao_minima_fonte,subordinacao_minima_natureza,suporte_estrutural_minimo_pct,suporte_estrutural_minimo_display,suporte_estrutural_minimo_texto,subordinacao_minima_formula,comparabilidade_tranche_flag,comparabilidade_tranche_motivo,emissao_data,emissao_data_display,emissao_fonte,paginas_lidas,status_curadoria_documental,observacao_documental
42462306000100,896879,2025-05-05,12,4.5,"4,50%","Cotas subordinadas júnior / PL, mínimo de 4,5%.",FundosNet/B3; documento 896879; referência 2025-05-05; p. 12,junior_pl,,,,direto no regulamento,false,Mínimo júnior isolado; a subordinação atual disponível agrega todas as classes subordinadas.,2021-05-20,MAI/21,FundosNet/B3; documento 217316; Atos de Deliberação do Administrador; Instrumento Particular de Constituição/Encerramento do Fundo,103,revisto — mínimo júnior localizado,Leitura integral automatizada do regulamento; fórmula e página revisadas.
54810968000102,937760,2025-04-22,16,5.0,"5,0%","Índice de Subordinação Mezanino: cotas júnior / PL, mínimo de 5,0%.",FundosNet/B3; documento 937760; referência 2025-04-22; p. 16,junior_pl,,,,direto no regulamento,false,Mínimo júnior isolado; a subordinação atual disponível agrega todas as classes subordinadas.,2024-05-21,MAI/24,FundosNet/B3; documento 666840; Oferta Pública de Distribuição de Cotas; Anúncio de Início,101,revisto — mínimo júnior localizado,Leitura integral automatizada do regulamento; fórmula e página revisadas.
53270983000142,881263,2025-04-03,14,8.0,"8,0%","Índice de Subordinação Mezanino: cotas júnior / PL, mínimo de 8,0%.",FundosNet/B3; documento 881263; referência 2025-04-03; p. 14,junior_pl,,,,direto no regulamento,false,Mínimo júnior isolado; a subordinação atual disponível agrega todas as classes subordinadas.,2024-09-03,SET/24,FundosNet/B3; documento 732153; Oferta Pública de Distribuição de Cotas; Anúncio de Encerramento,90,revisto — mínimo júnior localizado,Leitura integral automatizada do regulamento; fórmula e página revisadas.
52968533000165,1049185,2025-10-14,72,,N/D,"N/D — o regulamento foi lido integralmente; não foi isolado mínimo específico de cotas subordinadas júnior sobre o PL. A evidência mais próxima usa cotas subordinadas em conjunto, outro denominador, condição de emissão ou não contém percentual comparável.",FundosNet/B3; documento 1049185; referência 2025-10-14; p. 72,suporte_total_pl,20.0,"20,0%*","Cotas subordinadas totais / PL, mínimo de 20,0%.*",direto no regulamento,true,Suporte total ou combinado; não representa mínimo júnior isolado.,2024-06-05,JUN/24,FundosNet/B3; documento 674475; Oferta Pública de Distribuição de Cotas; Anúncio de Encerramento,188,revisto — suporte estrutural total localizado,Leitura documental revisada; suporte total/combinado registrado com asterisco e separado do mínimo júnior.
52100879000147,1117315,2026-02-06,49,,N/D,"N/D — o regulamento foi lido integralmente; não foi isolado mínimo específico de cotas subordinadas júnior sobre o PL. A evidência mais próxima usa cotas subordinadas em conjunto, outro denominador, condição de emissão ou não contém percentual comparável.",FundosNet/B3; documento 1117315; referência 2026-02-06; p. 49,suporte_total_pl,25.0,"25,0%*","Cotas subordinadas totais / PL, mínimo de 25,0%.*",direto no regulamento,true,Suporte total ou combinado; não representa mínimo júnior isolado.,2023-09-28,SET/23,FundosNet/B3; documento 529559; Oferta Pública de Distribuição de Cotas; Anúncio de Início,244,revisto — suporte estrutural total localizado,Leitura documental revisada; suporte total/combinado registrado com asterisco e separado do mínimo júnior.
53662209000187,1239751,2026-06-30,49,,N/D,"N/D — o regulamento foi lido integralmente; não foi isolado mínimo específico de cotas subordinadas júnior sobre o PL. A evidência mais próxima usa cotas subordinadas em conjunto, outro denominador, condição de emissão ou não contém percentual comparável.",FundosNet/B3; documento 1239751; referência 2026-06-30; p. 49,suporte_total_pl,20.0,"20,0%*","Cotas subordinadas totais / PL, mínimo de 20,0%; há camadas inferiores adicionais.*",direto no regulamento,true,Suporte total ou combinado; não representa mínimo júnior isolado.,2025-06-13,JUN/25,FundosNet/B3; documento 924981; Oferta Pública de Distribuição de Cotas; Anúncio de Encerramento,84,revisto — suporte estrutural total localizado,Leitura documental revisada; suporte total/combinado registrado com asterisco e separado do mínimo júnior.
53577135000180,1224059,2026-06-18,17,15.0,"15,0%","Índice de Subordinação Mezanino: cotas júnior / PL, mínimo de 15,0%.",FundosNet/B3; documento 1224059; referência 2026-06-18; p. 17,junior_pl,,,,direto no regulamento,false,Mínimo júnior isolado; a subordinação atual disponível agrega todas as classes subordinadas.,2025-03-12,MAR/25,FundosNet/B3; documento 856958; Oferta Pública de Distribuição de Cotas; Anúncio de Encerramento,95,revisto — mínimo júnior localizado,Leitura integral automatizada do regulamento; fórmula e página revisadas.
62626887000185,1152823,2026-03-31,96,2.9,"2,90%","Cotas subordinadas júnior / PL, mínimo de 2,90%.",FundosNet/B3; documento 1152823; referência 2026-03-31; p. 96,junior_pl,,,,direto no regulamento,false,Mínimo júnior isolado; a subordinação atual disponível agrega todas as classes subordinadas.,2025-09-09,SET/25,FundosNet/B3; documento 995526; Atos de Deliberação do Administrador; Instrumento Particular de Constituição/Encerramento do Fundo,115,revisto — mínimo júnior localizado,Leitura integral automatizada do regulamento; fórmula e página revisadas.
50098465000103,690567,2024-07-01,15,,N/D,"N/D — o regulamento foi lido integralmente; não foi isolado mínimo específico de cotas subordinadas júnior sobre o PL. A evidência mais próxima usa cotas subordinadas em conjunto, outro denominador, condição de emissão ou não contém percentual comparável.",FundosNet/B3; documento 690567; referência 2024-07-01; p. 15,suporte_combinado_pl,9.2,"9,2%*","Cotas mezanino e júnior / PL, suporte combinado mínimo de 9,2%.*",direto no regulamento,true,Suporte total ou combinado; não representa mínimo júnior isolado.,2025-06-30,JUN/25,FundosNet/B3; documento 980923; Outras Demonstrações Financeiras ; Demonstrações Financeiras - Encerramento de atividades,118,revisto — suporte estrutural total localizado,Leitura documental revisada; suporte total/combinado registrado com asterisco e separado do mínimo júnior.
48967719000122,785770,2024-11-22,82,5.0,"5,0%","Cotas subordinadas júnior / PL, mínimo de 5,0%.",FundosNet/B3; documento 785770; referência 2024-11-22; p. 82,junior_pl,5.0,"5,0%","Cotas subordinadas júnior / PL, mínimo de 5,0%.",direto no regulamento,true,Estrutura com uma única classe subordinada; métrica atual e piso usam o total subordinado sobre o PL.,2023-04-12,ABR/23,FundosNet/B3; documento 445363; Atos de Deliberação do Administrador; Instrumento Particular de Emissão de Cotas,119,revisto — mínimo júnior localizado,"Leitura documental revisada; valor, natureza da métrica e comparabilidade de tranche registrados."
37645417000111,1016909,2025-10-16,12,10.0,"10,0%","Índice de Subordinação Mínima Mezanino: cotas júnior / PL, mínimo de 10,0%.",FundosNet/B3; documento 1016909; referência 2025-10-16; p. 12,junior_pl,,,,direto no regulamento,false,Mínimo júnior isolado; a subordinação atual disponível agrega todas as classes subordinadas.,N/D,N/D,N/D — ato de emissão não localizado,140,revisto — mínimo júnior localizado,Leitura integral automatizada do regulamento; fórmula e página revisadas.
50832746000130,791780,2024-11-28,44,20.0,"20,0%","Cotas júnior / PL, mínimo de 20,0%; suporte subordinado total mínimo de 30,0%.",FundosNet/B3; documento 791780; referência 2024-11-28; p. 44,junior_pl,30.0,"30,0%*","Cotas mezanino e júnior / PL, suporte total mínimo de 30,0%.*",direto no regulamento,false,Mínimo júnior isolado; a subordinação atual disponível agrega mais de uma classe subordinada ou usa denominador distinto.,2025-08-27,AGO/25,FundosNet/B3; documento 1024657; Outras Demonstrações Financeiras ; Demonstrações Financeiras - Encerramento de atividades,114,revisto — mínimo júnior localizado,"Leitura documental revisada; valor, natureza da métrica e comparabilidade de tranche registrados."
33076242000118,1060211,2025-12-12,61,20.0,"20,0%","Cotas subordinadas / PL, mínimo de 20,0%; estrutura com uma única classe residual.",FundosNet/B3; documento 1060211; referência 2025-12-12; p. 61,junior_pl,20.0,"20,0%","Cotas subordinadas / PL, mínimo de 20,0%; estrutura com uma única classe residual.",direto no regulamento,true,Estrutura com uma única classe subordinada; métrica atual e piso usam o total subordinado sobre o PL.,2025-06-16,JUN/25,FundosNet/B3; documento 928244; Atos de Deliberação do Administrador; Instrumento Particular de Emissão de Cotas,80,revisto — mínimo júnior localizado,"Leitura documental revisada; valor, natureza da métrica e comparabilidade de tranche registrados."
44173467000109,791513,2024-11-28,19,1.0,"1,0%*","Mínimo júnior calculado: subordinadas = 10,0% do PL e júnior = 10,0% das subordinadas.",FundosNet/B3; documento 791513; referência 2024-11-28; p. 19,junior_pl_calculado,10.0,"10,0%*","Cotas subordinadas totais / PL, mínimo de 10,0%.*","calculado: 10,0% × 10,0%",false,Mínimo júnior isolado; a subordinação atual disponível agrega mais de uma classe subordinada ou usa denominador distinto.,2023-05-10,MAI/23,FundosNet/B3; documento 467860; Atos de Deliberação do Administrador; Instrumento Particular de Emissão de Cotas,1,revisto — mínimo júnior localizado,"Leitura documental revisada; valor, natureza da métrica e comparabilidade de tranche registrados."
54252144000164,1223382,2026-06-08,109,5.0,"5,0%","Índice de Subordinação Mezanino: cotas júnior / PL, mínimo de 5,0%.",FundosNet/B3; documento 1223382; referência 2026-06-08; p. 109,junior_pl,,,,direto no regulamento,false,Mínimo júnior isolado; a subordinação atual disponível agrega todas as classes subordinadas.,2025-12-30,DEZ/25,FundosNet/B3; documento 1075648; Oferta Pública de Distribuição de Cotas; Anúncio de Encerramento,197,revisto — mínimo júnior localizado,Leitura integral automatizada do regulamento; fórmula e página revisadas.
48313595000161,976737,2025-08-22,42,,N/D,"N/D — o regulamento foi lido integralmente; não foi isolado mínimo específico de cotas subordinadas júnior sobre o PL. A evidência mais próxima usa cotas subordinadas em conjunto, outro denominador, condição de emissão ou não contém percentual comparável.",FundosNet/B3; documento 976737; referência 2025-08-22; p. 42,sem_indice,,,,N/D,false,Regulamento revisado sem índice percentual isolável.,2022-01-21,JAN/22,FundosNet/B3; documento 397798; Atos de Deliberação do Administrador; Instrumento Particular de Constituição/Encerramento do Fundo,99,revisto — regulamento sem índice percentual isolável,Leitura documental completa; ausência de índice percentual preservada como N/D.
32526025000110,1186789,2026-05-12,57,75.0,"75,0%","Enquanto não houver cota mezanino, cotas júnior / PL, mínimo de 75,0%.",FundosNet/B3; documento 1186789; referência 2026-05-12; p. 57,junior_pl,,,,direto no regulamento,false,Mínimo júnior isolado; a subordinação atual disponível agrega todas as classes subordinadas.,2026-03-13,MAR/26,FundosNet/B3; documento 1138542; Oferta Pública de Distribuição de Cotas; Anúncio de Início,96,revisto — mínimo júnior localizado,Leitura integral automatizada do regulamento; fórmula e página revisadas.
45523699000102,1024756,2025-10-30,26,10.0,"10,0%","Cotas subordinadas júnior / PL, mínimo de 10,0%.",FundosNet/B3; documento 1024756; referência 2025-10-30; p. 26,junior_pl,,,,direto no regulamento,false,Mínimo júnior isolado; a subordinação atual disponível agrega todas as classes subordinadas.,2025-11-13,NOV/25,FundosNet/B3; documento 1038504; Oferta Pública de Distribuição de Cotas; Anúncio de Encerramento,60,revisto — mínimo júnior localizado,Leitura integral automatizada do regulamento; fórmula e página revisadas.
54083697000130,640301,2024-04-12,84,10.0,"10,0%","Cotas subordinadas júnior / PL, mínimo de 10,0%.",FundosNet/B3; documento 640301; referência 2024-04-12; p. 84,junior_pl,10.0,"10,0%","Cotas subordinadas júnior / PL, mínimo de 10,0%.",direto no regulamento,true,Estrutura com uma única classe subordinada; métrica atual e piso usam o total subordinado sobre o PL.,2024-03-27,MAR/24,FundosNet/B3; documento 628838; Oferta Pública de Distribuição de Cotas; Anúncio de Início,119,revisto — mínimo júnior localizado,"Leitura documental revisada; valor, natureza da métrica e comparabilidade de tranche registrados."
56936116000191,1023213,2025-10-27,61,3.0,"3,0%","Índice de Subordinação Mezanino: cotas júnior / PL, mínimo de 3,0%.",FundosNet/B3; documento 1023213; referência 2025-10-27; p. 61,junior_pl,,,,direto no regulamento,false,Mínimo júnior isolado; a subordinação atual disponível agrega todas as classes subordinadas.,2025-11-06,NOV/25,FundosNet/B3; documento 1030090; Oferta Pública de Distribuição de Cotas; Anúncio de Início,89,revisto — mínimo júnior localizado,Leitura integral automatizada do regulamento; fórmula e página revisadas.
50089559000108,999633,2025-09-26,52,15.0,"15,0%","Índice de Subordinação Júnior: cotas júnior / PL, mínimo de 15,0%.",FundosNet/B3; documento 999633; referência 2025-09-26; p. 52,junior_pl,,,,direto no regulamento,false,Mínimo júnior isolado; a subordinação atual disponível agrega todas as classes subordinadas.,2025-09-23,SET/25,FundosNet/B3; documento 998644; Atos de Deliberação do Administrador; Instrumento Particular de Emissão de Cotas,64,revisto — mínimo júnior localizado,Leitura integral automatizada do regulamento; fórmula e página revisadas.
57131490000182,995970,2025-09-23,39,,N/D,"N/D — o regulamento foi lido integralmente; não foi isolado mínimo específico de cotas subordinadas júnior sobre o PL. A evidência mais próxima usa cotas subordinadas em conjunto, outro denominador, condição de emissão ou não contém percentual comparável.",FundosNet/B3; documento 995970; referência 2025-09-23; p. 39,suporte_total_pl,50.0,"50,0%*","Cotas subordinadas totais / PL, mínimo de 50,0%; mezanino II e júnior somam ao menos 10,0%.*",direto no regulamento,true,Suporte total ou combinado; não representa mínimo júnior isolado.,2024-11-06,NOV/24,FundosNet/B3; documento 772640; Oferta Pública de Distribuição de Cotas; Aviso ao Mercado,80,revisto — suporte estrutural total localizado,Leitura documental revisada; suporte total/combinado registrado com asterisco e separado do mínimo júnior.
