cnpj_fundo,denominacao_referencia,comentario_usuario,cedente_originador_expresso,tipo_analitico,foco_analitico,tabela_ii_analitica,taxonomia_funcional_n1,taxonomia_funcional_n2,confianca,justificativa_curta,limitacao_documental,documento_id_override,fonte_manual,documento_data_override,pagina_clausula_override
53286499000101,ITAÚ CRÉDITO PRIVADO,"Direção aprovada: Outros / Multicarteira Outros",Múltiplos emissores e cedentes,Outros,Multicarteira Outros,Comercial,Multissetorial / Outros,Multicarteira outros,alta,"Mandato amplo de crédito privado e instrumentos de múltiplos emissores; a categoria representa uma multicarteira.","A composição corrente por família de ativo não está aberta no documento.",579249,FundosNet/B3 — regulamento 579249,2023-12-21,"pp. 15–16 — política de investimento"
49826785000145,ASA,"Direção aprovada: Outros / Multicarteira Outros",Múltiplos emissores e cedentes,Outros,Multicarteira Outros,Comercial,Multissetorial / Outros,Multicarteira outros,alta,"O regulamento admite carteira ampla e heterogênea; o enquadramento analítico aprovado é multicarteira.","A composição corrente por família de ativo não está aberta no documento.",1072129,FundosNet/B3 — regulamento 1072129,2026-01-05,"p. 45 — política de investimento"
42154687000160,MULTIPLIKE PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,"Direção aprovada: Financeiro / Multicarteira Financeiro",Instituições financeiras e cedentes de instrumentos de crédito,Financeiro,Multicarteira Financeiro,Factoring,Multissetorial / Outros,Multicarteira financeiro,alta,"O regulamento combina duplicatas, CCBs, CPRs e notas comerciais; os fluxos de cartão aparecem como garantia, sem sustentar adquirência como risco predominante.","O documento não abre materialidade por família de ativo.",1223029,FundosNet/B3 — regulamento 1223029,2026-06-22,"pp. 23 e 26–29 — ativos elegíveis e garantias"
32388135000162,MULTIAGRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,"Direção aprovada: Agro, Indústria e Comércio / Agronegócio",Cedentes e devedores da cadeia do agronegócio,"Agro, Indústria e Comércio",Agronegócio,Agronegócio,Agro,Agro,alta,"A política de investimento e os instrumentos elegíveis estão ligados à cadeia agroindustrial.","A concentração corrente por cultura ou cedente não está aberta no documento.",926513,FundosNet/B3 — regulamento 926513,2025-07-17,"pp. 58 e 62 — direitos creditórios do agronegócio"
62838025000116,ENDURANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,"Direção aprovada: Financeiro / Adquirência",Subcredenciadoras e participantes de arranjos de pagamento,Financeiro,Adquirência,Adquirência,Meios de Pagamento e Cartões,Arranjos de pagamento/adquirência,alta,"Os direitos creditórios são unidades de recebíveis de arranjos de pagamento; o risco econômico é de adquirência.","O documento identifica o lastro e os participantes, sem abertura da concentração corrente.",1058234,FundosNet/B3 — regulamento 1058234,2025-12-19,"p. 25 — unidades de recebíveis e subcredenciadoras"
28279473000199,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AUTO-HONDA,"Sacado validado: concessionárias; manter em Risco Corporativo dentro de Agro, Indústria e Comércio",Concessionárias compradoras dos veículos,"Agro, Indústria e Comércio",Crédito Corporativo,N/D,Crédito PJ,Recebíveis comerciais/multissetorial,alta,"O regulamento define direitos oriundos da venda de veículos a prazo do cedente às concessionárias; o risco é corporativo da rede.","A política não sustenta classificação como CDC de pessoa física.",659783,FundosNet/B3 — regulamento 659783,2024-02-29,"p. 38 — venda de veículos a prazo à concessionária"
52651831000127,HYUNDAI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,"Sacado validado: concessionárias; manter em Risco Corporativo dentro de Agro, Indústria e Comércio",Concessionárias compradoras dos veículos,"Agro, Indústria e Comércio",Crédito Corporativo,N/D,Crédito PJ,Recebíveis comerciais/multissetorial,alta,"O regulamento define direitos oriundos da venda de veículos a prazo da cedente às concessionárias; o risco é corporativo da rede.","A política não sustenta classificação como CDC de pessoa física.",690896,FundosNet/B3 — regulamento 690896,2024-05-24,"p. 47 — venda de veículos a prazo à concessionária"
11230727000181,FIDC GM - VENDA DE VEÍCULOS,"Sacado validado: concessionárias; manter em Risco Corporativo dentro de Agro, Indústria e Comércio",Concessionárias compradoras dos veículos,"Agro, Indústria e Comércio",Crédito Corporativo,N/D,Crédito PJ,Recebíveis comerciais/multissetorial,alta,"O regulamento define direitos oriundos da venda de veículos a prazo do cedente a concessionárias; o risco é corporativo da rede.","A política não sustenta classificação como CDC de pessoa física.",700587,FundosNet/B3 — regulamento 700587,2024-07-03,"p. 18 — venda de veículos a prazo à concessionária"
26722650000134,VERDECARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,"Direção aprovada: Financeiro / Cartão de crédito",Devedores de transações no arranjo de pagamento Verdecard,Financeiro,Cartão de crédito,Cartão de crédito,Meios de Pagamento e Cartões,Banco emissor/cartão de crédito,alta,"O regulamento vincula os direitos creditórios às transações realizadas no arranjo Verdecard.","A base não abre a concentração corrente por modalidade de compra.",899881,FundosNet/B3 — regulamento 899881,2025-06-11,"pp. 47–48 — transações no arranjo Verdecard"
32526025000110,COBUCCIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE CLASSE ÚNICA FECHADA DE RESPONS LIMITADA,"Direção aprovada: Financeiro / Cartão de crédito",Titulares e estabelecimentos do arranjo Brasil Card,Financeiro,Cartão de crédito,Cartão de crédito,Meios de Pagamento e Cartões,Banco emissor/cartão de crédito,alta,"O regulamento descreve faturas de cartão Brasil Card, carnês e CCBs emitidas pelos devedores; cartão de crédito é a categoria financeira mais aderente.","O documento admite mais de uma forma contratual e não abre a participação corrente de cada uma.",1186789,FundosNet/B3 — regulamento 1186789,2026-05-12,"pp. 5–10 — cartões Brasil Card, faturas, carnês e CCBs"
