cnpj,sacado_exibicao,decisao,racional
09195235000150,Clientes PJ cedentes,RESUMO_SEMANTICO,"Resume pessoas jurídicas atendidas pelas cedentes"
19388423000159,Devedores PF/PJ,RESUMO_SEMANTICO,"Resume pessoas físicas e jurídicas devedoras"
23216398000101,N/D,REJEITAR_ARTEFATO,"Trecho é legenda de gráfico de concentração e não identifica sacado"
26286939000158,Cielo (adquirente),RESUMO_SEMANTICO,"Preserva a entidade e o papel de adquirente devedora"
26287464000114,Stone/Pagar.me/adq.,RESUMO_SEMANTICO,"Resume adquirentes e subadquirentes da operação"
28169275000172,PagSeguro (devedor),RESUMO_SEMANTICO,"Preserva a entidade e o papel de devedor de liquidação"
29225241000110,Devedores PF/PJ,RESUMO_SEMANTICO,"Resume obrigados privados ou públicos nos direitos adquiridos"
32527650000186,PicPay (pagador),RESUMO_SEMANTICO,"Preserva a entidade e o papel de pagador"
34197588000137,PF/PJ/entes púb.,RESUMO_SEMANTICO,"Resume as três classes documentadas de devedor"
42922136000107,Tomadores PF/PJ,RESUMO_SEMANTICO,"Resume tomadores de empréstimo e participantes de pagamentos"
47228232000165,Coop./fornec./rev.,RESUMO_SEMANTICO,"Resume cooperativas fornecedores revendas e seus clientes"
50473039000102,Mercado Pago,RESUMO_SEMANTICO,"Remove endereço e mantém a entidade devedora nomeada"
50906397000153,PF · INSS/FGTS,RESUMO_SEMANTICO,"Resume beneficiários de INSS e trabalhadores com FGTS"
51152102000163,Clientes das ced.,RESUMO_SEMANTICO,"Resume clientes ou sacados das cedentes"
52242420000188,PF · INSS/Aux./FGTS,RESUMO_SEMANTICO,"Resume as modalidades documentadas da CCB"
52610624000124,Compradores energia,RESUMO_SEMANTICO,"Resume contrapartes compradoras de energia elétrica"
53216449000158,Entes púb. e PF/PJ,RESUMO_SEMANTICO,"Resume devedores públicos e privados"
53263761000100,Entes púb./deved.,RESUMO_SEMANTICO,"Resume entes públicos e demais devedores dos créditos"
53300525000109,Grupo Casas Bahia,RESUMO_SEMANTICO,"Preserva o grupo devedor nomeado"
57609282000146,Bancos/IPs,RESUMO_SEMANTICO,"Resume a lista documental de bancos e instituições de pagamento"
60356171000180,Bancos/IPs,RESUMO_SEMANTICO,"Resume a lista documental de bancos e instituições de pagamento"
62393679000183,Emissores/IPs,RESUMO_SEMANTICO,"Resume emissores e instituições de pagamento liquidantes"
62393829000159,BRF*,MANTER_LITERAL,"Complemento manual curto preservado com asterisco"
63465818000108,Devedor/endossador,RESUMO_SEMANTICO,"Preserva os dois papéis definidos no regulamento"
63953619000130,Empregados CLT,RESUMO_SEMANTICO,"Resume pessoas físicas empregadas em empresas privadas"
65473848000183,Entes púb./precat.,RESUMO_SEMANTICO,"Resume devedores públicos dos precatórios"
