cnpj;categoria_atual;categoria_proposta;categoria_candidata;subtipo_risco;status;applied_flag;middle_market_status;racional;evidencia
42462306000100;Financeiro;Financeiro;;Crédito solar / recebíveis para securitização;MANTER_ALTA;NAO;Não;Risco de financiamento solar;rating 1023995 + IMG_8704
52968533000165;Financeiro;Agro / Revenda;;Máquinas e implementos agrícolas, vendas e serviços performados;APLICAR_ALTA;SIM;Não;Maqcampo cede vendas e serviços a clientes da cadeia agro;regulamento 994391, 106 páginas
52100879000147;Financeiro;Risco Corporativo;;Equipamentos e serviços, recebíveis comerciais pulverizados;APLICAR_ALTA;SIM;Candidato;Sotreq e Somov cedem vendas e serviços a clientes empresariais;regulamento 1117315, 244 páginas
50098465000103;Agro / Revenda;Agro / Revenda;Risco Corporativo;Exposição Braskem, lastro específico pendente;PENDENTE_TIPO_LASTRO;NAO;Pendente;Braskem identificada, sem instrumento ou devedor isolado;rating 903310 + regulamento 690567
37645417000111;Agro / Revenda;Agro / Revenda;;Insumos agrícolas, prazo safra;MANTER_ALTA;NAO;Não;Cedente Uby Agroquímica e lastro agro;IMG_8704
50832746000130;Agro / Revenda;Agro / Revenda;;Insumos agrícolas, prazo safra;MANTER_ALTA;NAO;Não;Cedente Boasafra e lastro agro;IMG_8704
33076242000118;Agro / Revenda;Agro / Revenda;;Recebíveis Albaugh, insumos agro;MANTER_ASTERISCO;NAO;Não;Cedente Albaugh, com tipo literal ainda não isolado;auditoria documental
48313595000161;Agro / Revenda;Agro / Revenda;;Multicedente agro, lastro específico pendente;PENDENTE_DOCUMENTAL;NAO;Pendente;Cedentes genéricos, sem devedor ou recebível identificado;regulamento da curadoria
32526025000110;Financeiro;Financeiro;;Cartão e CCB PF, recebíveis de pagamento;MANTER_ALTA;NAO;Não;Combina financiamento Brasil Card e recebíveis Bolt Card;regulamento 1186789, 96 páginas
45523699000102;Agro / Revenda;Agro / Revenda;Risco Corporativo;Trade finance / recebíveis comerciais;PENDENTE_FONTE_PRIMARIA;NAO;Candidato;Planilha informa FIDC Trading, sem cláusula primária de lastro;IMG_8704
54083697000130;Agro / Revenda;Adquirência;;Recebíveis de transações de pagamento Pernambucanas;APLICAR_ALTA;SIM;Não;Contratos de adquirência, bandeiras, emissores e transações de pagamento;regulamento 640301, 119 páginas
56936116000191;Agro / Revenda;Agro / Revenda;Risco Corporativo;Multicedente/multisacado, recebível comercial a confirmar;PENDENTE_TIPO_LASTRO;NAO;Candidato;Cedentes e devedores genéricos, sem natureza contratual isolada;documento 950915 + regulamento 1023213
50089559000108;Agro / Revenda;Agro / Revenda;;Insumos agrícolas, prazo safra;MANTER_ALTA;NAO;Não;Agriconnection e parceiros cedem créditos da cadeia agro;regulamento + IMG_8704
57131490000182;Agro / Revenda;Agro / Revenda;;Insumos agrícolas, prazo safra;MANTER_ALTA;NAO;Não;Ponto Rural e grupo cedem créditos de clientes agro;regulamento + IMG_8704
47151680000108;Agro / Revenda;Agro / Revenda;;Multicedente agro, lastro específico pendente;PENDENTE_DOCUMENTAL;NAO;Pendente;Tipo e devedor não localizados;IMG_8704 + regulamento 993922, timeout online
43309233000183;Agro / Revenda;Agro / Revenda;;CPR-F, CDCA e recebíveis de distribuidores Adama;MANTER_ALTA;NAO;Não;Instrumentos e devedores agro explícitos;regulamento 943032
43616659000180;Agro / Revenda;Agro / Revenda;;Recebíveis de insumos Yara;MANTER_ALTA;NAO;Não;Yara é originadora/cedente de fertilizantes;regulamento
52343195000176;Agro / Revenda;Agro / Revenda;;Multicedente Syngenta, lastro específico pendente;PENDENTE_DOCUMENTAL;NAO;Pendente;Devedor e tipo literal não isolados;IMG_8704 + regulamento 791944
44574361000117;Agro / Revenda;Agro / Revenda;;Insumos agrícolas, prazo safra;MANTER_ALTA;NAO;Não;UPL e insumos agrícolas;IMG_8704
50857998000113;Agro / Revenda;Adquirência;;Recebíveis de pagamento, subcredenciadora como devedora;APLICAR_ALTA;SIM;Não;Devedora é a subcredenciadora da Rede Leo;regulamento e auditoria documental
38376526000143;Financeiro;Adquirência;;Recebíveis de cartão / Hotmart;APLICAR_ALTA;SIM;Não;Hotmart é devedora dos direitos de cartões;regulamento 948252
41197066000109;Financeiro;Financeiro;;Crédito embedded PF/PJ, CCBs no ecossistema iFood;MANTER_ALTA;NAO;Não;Operações de crédito formalizadas por CCB;regulamento 1076481
38385876000176;Agro / Revenda;Adquirência;;Agenda de recebíveis de transações de pagamento;APLICAR_ALTA;SIM;Não;Direitos constam da agenda de recebíveis do arranjo;regulamento 719764
38658727000133;Agro / Revenda;Risco Corporativo;;Supplier finance, MadeiraMadeira como devedora;APLICAR_ALTA;SIM;Não;Fornecedores cedem créditos comerciais contra MadeiraMadeira;regulamento 691063
29226654000110;Agro / Revenda;Agro / Revenda;Financeiro;Cartão/CCB, ecossistema Credsystem;PENDENTE_FONTE_PRIMARIA;NAO;Não;Risco informado como cartão/consumidor, sem cláusula primária registrada;IMG_8705
54857414000160;Agro / Revenda;Agro / Revenda;;CPR-F de produtores rurais;MANTER_ALTA;NAO;Não;Devedores são produtores e cooperativas;regulamento + IMG_8705
44124465000120;Agro / Revenda;Agro / Revenda;Adquirência;Risco de emissores de cartão / arranjo ACQIO;PENDENTE_FONTE_PRIMARIA;NAO;Não;ACQIO e bancos emissores estão na planilha manual;IMG_8705
63622842000103;Agro / Revenda;Risco Corporativo;;Notas comerciais da Dass, projeto de investimento;APLICAR_ALTA;SIM;Não;Direitos são notas comerciais emitidas pela Dass Nordeste;regulamento 1051646, 90 páginas
44272584000120;Agro / Revenda;Agro / Revenda;;Recebíveis do Grupo Lavoro;MANTER_ALTA;NAO;Não;Cedentes distribuem produtos agropecuários;regulamento
62838025000116;Financeiro;Financeiro;Adquirência;Recebíveis de arranjos de pagamento;PENDENTE_FONTE_PRIMARIA;NAO;Não;Rede, Getnet, Cielo e Pag constam apenas na fonte manual;IMG_8705
47280025000150;Agro / Revenda;Agro / Revenda;;Recebíveis Albaugh, insumos agro;MANTER_ASTERISCO;NAO;Não;Cedente Albaugh, com tipo literal não isolado;auditoria documental
