offer_id,period_label,rank,cnpj,issuer_name,rating_document_count,latest_document_id,latest_document_date,rating_agency,rating_assigned,rating_scope,rating_source_type,rating_source_url,rating_match_status,rating_evidence,rating_availability_status,rating_limitation
24947,2026 jan-jun,1,62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,4,68e86224-61b6-4cc6-b2cb-b6b2684d34cc,03/03/2026,Moody's Local,(P) AAA.br(sf) | (P) AA+.br(sf) | (P) BBB.br(sf),Sênior | mezanino A | mezanino B,SRE/CVM,https://web.cvm.gov.br/sre-publico-cvm/rest/download/68e86224-61b6-4cc6-b2cb-b6b2684d34cc,vínculo por oferta e subclasses,Anúncio de início da oferta identifica as três subclasses e ratings preliminares.,rating da emissão verificado,Ratings provisórios conforme marcador (P) do documento.
22244,2026 jan-jun,2,62588266000154,VTK FUNDO DE  INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE  LIMITADA,0,,,N/D,N/D,N/D,,,sem documento público verificável,Nenhum relatório de rating conciliável com a emissão foi localizado.,N/D para a emissão,Agência e rating mantidos como N/D por ausência de documento público verificável para a emissão.
25826,2026 jan-jun,3,65976848000104,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS AGIBANK II RESPONSABILIDADE LIMITADA,0,0e689a5a-9239-4702-b118-d73308949308,27/04/2026,Moody's Local,AAA.br(sf),1ª série sênior da 1ª emissão,SRE/CVM,https://web.cvm.gov.br/sre-publico-cvm/rest/download/0e689a5a-9239-4702-b118-d73308949308,vínculo por oferta emissão e série,Anúncio de encerramento identifica a 1ª série sênior da 1ª emissão e o rating.,rating da emissão verificado,Documento público localizado no SRE/CVM.
24712,2026 jan-jun,4,50114948000146,DRIVER BRASIL SIX BANCO VOLKSWAGEN FIDC FINANCIAMENTO DE VEÍCULOS - RESPONSABILIDADE LIMITADA,11,1195766,31/03/2026,Moody's Local,AAA.br(sf),2ª série sênior da 2ª emissão,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1195766&cvm=true,vínculo por fundo emissão e série,Relatório identifica a 2ª série sênior da 2ª emissão correspondente à oferta.,rating da emissão verificado,Rating aplicável somente à série indicada.
24433,2026 jan-jun,5,63572282000111,SELLER 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SEGMENTO MEIOS DE PAGAMENTO DE RESP LIMITADA,1,1242099,01/07/2026,Austin Rating,brAAA(sf),1ª série sênior da 1ª emissão,FundosNet,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1242099&cvm=true,vínculo por fundo emissão e série,Relatório identifica a 1ª série sênior da 1ª emissão correspondente à oferta.,rating da emissão verificado,Rating aplicável somente à série indicada.
25379,2026 jan-jun,6,63546406000194,PINE INSS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS  RESPONSABILIDADE LIMITADA,0,,,N/D,N/D,N/D,,,sem documento público verificável,Nenhum relatório de rating conciliável com a emissão foi localizado.,N/D para a emissão,Agência e rating mantidos como N/D por ausência de documento público verificável para a emissão.
26277,2026 jan-jun,7,65839682000176,FUNDO DE INVESTIMENTOS EM DIREITOS CREDITORIOS PICPAY FGTS II DE RESPONSABILIDADE LIMITADA,0,9ce78c31-6bb2-4912-a374-952ab07be210,18/05/2026,Moody's Local,(P) AAA.br(sf),Cotas seniores da 1ª emissão,SRE/CVM,https://web.cvm.gov.br/sre-publico-cvm/rest/download/9ce78c31-6bb2-4912-a374-952ab07be210,vínculo por oferta e emissão,Anúncio de encerramento identifica as cotas seniores da 1ª emissão e rating preliminar.,rating da emissão verificado,Rating provisório conforme marcador (P) do documento.
23614,2026 jan-jun,8,63733796000101,ICRED INSS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,0,,,N/D,N/D,N/D,,,sem documento público verificável,Nenhum relatório de rating conciliável com a emissão foi localizado.,N/D para a emissão,Agência e rating mantidos como N/D por ausência de documento público verificável para a emissão.
24212,2026 jan-jun,9,64118207000148,JIVEMAUÁ BOSSANOVA CRÉDITO SECURITIZADO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,0,,,N/D,N/D,N/D,,,sem documento público verificável,Nenhum relatório de rating conciliável com a emissão foi localizado.,N/D para a emissão,Agência e rating mantidos como N/D por ausência de documento público verificável para a emissão.
24371,2026 jan-jun,10,62393829000159,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS COMERCIAIS MEDICI I - RESPONSABILIDADE LIMITADA,1,2526e816-d7bc-415a-a590-ccb79c46b209,23/01/2026,Fitch Ratings,AAAsf(bra),2ª série sênior,SRE/CVM,https://web.cvm.gov.br/sre-publico-cvm/rest/download/2526e816-d7bc-415a-a590-ccb79c46b209,vínculo por oferta e série,Anúncio de encerramento identifica a 2ª série sênior e o rating.,rating da emissão verificado,Documento público localizado no SRE/CVM.
