period_order,period_label,period_start,period_end,is_full_year,instrument_order,instrument_label,anbima_instrument_label,closed_volume_brl,source_name,source_snapshot,source_sheet,source_range,source_url,source_workbook_sha256,metric,scope,limitation
1,2023 FY,2023-01-01,2023-12-31,True,1,Debêntures,Debêntures,236616639241.84998,ANBIMA Data — Boletim de Mercado de Capitais,mai/26,02-02-Vlr,B50:P95,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,Debêntures incluem debêntures de securitização; o anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
1,2023 FY,2023-01-01,2023-12-31,True,2,FIDCs,FIDC,43746140196.22497,ANBIMA Data — Boletim de Mercado de Capitais,mai/26,02-02-Vlr,B50:P95,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
1,2023 FY,2023-01-01,2023-12-31,True,3,CRI,CRI,47709707324.49912,ANBIMA Data — Boletim de Mercado de Capitais,mai/26,02-02-Vlr,B50:P95,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
1,2023 FY,2023-01-01,2023-12-31,True,4,Notas comerciais,Notas Comerciais,27907646005.0,ANBIMA Data — Boletim de Mercado de Capitais,mai/26,02-02-Vlr,B50:P95,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
1,2023 FY,2023-01-01,2023-12-31,True,5,CRA,CRA,43294537857.29,ANBIMA Data — Boletim de Mercado de Capitais,mai/26,02-02-Vlr,B50:P95,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
2,2024 FY,2024-01-01,2024-12-31,True,1,Debêntures,Debêntures,474360289902.63763,ANBIMA Data — Boletim de Mercado de Capitais,mai/26,02-02-Vlr,B50:P95,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,Debêntures incluem debêntures de securitização; o anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
2,2024 FY,2024-01-01,2024-12-31,True,2,FIDCs,FIDC,82863262482.07118,ANBIMA Data — Boletim de Mercado de Capitais,mai/26,02-02-Vlr,B50:P95,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
2,2024 FY,2024-01-01,2024-12-31,True,3,CRI,CRI,61354381502.59683,ANBIMA Data — Boletim de Mercado de Capitais,mai/26,02-02-Vlr,B50:P95,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
2,2024 FY,2024-01-01,2024-12-31,True,4,Notas comerciais,Notas Comerciais,43562369500.0,ANBIMA Data — Boletim de Mercado de Capitais,mai/26,02-02-Vlr,B50:P95,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
2,2024 FY,2024-01-01,2024-12-31,True,5,CRA,CRA,41564214397.0,ANBIMA Data — Boletim de Mercado de Capitais,mai/26,02-02-Vlr,B50:P95,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
