cnpj,fundo,minimo_em_uso_pct,veredito,valor_documental_pct,familia,pagina,trecho,documento,fonte_no_registro
11468186000124,Atlanta,50.0,remete a suplemento,,subordinacao,8.0,"o de gestão da carteira de Ativos do Fundo. “IPCA” Índice Nacional de Preços ao Consumidor Amplo, divulgado pelo IBGE, ou outro índice que venha a substituí-lo. “Índice de Referência” Valorização de cada Subclasse, conforme definida no respectivo Suplemento. “Índice de Subordinação” Em conjunto ou isoladamente, o Índice de Subordinação Júnior e o Índice de Subordinação Subordinadas, conforme aplicável. “Índice de Subordinação Junior” Relação mínima que deve ser observada entre o valor de Cotas Subordinadas Junior e o Patrimônio Líquido das Classes",Regulamento 1025235 · 31/10/2025,Regulamento 1130308 · p. 47 · 2026-03-06
17468142000180,Valorem,15.0,confirma,15.0,subordinacao,103.0,"10.2. Desde a data da primeira Emissão de Cotas Subordinadas Mezaninos até a última Data de Resgate, o Índice de Subordinação Mezanino deverá ser igual ou superior a 15% (quinze por cento) de seu Patrimônio Líquido (“Índice de Subordinação Mínimo Mezanino”). 10.3. Caso o Índice de Subordinação seja inferior ao Índice de Subordinação Mínimo, a Administradora deverá comunicar aos titulares de Cotas Subordinadas para que decidam se realizarão aporte adicional de recursos para o reenquadramento da Classe ao Índice de Subordinação Mínimo, mediante a emissão, subscrição e integralização de novas Cotas Subordinadas. 10.3.1. Caso os titulares das Cotas Subordinadas decidam que não realizarão o aport",Regulamento 1271235 · 31/07/2026,Regulamento 1157934 · p. 102 · 2026-04-09
18185812000114,Gavea Sul,22.0,confirma,22.0,subordinacao,52.0,"a e cinco por cento) de seu Patrimônio Líquido representado por Cotas Subordinadas, seja de subclasse Subordinada Mezanino ou da Júnior; b) Observado o disposto no Item anterior e enquanto existirem Cotas Subordinadas Mezanino em circulação, o Fundo terá como Índice de Subordinação Junior o percentual mínimo de 22% (vinte dois por cento) de seu Patrimônio Líquido representados por Cotas Subordinadas Junior. Artigo 142 - Na hipótese de inobservância de qualquer umas dos Índices de Subordinação, serão adotados os seguintes procedimentos: a) Passados cinco dias úteis consecutivos, de desenquadramento de qualquer Índice de Subordinação, a Administradora interromperá imediatamente a aquisição de ",Regulamento 913534 · 29/05/2025,Regulamento 1011996 · p. 53 · 2025-10-13
26749095000134,Pravaler Crédito Universitá…,10.0,sem cláusula localizada,,,,,Regulamento 791238 · 29/11/2024,Regulamento 1061833 · p. 152 · 2025-11-19
28169275000172,Pagseguro I,50.0,remete a suplemento,,subordinacao,67.0,"remuneração determinada no respectivo Suplemento (“Benchmark Mezanino”). 14.5. As Cotas Subordinadas a serem subscritas e integralizadas exclusivamente pelo PagSeguro e/ou por Parte Relacionada do PagSeguro , em montante equivalente, no mínimo, à proporção da Razão de Subordinação, terão as seguintes características, vantagens, direitos e obrigações: (i) subordinam-se às Cotas Seniores e às Cotas Mezanino para efeito de amortização e/ou resgate, observados os termos deste Regulamento; (ii) somente poderão ser amortizadas e/ou resgatadas, bem como receber o pagamento a título de retorno, após o resgate integral das Cotas Seniores e das Cotas Mezanino, nos termos deste Regulamento; (iii) somen",Regulamento 483973 · 28/06/2023,Regulamento 1149521 · p. 44 · 2026-03-25
29226654000110,Investcred,67.4267,remete a suplemento,,cobertura,63.0,"pondente à totalidade das Cotas Subordinadas e o montante correspondente à respectiva série de Cotas Seniores conforme definido em seu respectivo Suplemento, calculado conforme definição do glossário e metodologia descrita no Anexo V ao presente Regulamento (“Índice de Cobertura Sênior”). O Índice de Cobertura Sênior será verificado diariamente pela Gestora. 9.21. A Classe Única terá como razão de garantia o percentual mínimo a ser indicado no Suplemento da respectiva série de Cotas, calculado conforme definição do glossário e metodologia descrita no Anexo V ao presente Regulamento (a “Razão de Garantia”). 9.22. Caso o Índice de Cobertura Sênior e/ou a Razão de Garantia, dispostos nos Artigo",Regulamento 1023849 · 30/10/2025,Regulamento 1023848 · p. 3–4; 9–10 · 2025-10-28
29492605000129,Gazin,51.0,remete a suplemento,,subordinacao,9.0,"tulo. “IGP-DI” Índice Geral de Preços – Disponibilidade Interna, divulgado pelo Instituto Brasileiro de Economia da Fundação Getulio Vargas. “IGP-M” Índice Geral de Preços – Mercado, divulgado pelo Instituto Brasileiro de Economia da Fundação Getulio Vargas. “Índice de Subordinação” Relação mínima que deve ser observada entre o valor de uma subclasse de cotas subordinadas e o patrimônio líquido da classe “Índice Referencial” Índice quantitativo utilizado para calcular a meta de valorização das Cotas Seniores de uma determinada série, conforme definido no respectivo Apêndice. “Investidores Autorizados” Investidores profissionais, conforme definidos na regulamentação aplicável. “Patrimônio Líq",Regulamento 886246 · 29/04/2025,Regulamento 1117213 · p. 44 · 2026-02-12
30035329000159,Via Invest II,15.0,confirma,15.0,subordinacao,44.0,"44 DESSE ÍNDICE 5.1. A partir da integralização de Cotas Seniores e de Cotas Subordinadas Mezanino, a Classe deverá observar o Índice de Subordinação equivalente a, no mínimo, 15% (quinze por cento). 5.2. O Índice de Subordinação deverá ser apurado todo Dia Útil pela Gestora, devendo a apuração do cálculo ser informada à aos Cotistas mensalmente, ressalvada a hipótese de desenquadramento indicada na Cláusula 5.5 abaixo. 5.3. Na hipótese de desenquadramento do Índice de Subordinação, os respectivos Cotistas titulares das Cotas Subordinadas Junior, conforme o caso, serão imediatamente informados pela Gestora, com cópia para a Administradora. 5.4. Os respectivos Cotistas deverão responder à Ges",Regulamento 998769 · 25/09/2025,Regulamento 998769 · p. 44; 64 · 2025-09-22
31570767000180,Tradepay Varejo I,5.0,diverge,20.0,subordinacao,9.0,"everão ser observadas no FUNDO e verificada todo Dia Útil pela ADMINISTRADORA: I - a Subordinação Mínima admitida no FUNDO é de 20% (vinte por cento) do Patrimônio Líquido, representada por Cotas Subordinadas Mezanino e Cotas Subordinadas Júnior, sendo que as Cotas Subordinadas Junior representarão no mínimo 10% (dez por cento) desta relação, ou seja, a relação mínima equivalente a 125% (cento e vinte e cinco por cento) entre o Patrimônio Líquido do FUNDO e o valor das Cotas Seniores; II – no caso de não haver Cotas Subordinadas Mezanino em circulação, as Cotas Subordinadas Junior representarão no mínimo 20% (vinte por cento) do Patrimônio Líquido do FUNDO. 9.2. Na hipótese de desenquadramen",Regulamento 158723 · 30/03/2021,Regulamento 1203635 · p. 39 · 2026-05-25
31739396000117,LF III,0.5,remete a suplemento,,subordinacao,14.0,"r o montante equivalente a 1,50% (um inteiro e cinquenta centésimos por cento) do Patrimônio Líquido do Fundo, verificado mensalmente. “Índice de Subordinação” O Índice de Subordinação Sênior e o Índice de Subordinação Mezanino, quando referidos em conjunto. “Índice de Subordinação Mezanino” significa razão entre (i) valor total das Cotas Subordinadas Júnior; e (ii) o valor total das Cotas Mezanino, que deverá ser equivalente a, no mínimo, 33,33% (trinta e três inteiros e trinta e três centésimos por cento). “Índice de Subordinação Sênior” significa a razão entre (i) valor total das Cotas Subordinadas Júnior e o valor total das Cotas Mezanino; e (ii) o Patrimônio Líquido do Fundo, que deverá",Regulamento 789677 · 28/11/2024,Regulamento 1146939 · p. 39 · 2026-03-27
