period_order,period_label,period_start,period_end,is_full_year,instrument_order,instrument_label,cvm_instrument,cvm_closed_offers,cvm_registered_volume_brl,cvm_harmonization_instrument,cvm_harmonization_volume_brl,cvm_harmonized_volume_brl,anbima_instrument_label,anbima_closed_volume_brl,raw_gap_brl,raw_gap_pct,harmonized_gap_brl,harmonized_gap_pct,primary_explanation,cvm_source_dataset,cvm_source_url,cvm_source_as_of_date,cvm_source_archive_sha256,cvm_metric,cvm_scope,anbima_source_name,anbima_source_url,anbima_source_snapshot,anbima_source_sheet,anbima_source_range,anbima_source_workbook_sha256,anbima_metric,anbima_scope,limitation
1,2023 FY,2023-01-01,2023-12-31,True,1,Debêntures,DEBENTURES,330,229291431673.0,OUTROS TITULOS DE SECURITIZACAO,0.0,229291431673.0,Debêntures,236616639241.85,-7325207568.850006,-0.030958125313253152,-7325207568.850006,-0.030958125313253152,A ANBIMA inclui debêntures de securitização. A CVM passou a classificar parte desse volume como Outros títulos de securitização.,oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Valor registrado,Ofertas públicas primárias encerradas; todos os ritos disponíveis na CVM; data de encerramento no período; volume registrado positivo.,ANBIMA Data — Boletim de Mercado de Capitais,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,mai/26,02-02-Vlr,B50:P95,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,Debêntures incluem debêntures de securitização; o anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
1,2023 FY,2023-01-01,2023-12-31,True,2,FIDCs,COTAS DE FIDC,350,26476286193.56,,0.0,26476286193.56,FIDC,43746140196.22497,-17269854002.664967,-0.39477434866711403,-17269854002.664967,-0.39477434866711403,A CVM mede volume registrado de ofertas primárias; a ANBIMA mede valor encerrado e o anexo não segrega sistematicamente ofertas primárias e secundárias.,oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Valor registrado,Ofertas públicas primárias encerradas; todos os ritos disponíveis na CVM; data de encerramento no período; volume registrado positivo.,ANBIMA Data — Boletim de Mercado de Capitais,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,mai/26,02-02-Vlr,B50:P95,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
1,2023 FY,2023-01-01,2023-12-31,True,3,CRI,CERTIFICADOS DE RECEBIVEIS IMOBILIARIOS,300,47346040270.6,,0.0,47346040270.6,CRI,47709707324.49912,-363667053.89912415,-0.00762249601376992,-363667053.89912415,-0.00762249601376992,"A diferença residual depende de valor registrado versus encerrado, fotografia da base e retificações; a causa individual exige reconciliação oferta a oferta.",oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Valor registrado,Ofertas públicas primárias encerradas; todos os ritos disponíveis na CVM; data de encerramento no período; volume registrado positivo.,ANBIMA Data — Boletim de Mercado de Capitais,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,mai/26,02-02-Vlr,B50:P95,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
1,2023 FY,2023-01-01,2023-12-31,True,4,Notas comerciais,NOTAS COMERCIAIS,129,25407368005.0,,0.0,25407368005.0,Notas Comerciais,27907646005.0,-2500278000.0,-0.08959114643893806,-2500278000.0,-0.08959114643893806,"A diferença residual depende de valor registrado versus encerrado, fotografia da base e retificações; a causa individual exige reconciliação oferta a oferta.",oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Valor registrado,Ofertas públicas primárias encerradas; todos os ritos disponíveis na CVM; data de encerramento no período; volume registrado positivo.,ANBIMA Data — Boletim de Mercado de Capitais,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,mai/26,02-02-Vlr,B50:P95,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
1,2023 FY,2023-01-01,2023-12-31,True,5,CRA,CERTIFICADOS DE RECEBIVEIS DO AGRONEGOCIO,179,51149282621.7,,0.0,51149282621.7,CRA,43294537857.29,7854744764.409996,0.18142576761764423,7854744764.409996,0.18142576761764423,"A diferença residual depende de valor registrado versus encerrado, fotografia da base e retificações; a divergência de 2023 permanece sem causa atribuída.",oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Valor registrado,Ofertas públicas primárias encerradas; todos os ritos disponíveis na CVM; data de encerramento no período; volume registrado positivo.,ANBIMA Data — Boletim de Mercado de Capitais,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,mai/26,02-02-Vlr,B50:P95,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
2,2024 FY,2024-01-01,2024-12-31,True,1,Debêntures,DEBENTURES,613,472863247500.18005,OUTROS TITULOS DE SECURITIZACAO,0.0,472863247500.18005,Debêntures,474360289902.6376,-1497042402.4575195,-0.0031559184744675557,-1497042402.4575195,-0.0031559184744675557,A ANBIMA inclui debêntures de securitização. A CVM passou a classificar parte desse volume como Outros títulos de securitização.,oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Valor registrado,Ofertas públicas primárias encerradas; todos os ritos disponíveis na CVM; data de encerramento no período; volume registrado positivo.,ANBIMA Data — Boletim de Mercado de Capitais,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,mai/26,02-02-Vlr,B50:P95,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,Debêntures incluem debêntures de securitização; o anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
2,2024 FY,2024-01-01,2024-12-31,True,2,FIDCs,COTAS DE FIDC,1009,95416726133.75,,0.0,95416726133.75,FIDC,82863262482.07118,12553463651.678818,0.15149613080217503,12553463651.678818,0.15149613080217503,A CVM mede volume registrado de ofertas primárias; a ANBIMA mede valor encerrado e o anexo não segrega sistematicamente ofertas primárias e secundárias.,oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Valor registrado,Ofertas públicas primárias encerradas; todos os ritos disponíveis na CVM; data de encerramento no período; volume registrado positivo.,ANBIMA Data — Boletim de Mercado de Capitais,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,mai/26,02-02-Vlr,B50:P95,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
2,2024 FY,2024-01-01,2024-12-31,True,3,CRI,CERTIFICADOS DE RECEBIVEIS IMOBILIARIOS,501,57687766747.05,,0.0,57687766747.05,CRI,61354381502.59683,-3666614755.546829,-0.05976125365050969,-3666614755.546829,-0.05976125365050969,"A diferença residual depende de valor registrado versus encerrado, fotografia da base e retificações; a causa individual exige reconciliação oferta a oferta.",oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Valor registrado,Ofertas públicas primárias encerradas; todos os ritos disponíveis na CVM; data de encerramento no período; volume registrado positivo.,ANBIMA Data — Boletim de Mercado de Capitais,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,mai/26,02-02-Vlr,B50:P95,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
2,2024 FY,2024-01-01,2024-12-31,True,4,Notas comerciais,NOTAS COMERCIAIS,209,45767639500.0,,0.0,45767639500.0,Notas Comerciais,43562369500.0,2205270000.0,0.05062327934204773,2205270000.0,0.05062327934204773,"A diferença residual depende de valor registrado versus encerrado, fotografia da base e retificações; a causa individual exige reconciliação oferta a oferta.",oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Valor registrado,Ofertas públicas primárias encerradas; todos os ritos disponíveis na CVM; data de encerramento no período; volume registrado positivo.,ANBIMA Data — Boletim de Mercado de Capitais,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,mai/26,02-02-Vlr,B50:P95,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
2,2024 FY,2024-01-01,2024-12-31,True,5,CRA,CERTIFICADOS DE RECEBIVEIS DO AGRONEGOCIO,174,41832471000.0,,0.0,41832471000.0,CRA,41564214397.0,268256603.0,0.006454027987579674,268256603.0,0.006454027987579674,"A diferença residual depende de valor registrado versus encerrado, fotografia da base e retificações; a divergência de 2023 permanece sem causa atribuída.",oferta_resolucao_160.csv + oferta_distribuicao.csv,https://dados.cvm.gov.br/dados/OFERTA/DISTRIB/DADOS/oferta_distribuicao.zip,2026-07-24,46a5a3c35e500dd4560a5a4b286a7a302311ea02b397c1a67821bc197514b4e5,Valor registrado,Ofertas públicas primárias encerradas; todos os ritos disponíveis na CVM; data de encerramento no período; volume registrado positivo.,ANBIMA Data — Boletim de Mercado de Capitais,https://data-strapi.prd.anbima.com.br/uploads/Boletim_MK_Anexo_8_33b8963678.xlsx,mai/26,02-02-Vlr,B50:P95,1236172468f5aa3ddde24382bfa9c5f6372f9b35cd03993ef2482d358845b524,Valor Encerrado,Ofertas públicas encerradas por data de encerramento,O anexo não segrega sistematicamente ofertas primárias e secundárias; série sujeita a retificações.
