Nome,J17 FGTS FINANCEIRO
Grupo,FIDC J17 FGTS
CNPJ,54.252.144/0001-64
Páginas locais analisadas,4141
Última competência IME,—
PL (R$ mm),—
Direitos creditórios / PL,—
Vencidos Over 30d / crédito,—
Vencidos Over 60d / crédito,—
Vencidos Over 90d / crédito,—
Vencidos Over 180d / crédito,—
Vencidos Over 360d / crédito,—
PDD / crédito,—
PDD / vencidos,—
Cotas sênior / PL,—
Cotas mezanino / PL,—
Cotas subordinadas / PL,—
Séries/classes emitidas identificadas,16
Volume emitido identificado (R$ mm),1.255
Primeira emissão identificada,12/04/2024
Última emissão identificada,30/12/2025
"Emissões detectadas (data, classe, preço e volume)","12/04/2024 · COTAS SENIORES _________________________ 137 · Sênior: termos econômicos não identificados
04/05/2024 · 2ª Série: R$ 105 mm
25/07/2024 · COTAS SENIORES ________________________ 148 · Sênior: termos econômicos não identificados
25/07/2024 · Cotas Seniores"") · Sênior: R$ 85 mm
26/07/2024 · COTAS SENIORES E DE COTAS SUBORDINADAS · Sênior: R$ 95 mm
31/07/2024 · COTAS SENIORES E DE COTAS SUBORDINADAS MEZANINO DA CLASSE ÚNICA · Sênior: R$ 95 mm
31/07/2024 · COTAS SENIORES ________________________ 146 · Sênior: termos econômicos não identificados
04/10/2024 · COTAS SENIORES DA PRIMEIRA SÉRIE E DE COTAS SUBORDINADAS · Sênior: R$ 95 mm
29/10/2024 · 2ª Série: R$ 85 mm
29/10/2024 · COTAS SENIORES________________________ 145ANEXO III -MODELO DE A · Sênior: termos econômicos não identificados
30/10/2024 · Classe/série não identificada: R$ 190 mm
05/11/2024 · 2ª Série: R$ 190 mm
13/01/2025 · COTAS SENIORES ________________________ 150 · Sênior: termos econômicos não identificados
28/05/2025 · Cotas Seniores da Classe Única do J17 FGTS · Sênior: R$ 85 mm; Rem DI + 2,50% a.a.
04/06/2025 · COTAS SENIORES ________________________ 149 · Sênior: termos econômicos não identificados
13/06/2025 · 4ª Série: R$ 85 mm
13/06/2025 · COTAS SENIORES ________________________ 144 · Sênior: termos econômicos não identificados
03/07/2025 · 4ª Série: R$ 95 mm
04/07/2025 · COTAS SENIORES ________________________ 150 · Sênior: termos econômicos não identificados
26/11/2025 · COTAS SENIORES ________ · Sênior: termos econômicos não identificados
29/12/2025 · COTAS SENIORES ________________________ 153 · Sênior: termos econômicos não identificados
30/12/2025 · 4ª Série: R$ 50 mm"
Remuneração-alvo por emissão detectada,"28/05/2025 · Cotas Seniores da Classe Única do J17 FGTS · Sênior: DI + 2,50% a.a."
Amortização/vencimento por emissão detectada,—
Regulamento-base dos thresholds,29/12/2025 · 2025
Alocação mínima em DCs,>= 67%
Subordinação mínima,>= 85%; >= 49%; >= 10%; 85%
Evento de avaliação por atraso,—
Liquidação/vencimento por atraso,—
Cobertura mínima PDD,>= 49%; >= 10%
Reserva/caixa mínimo,>= 85%; >= 95%; 95%; 85%
Limite de recompra,—
Limite de cancelamento,<= 25%; 25%
Limite de chargeback/contestação,—
Limites de concentração,<= 33%
Hedges permitidos,texto 33%; texto 17%; texto; Regra textual de derivativos/hedge; verificar observação e fonte.
Cross default do cedente,—
Troca de gestor/administrador,—
Critérios de elegibilidade,texto 25%; >=; texto
