fundo,CNPJ,Data regulamento,Critério,Evento,Comparação,Limite,Monitorável IME,Métrica IME,Fonte
CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,28/04/2024,Limites de concentração,Limites de concentração,—,Até 100% em mesmo devedor/grupo e até 100% por mesmo endossante/originador,nao_monitoravel,—,670691_regulamento_regulamento_670691_2024-04-28.pdf · p.11 · itens 4.10 e 4.11.2
CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,28/04/2024,Alocação mínima em direitos creditórios,Alocação mínima em direitos creditórios,>=,50% após 180 dias da 1ª integralização,monitoravel,Dir Cred / PL,670691_regulamento_regulamento_670691_2024-04-28.pdf · p.11 · item 4.9
CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,28/04/2024,Composição tributária buscada pelo gestor,Composição tributária buscada pelo gestor,>=,67% em direitos creditórios para regime tributário,direto com ressalva,Dir Cred / PL,670691_regulamento_regulamento_670691_2024-04-28.pdf · p.5 · cap. tributação
CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,28/04/2024,Day trade vedado,Day trade vedado,—,Operações de day trade vedadas,nao_monitoravel,—,670691_regulamento_regulamento_670691_2024-04-28.pdf · p.13 · item 4.16
CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,28/04/2024,Critérios de elegibilidade dos recebíveis,Critérios de elegibilidade dos recebíveis,—,CCBs sem parcela cedida; sem atraso; prestação > R$30; idade + prazo <= 80 anos; demais critérios documentais,nao_monitoravel,—,670691_regulamento_regulamento_670691_2024-04-28.pdf · p.9-10 · item 4.7
CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,28/04/2024,Eventos de avaliação,Eventos de avaliação,—,RAET/liquidação de endossante; descumprimentos contratuais; não entrega de arquivos/documentos; problemas com convênios/licenças; violações legais,nao_monitoravel,—,670691_regulamento_regulamento_670691_2024-04-28.pdf · p.17-19 · item 11.1
CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,28/04/2024,PL mínimo operacional,PL mínimo operacional,>=,R$ 1.000.000 após 90 dias de atividade; evento se inferior por 90 dias consecutivos,parcial,PL,670691_regulamento_regulamento_670691_2024-04-28.pdf · p.19 · item 11.3(iv)
CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,28/04/2024,Derivativos apenas para proteção ou troca de indexador,Derivativos apenas para proteção ou troca de indexador,—,Permitidos se proteção patrimonial ou troca de indexador sem exposição a risco de capital,parcial,Posições mantidas em derivativos,670691_regulamento_regulamento_670691_2024-04-28.pdf · p.13 · item 4.15
CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,28/04/2024,Recompra ou indenização pelo endossante,Recompra ou indenização pelo endossante,—,"Endossante deve recomprar/indenizar em vícios de formalização, fraude, divergências ou disputas especificadas",nao_monitoravel,—,670691_regulamento_regulamento_670691_2024-04-28.pdf · p.12 · item 4.13
CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,28/04/2024,Cotas pari passu sem subordinação,Cotas pari passu sem subordinação,—,"Não há preferência, prioridade ou subordinação entre titulares de cotas",monitoravel,"Cotas SR / PL %, Cotas MZ / PL %, Cotas Sub / PL %",670691_regulamento_regulamento_670691_2024-04-28.pdf · p.13-14 · itens 5.1 e 5.4
PLGN MARKETPLACE FUNDO DE INVESTIMEN,55.563.624/0001-09,03/07/2024,Natureza FICFIDC,Natureza FICFIDC,—,Recursos destinados a cotas da classe investida e ativos financeiros de liquidez,parcial,Dir Cred / PL,691674_assembleia_assembleia_691674_2024-07-03.pdf · p.2-3
MT CONSIGNADO PRIVADO I,60.010.416/0001-12,20/03/2025,Concentração por devedor/endossante,Concentração por devedor/endossante,—,Pode chegar a 100% por mesmo devedor/grupo; não adquirir DCs originados/endossados por administrador/gestor,nao_monitoravel,—,993786_regulamento_regulamento_993786_2025-03-20.pdf · p.12
MT CONSIGNADO PRIVADO I,60.010.416/0001-12,20/03/2025,Alocação mínima em direitos creditórios,Alocação mínima em direitos creditórios,>=,50% após 180 dias da 1ª integralização,monitoravel,Dir Cred / PL,993786_regulamento_regulamento_993786_2025-03-20.pdf · p.12
MT CONSIGNADO PRIVADO I,60.010.416/0001-12,20/03/2025,Composição tributária buscada pelo gestor,Composição tributária buscada pelo gestor,>=,67% em direitos creditórios para regime tributário,direto com ressalva,Dir Cred / PL,993786_regulamento_regulamento_993786_2025-03-20.pdf · p.12
MT CONSIGNADO PRIVADO I,60.010.416/0001-12,09/10/2025,Atraso/Inadimplência - evento de avaliação,avaliação,>=,25%,monitoravel,Vencidos Over 30/60/90/180/360 d / Crédito,1051393_regulamento_regulamento_1051393_2025-10-09.pdf
MT CONSIGNADO PRIVADO I,60.010.416/0001-12,20/03/2025,Elegibilidade/origem Plataforma MT,Elegibilidade/origem Plataforma MT,—,CCB eletrônica de empréstimo consignado concedido pelo Endossante ao Devedor por meio da Plataforma MT,nao_monitoravel,—,993786_regulamento_regulamento_993786_2025-03-20.pdf · p.9 e p.41-46
MT CONSIGNADO PRIVADO I,60.010.416/0001-12,09/10/2025,Hedges/derivativos permitidos,enquadramento,texto,—,parcial,Posições mantidas em derivativos,1051393_regulamento_regulamento_1051393_2025-10-09.pdf
MT CONSIGNADO PRIVADO I,60.010.416/0001-12,09/10/2025,Hedges/derivativos permitidos,enquadramento,texto,100%,parcial,Posições mantidas em derivativos,1051393_regulamento_regulamento_1051393_2025-10-09.pdf
V CDT 1,62.552.447/0001-20,03/09/2025,Forma de amortização,Forma de amortização,—,Cash sweep conforme ordem de alocação de recursos,nao_monitoravel,—,988020_assembleia_assembleia_988020_2025-09-03.pdf · p.6
V CDT 1,62.552.447/0001-20,03/09/2025,Prestador de retenção/cobrança,Prestador de retenção/cobrança,—,VR Benefícios e Serviços de Processamento S.A. contratada para retenção e cobrança,nao_monitoravel,—,988020_assembleia_assembleia_988020_2025-09-03.pdf · p.2
BTG PACTUAL CERES CONFINA FUNDO DE I,62.696.791/0001-93,20/03/2026,Limite de concentração,elegibilidade,<=,100%,nao_monitoravel,—,1143317_regulamento_regulamento_1143317_2026-03-20.pdf
BTG PACTUAL CERES CONFINA FUNDO DE I,62.696.791/0001-93,20/03/2026,Alocação mínima em direitos creditórios do agronegócio,Alocação mínima em direitos creditórios do agronegócio,>=,51% do PL em DC Agro após 180 dias,monitoravel,Dir Cred / PL,1143317_regulamento_regulamento_1143317_2026-03-20.pdf · p.10
BTG PACTUAL CERES CONFINA FUNDO DE I,62.696.791/0001-93,20/03/2026,Diversidade de cedentes/endossantes/devedores,Diversidade de cedentes/endossantes/devedores,—,Regulamento declara que não é possível precisar processos de origem/políticas de crédito dos cedentes/endossantes,nao_monitoravel,—,1143317_regulamento_regulamento_1143317_2026-03-20.pdf · p.10-13
