Nome,CONSIGNADO DELTA RECEIVABLES I
Grupo,Consignado Delta
CNPJ,54.871.427/0001-94
Páginas locais analisadas,112
Última competência IME,03/2026
PL (R$ mm),R$ 2.606 mm
Direitos creditórios / PL,"81,5%"
Vencidos Over 30d / crédito,"0,0%"
Vencidos Over 60d / crédito,"0,0%"
Vencidos Over 90d / crédito,"0,0%"
Vencidos Over 180d / crédito,"0,0%"
Vencidos Over 360d / crédito,"0,0%"
PDD / crédito,"0,1%"
PDD / vencidos,"6.391,8%"
Cotas sênior / PL,"100,0%"
Cotas mezanino / PL,"0,0%"
Cotas subordinadas / PL,"0,0%"
Séries/classes emitidas identificadas,5
Volume emitido identificado (R$ mm),1.090
Primeira emissão identificada,27/05/2024
Última emissão identificada,02/12/2025
"Emissões detectadas (data, classe, preço e volume)","27/05/2024 · Classe única - 1ª emissão aprovada · Classe única: Qtd 140.000; Preço R$ 1.000,00; R$ 140 mm; Rem Benchmark: valor patrimonial da cota; sem spread DI/CDI
27/05/2024 · Classe única - 1ª emissão encerrada · Classe única: Qtd 135.000; Preço R$ 1.000,00; R$ 135 mm; Rem Benchmark: valor patrimonial da cota; sem spread DI/CDI
13/06/2024 · Classe única - 2ª emissão aprovada · Classe única: Qtd 110.000; Preço R$ 1.000,00; R$ 110 mm; Rem Benchmark: valor patrimonial da cota; sem spread DI/CDI
13/06/2024 · Classe única - 2ª emissão encerrada · Classe única: Qtd 55.000; Preço R$ 1.000,00; R$ 55 mm; Rem Benchmark: valor patrimonial da cota; sem spread DI/CDI
02/12/2025 · Classe única - nova emissão privada 2025 · Classe única: Preço Valor da cota em circulação na data aplicável; R$ 650 mm; Rem Benchmark: valor patrimonial da cota; sem spread DI/CDI"
Remuneração-alvo por emissão detectada,"27/05/2024 · Classe única - 1ª emissão aprovada · Classe única: Benchmark: valor patrimonial da cota; sem spread DI/CDI
27/05/2024 · Classe única - 1ª emissão encerrada · Classe única: Benchmark: valor patrimonial da cota; sem spread DI/CDI
13/06/2024 · Classe única - 2ª emissão aprovada · Classe única: Benchmark: valor patrimonial da cota; sem spread DI/CDI
13/06/2024 · Classe única - 2ª emissão encerrada · Classe única: Benchmark: valor patrimonial da cota; sem spread DI/CDI
02/12/2025 · Classe única - nova emissão privada 2025 · Classe única: Benchmark: valor patrimonial da cota; sem spread DI/CDI"
Amortização/vencimento por emissão detectada,"27/05/2024 · Classe única - 1ª emissão aprovada · Classe única: Sem calendário fixo identificado
27/05/2024 · Classe única - 1ª emissão encerrada · Classe única: Sem calendário fixo identificado
13/06/2024 · Classe única - 2ª emissão aprovada · Classe única: Sem calendário fixo identificado
13/06/2024 · Classe única - 2ª emissão encerrada · Classe única: Sem calendário fixo identificado
02/12/2025 · Classe única - nova emissão privada 2025 · Classe única: Sem calendário fixo identificado"
Regulamento-base dos thresholds,28/04/2024 · 670691_regulamento_regulamento_670691_2024-04-28.pdf · p.13-14 · itens 5.1 e 5.4
Alocação mínima em DCs,>= 50% após 180 dias da 1ª integralização
Subordinação mínima,"Não há preferência, prioridade ou subordinação entre titulares de cotas"
Evento de avaliação por atraso,—
Liquidação/vencimento por atraso,—
Cobertura mínima PDD,—
Reserva/caixa mínimo,—
Hedges permitidos,Permitidos se proteção patrimonial ou troca de indexador sem exposição a risco de capital
