Fundo,CNPJ,Critério,Chave,Limite/regra,Monitorabilidade IME,Métrica IME / proxy,Condição de alerta sugerida,Observação técnica,Fonte,Status curadoria,cnpj_digits,percent_value,all_percent_values_from_observation,rule_text,setor_n1,setor_n2,confidence,evidence,rule_id,subordination_pct_normalized,subordination_normalization_note,subordination_valid_for_common_level
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Reserva ou caixa mínimo,minimum_cash_ratio,100%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,Alerta se proxy IME ficar abaixo de 100%,"O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados. | Extração local heurística; validar manualmente antes de ativar alerta. | ser amortizadas sempre que assim for previamente decidido em Assembleia Especial.8.6Observada a ordem de alocação de recursos prevista no item 9 deste Anexo Descritivo, será constituída Reserva de Liquidez, em Disponibilidades, a ser calculada diariamente pela Gestora, correspondente à soma da Reserva de Amortização e da Reserva de Despesas e Encargos. A partir da 1ª Data de Integralização de Cotas Seniores da 15ª s…",784311_regulamento_regulamento_784311_2024-11-18.pdf · ID 784311 · 18/11/2024,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,08417544000165,100.0,,100%,Crédito PF,Crédito estudantil,alta,ativos_alvo: regex `SERVICOS EDUCACIONAIS`,student_credit,100.0,percentual_direto,False
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | ia Geralou de Assembleia Especial. Além disso, as condições previstas no Regulamento podem ser revistas por decisão dos Cotistas em Assembleia Geral ou em Assembleia Especial. Tais alterações poderão afetar o modo de operação da Classe Única de forma contrária ao interesse de parte dos Cotistas.11.9.11Risco de Utilização de Instrumentos Derivativos.A eventual contratação, pela Classe Única, de modalidades de operaçõ…",784311_regulamento_regulamento_784311_2024-11-18.pdf · ID 784311 · 18/11/2024,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,08417544000165,,,Regra textual de derivativos/hedge; verificar observação e fonte.,Crédito PF,Crédito estudantil,alta,ativos_alvo: regex `SERVICOS EDUCACIONAIS`,student_credit,,sem_percentual_parseavel,False
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | leia Especial. Tais alterações poderão afetar o modo de operação da Classe Única de forma contrária ao interesse de parte dos Cotistas.11.9.11Risco de Utilização de Instrumentos Derivativos.A eventual contratação, pela Classe Única, de modalidades de operações de derivativos poderá ocorrer exclusivamente para proteção de posições detidas à vista pela Classe Única. A realização de operações pela Classe Única no merca…",784311_regulamento_regulamento_784311_2024-11-18.pdf · ID 784311 · 18/11/2024,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,08417544000165,,,Regra textual de derivativos/hedge; verificar observação e fonte.,Crédito PF,Crédito estudantil,alta,ativos_alvo: regex `SERVICOS EDUCACIONAIS`,student_credit,,sem_percentual_parseavel,False
CARTÃO DE COMPRA SUPPLIER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.692.888/0001-82,Reserva ou caixa mínimo,minimum_cash_ratio,"95,5%",parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,"Alerta se proxy IME ficar abaixo de 95,5%","O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados. | Extração local heurística; validar manualmente antes de ativar alerta. | Mezanino II, deduzido o valor dos Outros Ativos, e o denominador é o valor do patrimônio líquido, deduzido o valor dos outros ativos, apurada diariamente pelo custodiante (exemplo: se Razão de Garantia Mezanino II for 0,955, então Razão de Garantia Mezanino II = 95,5%); 121) “Regulamento”: o regulamento do Fundo; 122) “Reserva de Caixa”: tem o significado que lhe é atribuído no item (23.3) do Capítulo XXIII; 123) “R…",772010_regulamento_regulamento_772010_2024-11-05.pdf · ID 772010 · 05/11/2024,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,08692888000182,95.5,95.5,"95,5%",Meios de Pagamento e Cartões,Bancos Emissores,media,fundo: regex `CARTAO DE COMPRA`,card_issuer_banks,95.5,percentual_direto,False
KONDOR KOBOLD FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESP LIMITADA,10.292.322/0001-05,Alocação mínima em direitos creditórios,credit_rights_allocation_min,67%,monitoravel,Dir Cred / PL,Alerta se proxy IME ficar abaixo de 67%,"O Informe Mensal traz direitos creditórios e PL. | Extração local heurística; validar manualmente antes de ativar alerta. | de composição e de diversificação estabelecidos pelas normas regulamentares em vigor, sempre observado o disposto neste Capítulo. Artigo 7° – A Classe deverá alocar, em até 180 (cento e oitenta ) dias da sua data de emissão, no mínimo, 67% (sessenta e sete por cento) de seu patrimônio líquido em cotas d os Fundos Investidos observados os Critérios de Elegibilidade ("" Alocação Mínima""). Artigo 8° – Observada a Alocaç…",1134285_regulamento_regulamento_1134285_2026-03-12.pdf · ID 1134285 · 12/03/2026,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,10292322000105,67.0,67,67%,FIC/Alocador,FIC de FIDC,media,fundo: regex `FUNDO DE INVESTIMENTO EM COTAS`,fic_fidc,67.0,percentual_direto,False
KONDOR KOBOLD FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESP LIMITADA,10.292.322/0001-05,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | sistema de gerenciamento de riscos, não há garantia de completa eliminação de possibilidade de perdas patrimoniais para a Classe e para os Cotistas. Ainda, as aplicações realizadas na Classe não contam com garantia da Administradora ou da Gestora, de qualquer mecanismo de seguro ou, ainda, do Fundo Garantidor de Créditos – FGC. X. Risco Proveniente do Uso de Derivativos – A contratação pela Classe de operações de de…",1134285_regulamento_regulamento_1134285_2026-03-12.pdf · ID 1134285 · 12/03/2026,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,10292322000105,,,Regra textual de derivativos/hedge; verificar observação e fonte.,FIC/Alocador,FIC de FIDC,media,fundo: regex `FUNDO DE INVESTIMENTO EM COTAS`,fic_fidc,,sem_percentual_parseavel,False
KONDOR KOBOLD FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESP LIMITADA,10.292.322/0001-05,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | aridade do lastro dos direitos creditórios classificados como direitos e títulos representativos de crédito, nos termos do artigo 36 do Anexo Normativo II, da Res. CVM 175. Artigo 14° – Inexistindo contraparte central, operações com derivativos que tenham como contraparte a Gestora ou suas partes relacionadas até o limite de 100% (cem por cento). Artigo 15° – A Classe poderá realizar operações sem limitação com deri…",1134285_regulamento_regulamento_1134285_2026-03-12.pdf · ID 1134285 · 12/03/2026,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,10292322000105,,100,Regra textual de derivativos/hedge; verificar observação e fonte.,FIC/Alocador,FIC de FIDC,media,fundo: regex `FUNDO DE INVESTIMENTO EM COTAS`,fic_fidc,,sem_percentual_parseavel,False
VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL RESPONSABILIDADE LIMITADA,17.468.142/0001-80,Alocação mínima em direitos creditórios,credit_rights_allocation_min,67%,monitoravel,Dir Cred / PL,Alerta se proxy IME ficar abaixo de 67%,"O Informe Mensal traz direitos creditórios e PL. | Extração local heurística; validar manualmente antes de ativar alerta. | dvocacia contratados pelo Fundo, em benefício da Classe, responsáveis pela cobrança judicial dos Direitos Creditórios Inadimplidos. “Agentes de Cobrança” Significa, em conjunto, o Agente de Cobrança Extrajudicial e o Agente de Cobrança Judicial. “Alocação Mínima de Investimento” Significa a alocação de, pelo menos, 67% (sessenta e sete por cento) do Patrimônio Líquido em Direitos Creditórios Elegíveis. “Alocação Mín…",1157934_regulamento_regulamento_1157934_2026-04-09.pdf · ID 1157934 · 09/04/2026,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,17468142000180,67.0,67,67%,Crédito PJ,Recebíveis comerciais/multissetorial,media,nome_emissor: regex `MULTISETORIAL`,receivables_commercial_multisector,67.0,percentual_direto,False
VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL RESPONSABILIDADE LIMITADA,17.468.142/0001-80,Cobertura mínima de PDD/provisão,pdd_coverage_min,4%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,Alerta se proxy IME ficar acima de 4%,"O Informe Mensal traz provisão e buckets de atraso; a aderência depende da definição exata do regulamento. | Extração local heurística; validar manualmente antes de ativar alerta. | tração estabelecido em contrário, os quais devem ser observados ao longo do prazo de duração da Classe. 5.24.2. Para fins dos cálculos referentes ao enquadramento dos Limites de Concentração, Critérios de Elegibilidade, Índices de Monitoramento e Condições de Cessão, deverá ser considerado o valor presente dos Direitos Creditórios (valor justo), somado, ainda, para fins de cálculo, o valor das provisões de perda (PD…",1157934_regulamento_regulamento_1157934_2026-04-09.pdf · ID 1157934 · 09/04/2026,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,17468142000180,4.0,,4%,Crédito PJ,Recebíveis comerciais/multissetorial,media,nome_emissor: regex `MULTISETORIAL`,receivables_commercial_multisector,4.0,percentual_direto,False
VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL RESPONSABILIDADE LIMITADA,17.468.142/0001-80,Cobertura mínima de PDD/provisão,pdd_coverage_min,67%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,Alerta se proxy IME ficar abaixo de 67%,"O Informe Mensal traz provisão e buckets de atraso; a aderência depende da definição exata do regulamento. | Extração local heurística; validar manualmente antes de ativar alerta. | Cobrança” Significa, em conjunto, o Agente de Cobrança Extrajudicial e o Agente de Cobrança Judicial. “Alocação Mínima de Investimento” Significa a alocação de, pelo menos, 67% (sessenta e sete por cento) do Patrimônio Líquido em Direitos Creditórios Elegíveis. “Alocação Mínima em Direitos Creditórios” Significa a razão entre o (i) Valor dos Direitos Creditórios líquido de provisão de devedores duvidosos (PDD); e (i…",1157934_regulamento_regulamento_1157934_2026-04-09.pdf · ID 1157934 · 09/04/2026,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,17468142000180,67.0,67,67%,Crédito PJ,Recebíveis comerciais/multissetorial,media,nome_emissor: regex `MULTISETORIAL`,receivables_commercial_multisector,67.0,percentual_direto,False
