Fundo,CNPJ,Critério,Chave,Limite/regra,Monitorabilidade IME,Métrica IME / proxy,Condição de alerta sugerida,Observação técnica,Fonte,Status curadoria
INVESTCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,29.226.654/0001-10,Alocação mínima em direitos creditórios,credit_rights_allocation_min,>= 50% do PL em Direitos Creditórios Elegíveis após 180 dias do início das atividades,monitoravel,Dir Cred / PL,Alerta se Dir Cred / PL < 50% na competência,Volume bruto de direitos creditórios e PL são observáveis no Informe Mensal; não valida elegibilidade individual do lastro,"1023849_regulamento_regulamento_1023849_2025-10-29.pdf · p.38-39 · art. 3.2 · ID 1023849",curado documental Investcred
INVESTCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,29.226.654/0001-10,Limite por devedor/coobrigado,concentration_limits,<= 5% do PL para Direitos Creditórios Elegíveis e Ativos Financeiros de um mesmo devedor ou mesma coobrigação,nao_monitoravel,Sem proxy público no Informe Mensal,Não gerar alerta automático sem base granular por devedor/coobrigado,O Informe Mensal público não traz granularidade por devedor ou coobrigação; exige base analítica/custodiante,"1023849_regulamento_regulamento_1023849_2025-10-29.pdf · p.40 · art. 3.6.1 · ID 1023849",curado documental Investcred
INVESTCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,29.226.654/0001-10,Proibição de derivativos,permitted_hedges,Não pode realizar operações em mercados de derivativos,direto com ressalva,Derivativos agregados no Informe Mensal,Alerta se houver posição de derivativos diferente de zero,O Informe Mensal permite checar posição agregada; não substitui leitura de exceções operacionais/documentais,"1023849_regulamento_regulamento_1023849_2025-10-29.pdf · p.39 · art. 3.4 · ID 1023849",curado documental Investcred
INVESTCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,29.226.654/0001-10,Reserva de caixa mínima,minimum_cash_ratio,>= 1 mês de despesas ordinárias da Classe Única,parcial fraco,Caixa / PL,Não usar como alerta duro sem despesa ordinária mensal validada,"O Informe Mensal mostra disponibilidades, mas não traz o denominador contratual de despesas ordinárias de forma direta","1023849_regulamento_regulamento_1023849_2025-10-29.pdf · p.66 · art. 10.1.4 · ID 1023849",curado documental Investcred
INVESTCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,29.226.654/0001-10,Índice de Cobertura Sênior e Razão de Garantia,subordination_ratio_min,"Índice de Cobertura Sênior >= 2,07x e Razão de Garantia >= 307% conforme suplemento",parcial,Cotas subordinadas / cotas seniores,Alerta indicativo se subordinação econômica cair abaixo do patamar do suplemento; validar pela metodologia contratual,O cálculo contratual usa relatório de níveis de risco e metodologia própria; o Informe Mensal só dá aproximação por classes de cotas,"1023848_assembleia_assembleia_1023848_2025-10-28.pdf · p.7-10; 1023849_regulamento_regulamento_1023849_2025-10-29.pdf · p.88 · IDs 1023848/1023849",curado documental Investcred
INVESTCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,29.226.654/0001-10,NPL 90 como evento de avaliação,default_rate_evaluation_event,">= 62,5% dos Direitos Creditórios da Classe Única; evento se não reenquadrar no mês subsequente ou se novo desenquadramento ocorrer em até 12 meses",monitoravel com ressalva,Vencidos Over 90 d / Crédito,"Alerta se Over 90 / crédito >= 62,5%; validar regra de cura e recorrência","O Informe Mensal permite reconstruir atraso acima de 90 dias por buckets monetários, mas a cura mensal e recorrência de 12 meses exigem série histórica e validação do conceito NPL 90 contratual","1023849_regulamento_regulamento_1023849_2025-10-29.pdf · p.71 · art. 12.1(xv) · ID 1023849",curado documental Investcred
INVESTCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,29.226.654/0001-10,Índice de Inadimplência Classe 150+,default_rate_150_plus,> 53% do total da carteira de Direitos Creditórios por mais de 3 meses consecutivos,parcial fraco,Vencidos Over 180 d / Crédito,Não usar como alerta duro; proxy Over 180 é conservador e não replica exatamente 150+,O Informe Mensal não tem corte exato de 150 dias nas saídas canônicas atuais; requer bucketização específica ou base granular,"1023849_regulamento_regulamento_1023849_2025-10-29.pdf · p.72 · art. 12.1(xvii) · ID 1023849",curado documental Investcred
INVESTCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,29.226.654/0001-10,Metodologia de PDD por faixa de atraso,pdd_coverage_min,"Tabela PDD: 1-14d 1,90%; 15-30d 8,00%; 31-60d 20,00%; 61-90d 50,00%; 91-120d 80,00%; 120-360d 100%; >360d 100%",parcial,PDD / Crédito; PDD / Venc Total,Comparar PDD observada com aging apenas como teste de plausibilidade,"Metodologia depende de classificação por devedor e renegociação; Informe Mensal permite visão agregada, não reexecução integral da matriz contratual","1023849_regulamento_regulamento_1023849_2025-10-29.pdf · p.87-88 · Anexos IV e V · ID 1023849",curado documental Investcred
INVESTCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,29.226.654/0001-10,Critérios de elegibilidade dos direitos creditórios,eligibility_criteria_text,"CCBs disponibilizadas por instituições conveniadas; não vencidas/inadimplentes na aquisição; prazo máximo de 36 meses; moeda nacional; registro contábil possível; operações de financiamento de faturas/carnês Credsystem em atraso ou parcelados",nao_monitoravel,Sem proxy público no Informe Mensal,Não gerar alerta automático sem base de aquisição/lastro,A validação exige dados por direito creditório e documentação de lastro; o Informe Mensal não confirma elegibilidade individual,"1023849_regulamento_regulamento_1023849_2025-10-29.pdf · p.40-42 · arts. 4.1-4.3 · ID 1023849",curado documental Investcred
INVESTCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,29.226.654/0001-10,Eventos de prestadores-chave,service_provider_replacement_event,Renúncia/substituição de administradora ou gestora exige assembleia/substituição conforme regulamento,nao_monitoravel,Evento documental,Monitorar por documentos CVM/Fundos.NET,"Evento jurídico/documental, não variável mensal do Informe Mensal","1023849_regulamento_regulamento_1023849_2025-10-29.pdf · p.22-24 · arts. 10.1-10.5 · ID 1023849",curado documental Investcred
