Fundo,CNPJ,Critério,Chave,Limite/regra,Monitorabilidade IME,Métrica IME / proxy,Condição de alerta sugerida,Observação técnica,Fonte,Status curadoria
MT CONSIGNADO PRIVADO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,60.010.416/0001-12,Alocação mínima em direitos creditórios,credit_rights_allocation_min,">= 50% após 180 dias da 1ª integralização",monitoravel,Dir Cred / PL,Alerta se Dir Cred / PL < 50% após prazo regulamentar,"Regra regulatória/contratual após janela inicial; o IME permite proxy agregado, não elegibilidade individual.",993786_regulamento_regulamento_993786_2025-03-20.pdf · p.12,curado documental
MT CONSIGNADO PRIVADO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,60.010.416/0001-12,Composição tributária buscada pelo gestor,credit_rights_tax_allocation,">= 67% em direitos creditórios para regime tributário",direto com ressalva,Dir Cred / PL,Alerta informativo se Dir Cred / PL < 67%,"Usar como alerta informativo de composição, não como vencimento automático.",993786_regulamento_regulamento_993786_2025-03-20.pdf · p.12,curado documental
MT CONSIGNADO PRIVADO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,60.010.416/0001-12,Concentração por devedor/endossante,concentration_limits,"Pode chegar a 100% por mesmo devedor/grupo; não adquirir DCs originados/endossados por administrador/gestor",nao_monitoravel,,Sem alerta automático por IME,"Concentração/elegibilidade exigem base granular; IME público não comprova por devedor/endossante.",993786_regulamento_regulamento_993786_2025-03-20.pdf · p.12,curado documental
MT CONSIGNADO PRIVADO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,60.010.416/0001-12,Elegibilidade/origem Plataforma MT,eligibility_criteria,"CCB eletrônica de empréstimo consignado concedido pelo Endossante ao Devedor por meio da Plataforma MT",nao_monitoravel,,Sem alerta automático por IME,"Critério essencial para entender origem, mas exige documentação granular de CCB/Dataprev.",993786_regulamento_regulamento_993786_2025-03-20.pdf · p.9 e p.41-46,curado documental
BTG PACTUAL CERES CONFINA FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO RESP LIMITADA,62.696.791/0001-93,Alocação mínima em direitos creditórios do agronegócio,credit_rights_allocation_min,">= 51% do PL em DC Agro após 180 dias",monitoravel,Dir Cred / PL,Alerta se Dir Cred / PL < 51% após prazo regulamentar,"O IME mede DC agregado, mas não valida se cada ativo é DC Agro elegível.",1143317_regulamento_regulamento_1143317_2026-03-20.pdf · p.10,curado documental
BTG PACTUAL CERES CONFINA FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO RESP LIMITADA,62.696.791/0001-93,Diversidade de cedentes/endossantes/devedores,originator_debtor_granularity,"Regulamento declara que não é possível precisar processos de origem/políticas de crédito dos cedentes/endossantes",nao_monitoravel,,Sem alerta automático por IME,"A lacuna é documental e estrutural; não inferir cedentes/sacados nominais.",1143317_regulamento_regulamento_1143317_2026-03-20.pdf · p.10-13,curado documental
PLGN MARKETPLACE FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,55.563.624/0001-09,Natureza FICFIDC,invested_fund_exposure,"Recursos destinados a cotas da classe investida e ativos financeiros de liquidez",parcial,Dir Cred / PL,Alerta se houver lacuna de identificação da classe investida,"O FICFIDC não revela, nos documentos analisados, cedentes/sacados finais da carteira investida.",691674_assembleia_assembleia_691674_2024-07-03.pdf · p.2-3,curado documental
V CDT 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,62.552.447/0001-20,Prestador de retenção/cobrança,servicer_identification,"VR Benefícios e Serviços de Processamento S.A. contratada para retenção e cobrança",nao_monitoravel,,Sem alerta automático por IME,"Identifica prestador operacional, mas não cedente/sacado final.",988020_assembleia_assembleia_988020_2025-09-03.pdf · p.2,curado documental
V CDT 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,62.552.447/0001-20,Forma de amortização,cash_sweep_amortization,"Cash sweep conforme ordem de alocação de recursos",nao_monitoravel,,Sem alerta automático por IME,"Não há cronograma fixo por data para montar schedule mecânico.",988020_assembleia_assembleia_988020_2025-09-03.pdf · p.6,curado documental
CLASSE CONSIGNADO PRIVADO DO MT GLOBAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,63.953.620/0001-65,Trilha de ativos por cisão,source_vehicle_trace,"Recebeu parcela do MT Consignado Privado I e parcela do BTG Pactual Consignados II",parcial,,Alerta documental se novas cissões não forem refletidas na trilha,"O IME mostra posição agregada da classe; origem por veículo-fonte exige leitura das atas de cisão.",1119041_assembleia_assembleia_1119041_2026-02-18.pdf · p.1-3; 1142756_assembleia_assembleia_1142756_2026-03-17.pdf · p.1,curado documental
CLASSE CONSIGNADO PRIVADO DO MT GLOBAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,63.953.620/0001-65,Identificação correta de CNPJ,cnpj_resolution,"Usar 63.953.620/0001-65 para a classe consignado privado; 63.953.619/0001-30 é fundo guarda-chuva",monitoravel,Última competência IME,Alerta se consulta Fundos.NET voltar vazia para CNPJ antigo,"Correção necessária para carregar documentos/IME no pacote.",1087883_assembleia_assembleia_1087883_2026-01-08.pdf · p.1,curado documental
