Fundo,CNPJ,Critério,Chave,Limite/regra,Monitorabilidade IME,Métrica IME / proxy,Condição de alerta sugerida,Observação técnica,Fonte,Status curadoria
CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.871.427/0001-94,Alocação mínima em direitos creditórios,credit_rights_allocation_min,">= 50% após 180 dias da 1ª integralização",monitoravel,Dir Cred / PL,Alerta se Dir Cred / PL < 50% após o prazo regulamentar,"Regra contratual do Anexo I. O informe mensal permite proxy agregado; elegibilidade individual não é comprovada pelo IME.",670691_regulamento_regulamento_670691_2024-04-28.pdf · p.11 · item 4.9,curado documental; validar juridicamente antes de alerta duro
CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.871.427/0001-94,Composição tributária buscada pelo gestor,credit_rights_tax_allocation,">= 67% em direitos creditórios para regime tributário",direto com ressalva,Dir Cred / PL,Alerta informativo se Dir Cred / PL < 67%,"O texto usa linguagem de melhores esforços/buscar manter, não trigger operacional automático. Usar como alerta de risco tributário, não como evento contratual duro.",670691_regulamento_regulamento_670691_2024-04-28.pdf · p.5 · cap. tributação,curado documental; alerta informativo
CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.871.427/0001-94,Limites de concentração,concentration_limits,"Até 100% em mesmo devedor/grupo e até 100% por mesmo endossante/originador",nao_monitoravel,,Sem alerta restritivo automático por IME,"O regulamento admite concentração elevada; não interpretar como limite mínimo de 50%. Concentração por devedor/endossante exige granularidade fora do IME.",670691_regulamento_regulamento_670691_2024-04-28.pdf · p.11 · itens 4.10 e 4.11.2,curado documental
CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.871.427/0001-94,Cotas pari passu sem subordinação,subordination_ratio_min,"Não há preferência, prioridade ou subordinação entre titulares de cotas",monitoravel,"Cotas SR / PL %, Cotas MZ / PL %, Cotas Sub / PL %",Alerta se o IME passar a reportar estrutura não pari passu sem documento societário correspondente,"O fundo tem classe única, subclasse única e série única; a métrica de subordinação mínima não se aplica como nos FIDCs com senior/mezanino/sub.",670691_regulamento_regulamento_670691_2024-04-28.pdf · p.13-14 · itens 5.1 e 5.4,curado documental
CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.871.427/0001-94,PL mínimo operacional,minimum_net_worth,">= R$ 1.000.000 após 90 dias de atividade; evento se inferior por 90 dias consecutivos",parcial,PL,Alerta se PL < R$1mm em competência mensal após o prazo,"A regra é diária e por 90 dias consecutivos; IME mensal só sinaliza risco, não comprova a persistência diária.",670691_regulamento_regulamento_670691_2024-04-28.pdf · p.19 · item 11.3(iv),curado documental
CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.871.427/0001-94,Derivativos apenas para proteção ou troca de indexador,permitted_hedges,"Permitidos se proteção patrimonial ou troca de indexador sem exposição a risco de capital",parcial,Posições mantidas em derivativos,Alerta se houver derivativos materiais sem documentação de hedge,"IME mostra posição agregada, mas não comprova objetivo econômico do derivativo.",670691_regulamento_regulamento_670691_2024-04-28.pdf · p.13 · item 4.15,curado documental
CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.871.427/0001-94,Day trade vedado,day_trade_ban,"Operações de day trade vedadas",nao_monitoravel,,Sem alerta automático por IME,"O IME não traz granularidade operacional diária para comprovar day trade.",670691_regulamento_regulamento_670691_2024-04-28.pdf · p.13 · item 4.16,curado documental
CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.871.427/0001-94,Critérios de elegibilidade dos recebíveis,eligibility_criteria,"CCBs sem parcela cedida; sem atraso; prestação > R$30; idade + prazo <= 80 anos; demais critérios documentais",nao_monitoravel,,Sem alerta automático por IME,"Critérios são individualizados por CCB/devedor/endossante e exigem base granular/documentos comprobatórios.",670691_regulamento_regulamento_670691_2024-04-28.pdf · p.9-10 · item 4.7,curado documental
CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.871.427/0001-94,Recompra ou indenização pelo endossante,repurchase_indemnity,"Endossante deve recomprar/indenizar em vícios de formalização, fraude, divergências ou disputas especificadas",nao_monitoravel,,Sem alerta automático por IME,"A regra depende de demandas judiciais/administrativas e causas específicas; IME não contém essa evidência.",670691_regulamento_regulamento_670691_2024-04-28.pdf · p.12 · item 4.13,curado documental
CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.871.427/0001-94,Eventos de avaliação,event_of_evaluation,"RAET/liquidação de endossante; descumprimentos contratuais; não entrega de arquivos/documentos; problemas com convênios/licenças; violações legais",nao_monitoravel,,Sem alerta automático por IME,"Eventos são contratuais/operacionais e exigem acompanhamento documental fora do IME.",670691_regulamento_regulamento_670691_2024-04-28.pdf · p.17-19 · item 11.1,curado documental
