Fundo,CNPJ,Cota/Classe,Tipo,Data deliberação,Data emissão / 1ª integralização,Data encerramento/oferta,Quantidade,Volume,VNU,Remuneração,Juros/remuneração,Amortização principal,Status/evidência,Fonte,Status curadoria
MT CONSIGNADO PRIVADO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,60.010.416/0001-12,1ª Série Senior,Cotas Seniores,20/03/2025,20/03/2025,,475.000,"R$ 475.000.000,00","R$ 1.000,00","CDI + 4,80% a.a. + 15% do excesso de spread, com cap de CDI + 6,00% a.a.","Benchmark Sênior Base CDI + 4,80% a.a.; adicional de 15% do excesso de spread, cap total CDI + 6,00% a.a.","Sem amortização no período de investimento; após o período, amortização mensal por cash sweep se subordinação atendida.","Ata da 1ª emissão aprova 475.000 cotas seniores e 25.000 cotas subordinadas.",993785_assembleia_assembleia_993785_2025-03-20.pdf · p.2 e p.5,curado documental
MT CONSIGNADO PRIVADO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,60.010.416/0001-12,1ª emissão subordinada,Cotas Subordinadas,20/03/2025,20/03/2025,,25.000,"R$ 25.000.000,00","R$ 1.000,00",Residual após waterfall,Residual após waterfall,Subordinada absorve excesso/deficiência conforme regulamento,"Ata da 1ª emissão aprova 25.000 cotas subordinadas.",993785_assembleia_assembleia_993785_2025-03-20.pdf · p.2,curado documental
MT CONSIGNADO PRIVADO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,60.010.416/0001-12,2ª Série Senior,Cotas Seniores,09/05/2025,12/05/2025,,1.000.000,"Até R$ 1.000.000.000,00","R$ 1.000,00","Benchmark Sênior conforme suplemento da 2ª série; documentos também registram custo de originação Parati/Meu Tudo de 0,60% sobre produção adquirida.","Remuneração conforme suplemento; custo de serviços essenciais Parati/Meu Tudo de 0,60% na originação dos direitos creditórios.","Sem amortização no período de investimento; depois cash sweep mensal conforme suplemento.","A ata aprova a 2ª série e documenta Parati CFI/Meu Tudo no fluxo de originação.",911262_assembleia_assembleia_911262_2025-05-09.pdf · p.1-2; 1004656_assembleia_assembleia_1004656_2025-05-12.pdf · p.2,curado documental
MT CONSIGNADO PRIVADO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,60.010.416/0001-12,3ª Série Senior,Cotas Seniores,26/11/2025,26/11/2025,,2.000.000,"Até R$ 2.000.000.000,00","R$ 1.000,00","CDI + 1,50% a.a.","Benchmark Sênior Base 3ª Série: Taxa DI + 1,50% a.a.","Sem amortização no período de investimento; após o período, cash sweep mensal.","Ata aprova 3ª série senior com spread CDI + 1,50% a.a. e até R$2bn.",1049114_assembleia_assembleia_1049114_2025-11-26.pdf · p.1-3,curado documental
MT CONSIGNADO PRIVADO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,60.010.416/0001-12,Cisão para MT Global,Evento societário,17/03/2026,18/03/2026,,,Parcela cindida não quantificada no resumo extraído,,Não aplicável,Não aplicável,Não aplicável,"Parcela do MT Consignado foi vertida para a Classe Consignado Privado do MT Global.",1142754_assembleia_assembleia_1142754_2026-03-17.pdf · p.1; 1142756_assembleia_assembleia_1142756_2026-03-17.pdf · p.1,curado documental
BTG PACTUAL CERES CONFINA FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO RESP LIMITADA,62.696.791/0001-93,Alteração de objetivo e enquadramento agro,Evento regulatório,20/03/2026,20/03/2026,,,Não aplicável,,Não aplicável,Não aplicável,Não aplicável,"Classe passou a investir em ativos integrantes das cadeias produtivas do agronegócio; não é consignado.",1143319_assembleia_assembleia_1143319_2026-03-20.pdf · p.1-2; 1143317_regulamento_regulamento_1143317_2026-03-20.pdf · p.10-11,curado documental
BTG PACTUAL CERES CONFINA FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO RESP LIMITADA,62.696.791/0001-93,2ª emissão subordinada júnior,Cotas Subordinadas Júnior,27/03/2026,27/03/2026,,20.000,"Até R$ 20.000.000,00","R$ 1.000,00",Residual conforme regulamento,Residual conforme regulamento,Conforme ordem de alocação do regulamento,"Ata aprova 2ª emissão de cotas subordinadas júnior.",1148821_assembleia_assembleia_1148821_2026-03-27.pdf · p.1,curado documental
BTG PACTUAL CERES CONFINA FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO RESP LIMITADA,62.696.791/0001-93,2ª emissão sênior,Cotas Seniores,27/03/2026,27/03/2026,,150.000,"Até R$ 150.000.000,00","R$ 1.000,00",Conforme suplemento da ata,Conforme suplemento da ata,Conforme ordem de alocação do regulamento,"Ata aprova 2ª emissão de cotas seniores.",1148821_assembleia_assembleia_1148821_2026-03-27.pdf · p.2,curado documental
PLGN MARKETPLACE FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,55.563.624/0001-09,1ª emissão,Cotas,03/07/2024,03/07/2024,30/12/2024,405.000,"R$ 405.000.000,00","R$ 1.000,00",Valor patrimonial da cota / termos da classe,Valor patrimonial da cota / termos da classe,Conforme regulamento do FICFIDC,"Anúncio de encerramento informa R$405mm distribuídos; recursos destinados a cotas da classe investida e ativos financeiros de liquidez.",691674_assembleia_assembleia_691674_2024-07-03.pdf · p.2-3; 811323_emissao_emissao_811323_2024-12-30.pdf · p.1,curado documental
V CDT 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,62.552.447/0001-20,1ª emissão,Cotas,03/09/2025,03/09/2025,,250.000,"R$ 250.000.000,00","R$ 1.000,00",Conforme valor das cotas / regulamento,Conforme valor das cotas / regulamento,Cash sweep conforme ordem de alocação,"Ata aprova 250.000 cotas a R$1.000 e contratação da VR Benefícios para retenção/cobrança.",988020_assembleia_assembleia_988020_2025-09-03.pdf · p.2 e p.6,curado documental
