short_name,cnpj,fund_name,classe,tipo,class_key,status,reason,source,status_evidencia
Kick Ass I,42085816000105,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1ª série sênior,Sênior,senior_1,incluido,6 datas futuras após 2026-02-28.,209028_regulamento_regulamento_209028_2021-08-23.pdf · p.4-5 · ID 209028,"Datas de amortização extraídas do apêndice; documento não informa percentuais, waterfall usa linearidade explícita com aviso."
Kick Ass I,42085816000105,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Cotas subordinadas,Subordinada,subordinada_1,excluido,Amortização não mapeada no campo de curadoria.,211003_assembleia_assembleia_211003_2021-09-01.pdf · ID 211003,Curadoria Cloudwalk; emissão subordinada usada para recompor subordinação
Akira I,42085830000109,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1ª série sênior,Sênior,senior_1,incluido,8 datas futuras após 2026-05-31.,966441_regulamento_regulamento_966441_2025-07-24.pdf · p.114-115 · ID 966441,"Datas de amortização confirmadas no apêndice consolidado; documento não informa percentuais, waterfall usa linearidade explícita com aviso."
Kick Ass II,42102603000144,CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1ª série sênior,Sênior,senior_1,excluido,Série sem dívida futura ativa para o waterfall.,"828702_emissao_emissao_828702_2024-10-31.pdf · p.11, p.33, p.40-41 · 733239_regulamento_regulamento_733239_2024-09-05.pdf · p.113-114","DF de encerramento informa resgate total e fim das atividades em 31/10/2024; histórico documental mantido fora do waterfall futuro. Histórico: 27/03/2024 16%; 29/04/2024 16%; 27/05/2024 16%; 27/06/2024 16%; 29/07/2024 16%; 27/08/2024 16%; 27/09/2024 0,667%; 28/10/2024 0,667%; 27/11/2024 0,667%; 27/12/2024 0,667%; 27/01/2025 0,667%; 27/02/2025 0,667%."
Kick Ass II,42102603000144,CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Cotas subordinadas,Subordinada,subordinada_1,excluido,Amortização não mapeada no campo de curadoria.,211105_assembleia_assembleia_211105_2021-09-02.pdf · ID 211105,Curadoria Cloudwalk; emissão subordinada usada para recompor subordinação
Kick Ass II,42102603000144,CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1ª série sênior - alteração,Sênior,senior_1,excluido,Volume ausente/zero.,"259049_regulamento_regulamento_259049_2022-01-21.pdf identifica CloudWalk Akira II, não Kick Ass II.",Linha desativada para evitar duplicidade e erro de CNPJ/fundo no waterfall.
Kick Ass II,42102603000144,CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1ª série sênior - rerratificação,Sênior,senior_1,excluido,Série sem dívida futura ativa para o waterfall.,"733239_regulamento_regulamento_733239_2024-09-05.pdf · p.113-114 · 828702_emissao_emissao_828702_2024-10-31.pdf · p.11, p.33, p.40-41","Rerratificação traz cronograma histórico, mas DF posterior informa resgate total/encerramento; sem dívida futura ativa."
Akira II,44124617000194,CLOUDWALK AKIRA II FIDC,1ª série sênior,Sênior,senior_1,excluido,Série sem dívida futura ativa para o waterfall.,851797_assembleia_assembleia_851797_2025-02-28.pdf · p.4-5 · ID 851797,Linha histórica mantida para trilha documental; não usar para evitar duplicidade.
Akira II,44124617000194,CLOUDWALK AKIRA II FIDC,1ª série sênior - rerratificação 2023,Sênior,senior_1,excluido,Volume ausente/zero.,512611_assembleia_assembleia_512611_2023-08-23.pdf · p.6 · ID 512611,Curadoria Cloudwalk; benchmark alterado em ata
Akira II,44124617000194,CLOUDWALK AKIRA II FIDC,1ª série sênior - rerratificação 2024,Sênior,senior_1,excluido,Volume ausente/zero.,724048_assembleia_assembleia_724048_2024-08-19.pdf · p.3 · ID 724048,Curadoria Cloudwalk; benchmark alterado em ata
Akira II,44124617000194,CLOUDWALK AKIRA II FIDC,1ª série sênior - rerratificação 2025,Sênior,senior_1,incluido,4 datas futuras após 2026-02-28.,851797_assembleia_assembleia_851797_2025-02-28.pdf · p.4-5 · ID 851797,Cronograma de amortização por percentual do saldo extraído da rerratificação 2025; parser trata como percentual sobre saldo remanescente.
Big Picture I,54218673000141,CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,1ª série sênior,Sênior,senior_1,incluido,6 datas futuras após 2026-04-30.,622660_regulamento_regulamento_622660_2024-03-14.pdf · p.115-116 · ID 622660; 644981_emissao_emissao_644981_2024-04-25.pdf · ID 644981,Apêndice documental lista seis datas de amortização sem percentuais; waterfall usa amortização linear entre as datas documentadas com aviso explícito.
Big Picture II,54218941000125,CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,1ª série sênior,Sênior,senior_1,incluido,6 datas futuras após 2026-05-31.,622662_regulamento_regulamento_622662_2024-03-14.pdf · p.116-117 · ID 622662; 644982_emissao_emissao_644982_2024-04-25.pdf · ID 644982,Apêndice documental lista seis datas de amortização sem percentuais; waterfall usa amortização linear entre as datas documentadas com aviso explícito.
Big Picture III,54219179000100,CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,1ª série sênior,Sênior,senior_1,incluido,6 datas futuras após 2026-05-31.,622664_regulamento_regulamento_622664_2024-03-14.pdf · p.117-118 · ID 622664; 644983_emissao_emissao_644983_2024-04-25.pdf · ID 644983,Apêndice documental lista seis datas de amortização sem percentuais; waterfall usa amortização linear entre as datas documentadas com aviso explícito.
Big Picture IV,54248022000102,CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,1ª série sênior,Sênior,senior_1,incluido,6 datas futuras após 2026-05-31.,622677_regulamento_regulamento_622677_2024-03-14.pdf · p.119-120 · ID 622677; 644984_emissao_emissao_644984_2024-04-25.pdf · ID 644984,Apêndice documental lista seis datas de amortização sem percentuais; waterfall usa amortização linear entre as datas documentadas com aviso explícito.
Cloudwalk A.I.,57609282000146,CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,1ª série sênior,Sênior,senior_1,incluido,6 datas futuras após 2026-05-31.,757906_regulamento_regulamento_757906_2024-10-14.pdf · p.3-4 · ID 757906,Curadoria Cloudwalk; apêndice sênior completo; cronograma em percentuais acumulados
Cloudwalk A.I.,57609282000146,CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,1ª série mezanino,Mezanino,mezz_1,incluido,6 datas futuras após 2026-05-31.,757906_regulamento_regulamento_757906_2024-10-14.pdf · p.6-7 · ID 757906,Curadoria Cloudwalk; apêndice mezanino completo
Cloudwalk PI,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,1ª série sênior,Sênior,senior_1,incluido,12 datas futuras após 2026-05-31.,883040_regulamento_regulamento_883040_2025-04-11.pdf · p.6-8 · ID 883040,Curadoria Cloudwalk; apêndice sênior completo; cronograma em % sobre saldo inicial
Cloudwalk PI,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,2ª série sênior,Sênior,senior_2,incluido,12 datas futuras após 2026-05-31.,883040_regulamento_regulamento_883040_2025-04-11.pdf · p.10-12 · ID 883040,Curadoria Cloudwalk; apêndice sênior completo; cronograma em % sobre saldo inicial
Cloudwalk PI,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,1ª série mezanino A,Mezanino,mezz_pi_a,incluido,12 datas futuras após 2026-05-31.,883040_regulamento_regulamento_883040_2025-04-11.pdf · p.15-17 · ID 883040,Curadoria Cloudwalk; apêndice mezanino A completo
