Fundo,CNPJ,Data,Classe/Série,Tipo,Qtd cotas,Preço/VNU,Volume identificado (R$ mm),Remuneração-alvo,Amortização/vencimento,Fonte
CLASSE CONSIGNADO PRIVADO DO MT GLOB,63.953.620/0001-65,08/01/2026,1ª emissão senior CP,Sênior,15.000.000,"R$ 1.000,00","15.000,0",—,—,1087883_assembleia_assembleia_1087883_2026-01-08.pdf · p.2
CLASSE CONSIGNADO PRIVADO DO MT GLOB,63.953.620/0001-65,08/01/2026,1ª emissão subordinada CP,Subordinada,7.000,"R$ 1.000,00","7,0",Residual / sem parâmetro definido,—,1087883_assembleia_assembleia_1087883_2026-01-08.pdf · p.2
MT CONSIGNADO PRIVADO I,60.010.416/0001-12,20/03/2025,1ª Série Senior,Sênior,475.000,"R$ 1.000,00","475,0","CDI + 4,80% a.a.","Sem amortização no período de investimento; após o período, amortização mensal por cash sweep se subordinação atendida.",993785_assembleia_assembleia_993785_2025-03-20.pdf · p.2 e p.5
MT CONSIGNADO PRIVADO I,60.010.416/0001-12,20/03/2025,1ª emissão subordinada,Subordinada,25.000,"R$ 1.000,00","25,0",Residual / sem parâmetro definido,—,993785_assembleia_assembleia_993785_2025-03-20.pdf · p.2
MT CONSIGNADO PRIVADO I,60.010.416/0001-12,12/05/2025,2ª Série Senior,Sênior,1.000.000,"R$ 1.000,00","1.000,0",—,Sem amortização no período de investimento; depois cash sweep mensal conforme suplemento.,911262_assembleia_assembleia_911262_2025-05-09.pdf · p.1-2; 1004656_assembleia_assembleia_1004656_2025-05-12.pdf · p.2
MT CONSIGNADO PRIVADO I,60.010.416/0001-12,26/11/2025,3ª Série Senior,Sênior,2.000.000,"R$ 1.000,00","2.000,0","CDI + 1,50% a.a.","Sem amortização no período de investimento; após o período, cash sweep mensal.",1049114_assembleia_assembleia_1049114_2025-11-26.pdf · p.1-3
MT INSS RECEIVABLES III RESPONSABILI,44.173.467/0001-09,14/06/2022,Classe/série não identificada,—,—,—,"165,0",—,—,320076_emissao_emissao_320076_2022-06-14.pdf · ID 320076 · 14/06/2022
MT INSS RECEIVABLES III RESPONSABILI,44.173.467/0001-09,23/09/2022,Classe/série não identificada,—,—,—,—,"DI + 4,45% a.a.",—,355220_regulamento_regulamento_355220_2022-09-23.pdf · ID 355220 · 23/09/2022
MT INSS RECEIVABLES III RESPONSABILI,44.173.467/0001-09,23/09/2022,Cotas Subordinadas Júnior do Fundo,Subordinada,—,—,"2,0",—,—,355219_regulamento_regulamento_355219_2022-09-23.pdf · ID 355219 · 23/09/2022
MT INSS RECEIVABLES III RESPONSABILI,44.173.467/0001-09,10/05/2023,Cotas Subordinadas Júnior,Subordinada,—,—,"1,0",—,—,467860_emissao_emissao_467860_2023-05-10.pdf · ID 467860 · 10/05/2023
MT INSS RECEIVABLES III RESPONSABILI,44.173.467/0001-09,18/11/2024,Cotas Seniores serão colocados à disposição do Fundo,Sênior,—,—,—,"DI + 4,6% a.a.",—,791325_regulamento_regulamento_791325_2024-11-18.pdf · ID 791325 · 18/11/2024
MT INSS RECEIVABLES III RESPONSABILI,44.173.467/0001-09,28/11/2024,Classe/série não identificada,—,—,—,—,"DI + 4,45% a.a.",—,791513_regulamento_regulamento_791513_2024-11-28.pdf · ID 791513 · 28/11/2024
MT INSS RECEIVABLES III RESPONSABILI,44.173.467/0001-09,30/12/2025,Cotas Subordinadas Júnior sem a necessidade de aprovação em assemble,Subordinada,—,—,—,—,—,1078471_regulamento_regulamento_1078471_2025-12-30.pdf · ID 1078471 · 30/12/2025
MT INSS RECEIVABLES VI,62.310.468/0001-30,19/08/2025,cotas seniores da 1ª (primeira) série da Classe,Sênior,—,—,"1,0",—,—,977281_emissao_emissao_977281_2025-08-19.pdf · ID 977281 · 19/08/2025
MT INSS RECEIVABLES VI,62.310.468/0001-30,25/08/2025,Classe/série não identificada,—,—,—,"475,0",—,—,977555_emissao_emissao_977555_2025-08-25.pdf · ID 977555 · 25/08/2025
MT INSS RECEIVABLES VI,62.310.468/0001-30,28/08/2025,Classe/série não identificada,—,—,—,—,"DI + 2,40% a.a.",—,979365_regulamento_regulamento_979365_2025-08-28.pdf · ID 979365 · 28/08/2025
MT INSS RECEIVABLES VI,62.310.468/0001-30,28/08/2025,Cotas Subordinadas Júnior e de Cotas Seniores da Classe,Sênior,—,—,"15,0","DI + 2,40% a.a.",—,979361_regulamento_regulamento_979361_2025-08-28.pdf · ID 979361 · 28/08/2025
MT INSS RECEIVABLES VI,62.310.468/0001-30,04/09/2025,Classe/série não identificada,—,—,—,—,"DI + 2,40% a.a.",—,985037_regulamento_regulamento_985037_2025-09-04.pdf · ID 985037 · 04/09/2025
MT INSS RECEIVABLES VI,62.310.468/0001-30,04/09/2025,Cotas Subordinadas e (b) o Patrimônio Líquido da Classe,Subordinada,—,—,—,—,—,985036_regulamento_regulamento_985036_2025-09-04.pdf · ID 985036 · 04/09/2025
MT INSS RECEIVABLES VI,62.310.468/0001-30,22/10/2025,2ª série,—,—,—,"200,0",—,—,1033990_assembleia_assembleia_1033990_2025-10-22.pdf · ID 1033990 · 22/10/2025 07:00
MT INSS RECEIVABLES VI,62.310.468/0001-30,30/10/2025,1ª Série,—,—,—,"475,0","DI + 2,40% a.a.",—,1044009_assembleia_assembleia_1044009_2025-10-30.pdf · ID 1044009 · 30/10/2025 07:00
MT INSS RECEIVABLES VI,62.310.468/0001-30,30/10/2025,Classe/série não identificada,—,—,—,—,"DI + 2,40% a.a.",—,1044010_regulamento_regulamento_1044010_2025-10-30.pdf · ID 1044010 · 30/10/2025
