benchmark_confiavel,campos_nao_preenchidos,capacidade_ate_gatilho,categoria_risco_atual,categoria_risco_proposta,cedente,cedente_originador_literal,cnpj,cnpj_formatado,cnpj_numerico,comparabilidade_motivo,comparavel_flag,coorte,data_ref,documento_data,documento_id,excecao_asterisco_flag,excesso_vs_mercado,foco_exibicao,folga_pp,fonte_avaliacao_reclassificacao,fonte_documental,fonte_partes_recebivel,fundamento_avaliacao_reclassificacao,grupo_comparacao,middle_market_evidencia,middle_market_porte_documentado_flag,middle_market_status,minimo_estrutural_display,minimo_estrutural_formula,minimo_estrutural_natureza,minimo_estrutural_usado,minimo_junior_ajustado,minimo_junior_calculado,minimo_junior_literal,mvp_elegivel_flag,mvp_faixa_sub_atual,mvp_situacao_piso,mvp_slide_categoria,mvp_slide_categoria_fonte,mvp_slide_categoria_motivo,mvp_slide_categoria_original,mvp_slide_categoria_override_flag,n_comparaveis_categoria,nome_oficial_cvm,nome_referencia,observacao_complemento_manual,ordem,originador,pagina_clausula,papel_literal,pl_atual_brl,pl_classes_reportadas_brl,pl_subordinado_atual_brl,posicao_mercado,preco_cota_brl,preco_cota_classe_serie,preco_cota_display,preco_cota_documento_data,preco_cota_documento_id,preco_cota_excecao_asterisco_flag,preco_cota_fonte,preco_cota_natureza,preco_cota_status,reclassificacao_proposta_flag,sacado_devedor,situacao_regulatoria,status_avaliacao_reclassificacao,status_complemento_manual,status_curadoria_documental,status_identidade,status_preenchimento,status_sub_pl_atual,sub_pl_atual,subtipo_risco_diagnosticado,suporte_combinado_junior_mezanino,suporte_total,taxonomia_estrutural,texto_minimo,tipo_exibicao,tipo_recebivel_literal,nome_cvm,pl_publicado_brl,linhas_tabela_iv,contas_senior_reportadas,linhas_tabela_x_1_1,competencia_cvm,situacao_contas_senior,indicio_posicao_exclusiva,identidade_titular_cvm,ordem_pl
True,originador,,Financeiro,Financeiro,Pague Veloz / Serasa,Pague Veloz / Serasa,62838025000116,62.838.025/0001-16,62838025000116,Mínimo júnior isolado; a subordinação atual disponível agrega todas as classes subordinadas.,False,Carteira 101,2026-06,2025-12-10,1058234,False,-0.20692634775414534,Adquirência,,IMG_8705,FundosNet/B3; documento 1058234; referência 2025-12-10; p. 39,cedente: IMG_8705.JPG | sacado_devedor: https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1058234 | tipo_recebivel: IMG_8705.JPG,"Rede, Getnet, Cielo e Pag constam apenas na fonte manual",Financeiro,IMG_8705,False,Não,N/D,direto no regulamento,junior_pl,0.1,,,0.1,True,< 10%,incomparável,Financeiro,N/D,N/D,Financeiro,False,12.0,ENDURANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,TOP 2025 J FIDC RESP LTDA,N/D,47,N/D,39,cedente,2004513902.3,2004513902.300384,189493138.739664,abaixo do mercado,1000.0,N/D,"R$ 1.000,00",2025-12-10,1058234,True,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1058234,preço/valor unitário de emissão,localizado documentalmente,False,"os emissores, devedores e/ou garantidores dos Direitos Creditórios, conforme o caso",não medido,PENDENTE_FONTE_PRIMARIA,manual_aplicado,revisto — mínimo júnior localizado,localizado,estrutura_incomparavel,Calculado com classes reportadas e PL oficial reconciliado,0.09453321252710575,Recebíveis de arranjos de pagamento,,,Financeiro,"Cotas júnior / PL: 9,0% nos primeiros 30 dias; 10,0% como patamar regular.",Financeiro,"recebíveis de Rede, GetNet, Cielo e Pag",ENDURANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,2003213672.74,1.0,1.0,1.0,2026-07,1 conta senior reportada,True,nao publicada,9.0
True,originador; tipo de recebível,,Consignado INSS e FGTS,Consignado INSS e FGTS,"o Banco Pine, conforme o caso;",N/D,63546406000194,63.546.406/0001-94,63546406000194,Mínimo júnior isolado; a subordinação atual disponível agrega todas as classes subordinadas.,False,Carteira 101,2026-06,2026-03-05,1130481,False,-0.01189728877231469,Multicarteira Financeiro,,N/D,FundosNet/B3; documento 1130481; referência 2026-03-05; p. 142,cedente: https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1130481 | sacado_devedor: https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1130481,N/D,Consignado INSS,N/D,,N/D,N/D,direto no regulamento,junior_pl,0.015,,,0.015,True,10%–15%,incomparável,Consignado INSS e FGTS,N/D,N/D,Consignado INSS e FGTS,False,5.0,PINE INSS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,PINE INSS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE,N/D,90,N/D,142,N/D,1153763377.65,1153763377.6455,172223714.7399375,em linha com o mercado,1000.0,cotas seniores | cotas subordinadas júnior | cotas subordinadas mezanino,"R$ 1.000,00 | cotas seniores: R$ 1.000,00 | cotas subordinadas júnior: R$ 1.000,00 | cotas subordinadas mezanino: R$ 1.000,00",2026-03-05,1130481 | 1130478,True,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1130481 | https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1130478,preço/valor unitário de emissão | valor nominal unitário (VNU),localizado documentalmente — múltiplos valores/classes,False,os devedores das CCBs relativas aos Direitos Creditórios;,não medido,fora da revisão Financeiro/Agro,sem_overlay,revisto — mínimo júnior localizado,localizado,estrutura_incomparavel,Calculado com classes reportadas e PL oficial reconciliado,0.1492712614008645,N/D,,,Consignado INSS,"Cotas júnior / PL sem efeito de derivativos: mínimo inicial de 1,5%; meta de 2,5%.",Financeiro,N/D,PINE INSS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA,1123416602.95,1.0,1.0,1.0,2026-07,1 conta senior reportada,True,nao publicada,14.0
True,originador; cedente; sacado/devedor; tipo de recebível,,Consignado INSS e FGTS,Consignado INSS e FGTS,N/D,N/D,65347578000164,65.347.578/0001-64,65347578000164,Mínimo júnior isolado; a subordinação atual disponível agrega todas as classes subordinadas.,False,Carteira 101,2026-06,2026-05-25,1211821,False,-0.025991689063769863,Multicarteira Financeiro,,N/D,FundosNet/B3; documento 1211821; referência 2026-05-25; p. 186,N/D,N/D,Consignado INSS,N/D,,N/D,N/D,direto no regulamento,junior_pl,0.025,,,0.025,True,10%–15%,incomparável,Consignado INSS e FGTS,N/D,N/D,Consignado INSS e FGTS,False,5.0,ICRED INSS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,ICRED INSS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE,N/D,99,N/D,186,N/D,664757336.15,664757336.1491944,89859810.10020947,abaixo do mercado,1000.0,N/D,"R$ 1.000,00",25/05/2026,1211821,True,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1211821,preço/valor unitário de emissão,localizado documentalmente,False,N/D,não medido,fora da revisão Financeiro/Agro,sem_overlay,revisto — mínimo júnior localizado,localizado,estrutura_incomparavel,Calculado com classes reportadas e PL oficial reconciliado,0.13517686110940932,N/D,,,Consignado INSS,"Cotas júnior / PL: mínimo inicial de 2,5%; 4,0% após o índice atingir esse patamar.",Financeiro,N/D,ICRED INSS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,690077243.57,1.0,1.0,1.0,2026-07,1 conta senior reportada,True,nao publicada,21.0
False,Sub/PL atual; sacado/devedor,,Agro / Revenda,Agro / Revenda,UPL,UPL,44574361000117,44.574.361/0001-17,44574361000117,Suporte total ou combinado; não representa mínimo júnior isolado.,True,Carteira 101,2026-06,2025-06-12,928360,True,,"Multicarteira Agro, Indústria e Comércio",,IMG_8704,FundosNet/B3; documento 928360; referência 2025-06-12; p. 133,originador: https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1126517 | cedente: IMG_8704.JPG | tipo_recebivel: IMG_8704.JPG,UPL e insumos agrícolas,Agro / Revenda,IMG_8704,False,Não,"15,0%*","calculado: 1 − 1/1,1764",suporte_total_pl,0.15,,,,False,N/D,N/D,Agro / Revenda,N/D,N/D,Agro / Revenda,False,0.0,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS UPL 02 - RESPONSABILIDADE LIMITADA,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS UPL,N/D,27,UPL Brasil/UPL,133,cedente,482864460.3,466566839.994366,60761467.88376599,sem benchmark confiável,1000.0,Cotas Subordinadas,"Cotas Subordinadas: R$ 1.000,00",16/04/2025,883109,False,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=883109,preço/valor unitário de emissão,localizado documentalmente,False,N/D,não medido,MANTER_ALTA,manual_aplicado,revisto — suporte estrutural total localizado,localizado,sub_pl_atual_ausente,N/D,,"Insumos agrícolas, prazo safra",,0.15,Agro / Revenda,N/D,"Agro, Indústria e Comércio",Insumos Agrícolas - prazo Safra,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS UPL 02 - RESPONSABILIDADE LIMITADA,480955627.35,1.0,1.0,1.0,2026-07,1 conta senior reportada,True,nao publicada,27.0
True,preço unitário da cota; originador; sacado/devedor; tipo de recebível,0.15126444526588836,Financeiro,Financeiro,SHPP IP,SHPP IP,58152340000118,58.152.340/0001-18,58152340000118,Estrutura com uma única classe subordinada; métrica atual e piso usam o total subordinado sobre o PL.,True,Carteira 101,2026-06,2026-05-14,1191019,False,0.10442555140487075,Crédito Pessoal,0.10588511168612186,"regulamento 1191019, 117 páginas",FundosNet/B3; documento 1191019; referência 2026-05-14; p. 105,cedente: IMG_8707.jpg,CCBs originadas em empréstimos da Monee SCD,Financeiro,"regulamento 1191019, 117 páginas",False,Não,"30,0%",direto no regulamento,junior_pl,0.3,,,0.3,True,35%–60%,acima do piso,Financeiro,N/D,N/D,Financeiro,False,12.0,MONEE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO FINANCEIRO - RESP. LIMITADA,MONEE II FUNDO DE INVESTIMENTO,Denominação cortada pela largura da coluna na foto.,88,N/D,105,cedente,442213717.89,442213717.8892243,179487964.2749178,acima do mercado,,N/D,N/D,N/D,N/D,False,N/D,N/D,não localizado,False,N/D,acima do mínimo,MANTER_ALTA,manual_aplicado,revisto — mínimo júnior localizado,localizado,completo_para_folga,Calculado com classes reportadas e PL oficial reconciliado,0.40588511168612185,"Empréstimos Monee SCD, CCBs",,0.3,Financeiro,"Cotas subordinadas / PL, mínimo de 30,0%; estrutura com uma única classe residual.",Financeiro,N/D,MONEE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO FINANCEIRO - RESP. LIMITADA,442213717.89,1.0,1.0,1.0,2026-06,1 conta senior reportada,True,nao publicada,29.0
False,originador,,Adquirência,Adquirência,"a SUMUP INSTITUIÇÃO DE PAGAMENTO BRASIL LTDA., sociedade limitada com sede na Cidade e Estado de São Paulo, na Rua Gilberto Sabino, nº 215, 10º andar, Pinheiros, CEP: 05425-020, inscrita no CNPJ/MF sob o nº 16.668.076/0001-20",Sumup IP,62626887000185,62.626.887/0001-85,62626887000185,Mínimo júnior isolado; a subordinação atual disponível agrega todas as classes subordinadas.,False,Carteira 101,2026-06,2026-03-31,1152823,False,,Recebíveis Comerciais,,N/D,FundosNet/B3; documento 1152823; referência 2026-03-31; p. 96,cedente: https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1152823 | sacado_devedor: https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1152823 | tipo_recebivel: https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1152823,N/D,Agro / Revenda,N/D,,N/D,N/D,direto no regulamento,junior_pl,0.028999999999999998,,,0.028999999999999998,True,< 10%,incomparável,Adquirência,"FundosNet/B3 doc. 1152823, p. 93; IMG_8704.JPG",Transações com instrumentos de pagamento operacionalizadas pelo Sistema SumUp; devedores são os emissores.,Agro / Revenda,True,0.0,SUMUP SMART IV FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,TOP 2025 C FIDC RESP LTDA,OBS da foto: Risco Banco Emissor Itaú.,8,N/D,96,cedente,356847386.67,356847386.66493005,14184048.109525,sem benchmark confiável,1000.0,Cotas Seniores | Cotas Subordinadas Junior,"Cotas Seniores: R$1.000,00 | Cotas Subordinadas Junior: R$1.000,00",2026-03-31,1152823,True,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1152823,valor nominal unitário (VNU),localizado documentalmente — múltiplos valores/classes,False,os Emissores,não medido,fora da revisão Financeiro/Agro,manual_aplicado,revisto — mínimo júnior localizado,localizado,estrutura_incomparavel,Calculado com classes reportadas e PL oficial reconciliado,0.03974821909692704,N/D,,,Agro / Revenda,"Cotas subordinadas júnior / PL, mínimo de 2,90%.","Agro, Indústria e Comércio","os direitos creditórios de tempos em tempos detidos pelo Cedente em face dos Devedores, conforme as regras dos Arranjos de Pagamentos, decorrentes de Transações de Pagamento realizadas por Usuários-Finais com a utilização de Instrumentos de Pagamento das Bandeiras, operacionalizadas pelo Sistema SumUp, para a aquisição de bens ou serviços nos Estabelecimentos Comerciais",SUMUP SMART IV FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,357876597.97,1.0,1.0,1.0,2026-07,1 conta senior reportada,True,nao publicada,34.0
False,originador; sacado/devedor; tipo de recebível,0.007543371234088436,Agro / Revenda,Risco Corporativo,Empresas grupo Dass,Empresas grupo Dass,63622842000103,63.622.842/0001-03,63622842000103,Estrutura com uma única classe subordinada; métrica atual e piso usam o total subordinado sobre o PL.,True,Carteira 101,2026-06,2025-12-01,1051646,False,,Recebíveis Comerciais,0.003771685617044218,"regulamento 1051646, 90 páginas",FundosNet/B3; documento 1051646; referência 2025-12-01; p. 69,cedente: IMG_8705.JPG,Direitos são notas comerciais emitidas pela Dass Nordeste,Agro / Revenda,"regulamento 1051646, 90 páginas",False,Não,"50,0%",direto no regulamento,junior_pl,0.5,,,0.5,True,35%–60%,até 2 p.p. acima,Risco Corporativo,"regulamento 1051646, 90 páginas",Direitos são notas comerciais emitidas pela Dass Nordeste,Agro / Revenda,True,0.0,DESBRAVA UNO ARTIGOS ESPORTIVOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,DESBRAVA UNO ART ESP FIDC RL,"OBS da foto: FIDC 12431, risco Dass (não são recebíveis de clientes).",45,N/D,69,cedente,343581061.0,343517082.8369128,173086410.2460625,sem benchmark confiável,1000.0,COTAS SUBORDINADAS,"COTAS SUBORDINADAS: R$ 1.000,00 | R$ 1.000,00",01/12/2025,1051646,True,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1051646,preço/valor unitário de emissão,localizado documentalmente — múltiplos valores/classes,True,N/D,folga estreita,APLICAR_ALTA,manual_aplicado,revisto — mínimo júnior localizado,localizado,completo_para_folga,Calculado com classes reportadas e PL oficial reconciliado,0.5037716856170442,"Notas comerciais da Dass, projeto de investimento",,0.5,Agro / Revenda,"Cotas subordinadas / PL, mínimo de 50,0%; estrutura com uma única classe residual.","Agro, Indústria e Comércio",N/D,DESBRAVA UNO ARTIGOS ESPORTIVOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,348330480.96,1.0,1.0,1.0,2026-07,1 conta senior reportada,True,nao publicada,36.0
False,originador; sacado/devedor,0.9598369909727522,Adquirência,Adquirência,RecargaPay,RecargaPay,40919667000107,40.919.667/0001-07,40919667000107,Estrutura com uma única classe subordinada; métrica atual e piso usam o total subordinado sobre o PL.,True,Carteira 101,2026-06,2026-02-12,1118056,False,,Recebíveis Comerciais,0.4799184954863761,N/D,FundosNet/B3; documento 1118056; referência 2026-02-12; p. 31,cedente: IMG_8705.JPG | tipo_recebivel: IMG_8705.JPG,N/D,Agro / Revenda,N/D,,N/D,"50,0%",direto no regulamento,junior_pl,0.5,,,0.5,True,≥ 60%,acima do piso,Adquirência,"FundosNet/B3 doc. 1118056, p. 24 e 36–38; IMG_8705.JPG e IMG_8707.jpg",Direitos de clientes e estabelecimentos contra RecargaPay por transações de pagamento; RecargaPay atua como subcredenciadora.,Agro / Revenda,True,0.0,RECARGAPAY I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,RECARGAPAY I FUNDO DE INVESTIMENTO EM DIREITOS CRE,"OBS da foto: FIDC ""Bolso próprio"", onde a Recarga fez aportes iniciais e utiliza o veículo para antecipar os recebíveis de cartão. Denominação cortada.",36,N/D,31,cedente,281538432.34,281538432.34024817,275884717.04020566,sem benchmark confiável,1000.0,Cotas Seniores,"Cotas Seniores: R$1.000,00",22/12/2023,574657,False,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=574657,valor nominal unitário (VNU),localizado documentalmente,False,N/D,acima do mínimo,fora da revisão Financeiro/Agro,manual_aplicado,revisto — mínimo júnior localizado,localizado,completo_para_folga,Calculado com classes reportadas e PL oficial reconciliado,0.9799184954863761,N/D,,0.5,Agro / Revenda,"Cotas subordinadas / PL, mínimo de 50,0%; estrutura com uma única classe residual.","Agro, Indústria e Comércio",recebíveis de cartão,RECARGAPAY I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,282075326.64,1.0,1.0,1.0,2026-07,1 conta senior reportada,True,nao publicada,39.0
True,Nenhum,,Financeiro,Financeiro,BMP,BMP,47640584000123,47.640.584/0001-23,47640584000123,Mínimo júnior isolado; a subordinação atual disponível agrega todas as classes subordinadas.,False,Carteira 101,2026-06,2025-06-13,930974,False,0.002794574646158121,Crédito Pessoal,,regulamento + IMG_8706,FundosNet/B3; documento 930974; referência 2025-06-13; p. 91,originador: https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=721487 | cedente: IMG_8706.JPG | sacado_devedor: https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=930974 | tipo_recebivel: IMG_8706.JPG,Devedores PF/PJ financiam projetos solares por CCB,Financeiro,regulamento + IMG_8706,False,Não,N/D,direto no regulamento,junior_pl,0.1,,,0.1,True,20%–35%,incomparável,Financeiro,N/D,N/D,Financeiro,False,12.0,SOL AGORA GREEN ESG FIDC IS SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,SOL AGORA GREEN ESG FIDC IS SEGMENTO FINANCEIRO DE,"OBS da foto: a Sol Agora é o originador, mas o cedente das CCBs é o BMP (true sale). Os papéis foram desmembrados somente porque estão escritos literalmente na fonte. Denominação cortada.",82,Sol Agora,91,cedente,285125290.74,285125290.8203988,86750548.68002474,em linha com o mercado,1000.0,Cotas Seniores,"Cotas Seniores: R$1.000,00",13/06/2025,930974,False,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=930974,preço/valor unitário de emissão,localizado documentalmente,False,pessoas físicas ou jurídicas que obtenham um financiamento de Projetos de Geração Energia Elétrica junto a uma Instituição Financeira Parceira por meio da Plataforma Sol Agora,não medido,MANTER_ALTA,manual_aplicado,revisto — mínimo júnior localizado,localizado,estrutura_incomparavel,Calculado com classes reportadas e PL oficial reconciliado,0.3042541349274092,"Financiamento solar, CCBs",,,Financeiro,"Cotas júnior / PL ajustado: 10,0% até o 24º mês e 12,5% após esse período.",Financeiro,Recebíveis: CCBs,SOL AGORA GREEN ESG FIDC IS SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,277743631.93,1.0,1.0,1.0,2026-07,1 conta senior reportada,True,nao publicada,40.0
True,originador,0.02383620515389161,Adquirência,Adquirência,"a CloudWalk que, de tempos em tempos, nos termos do Contrato de Cessão, cede seus respectivos Direitos Creditórios Elegíveis ao Fundo",Cloudwalk IP,42085830000109,42.085.830/0001-09,42085830000109,Estrutura com uma única classe subordinada; métrica atual e piso usam o total subordinado sobre o PL.,True,Carteira 101,2026-06,2025-07-24,966441,False,-0.10223833522563128,Adquirência,0.02312111899927486,N/D,FundosNet/B3; documento 966441; referência 2025-07-24; p. 99,cedente: https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=966441 | sacado_devedor: https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=966441 | tipo_recebivel: https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=966441,N/D,Adquirência,N/D,,N/D,"3,0%",direto no regulamento,junior_pl,0.03,,,0.03,True,< 10%,acima do piso,Adquirência,N/D,N/D,Adquirência,False,15.0,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITO,OBS da foto: Risco Banco Emissor Itaú. Denominação cortada.,92,N/D,99,cedente,308205214.77,308205214.76999426,16372205.889994234,abaixo do mercado,1000.0,Cotas Seniores | Cotas Subordinadas,Cotas Seniores: R$1.000 | Cotas Subordinadas: R$1.000,2025-07-24,966441,True,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=966441,valor nominal unitário (VNU),localizado documentalmente — múltiplos valores/classes,False,os Emissores Qualificados,folga estreita,fora da revisão Financeiro/Agro,manual_aplicado,revisto — mínimo júnior localizado,localizado,completo_para_folga,Calculado com classes reportadas e PL oficial reconciliado,0.05312111899927486,N/D,,0.03,Adquirência,"Cotas subordinadas / PL, mínimo de 3,0%; estrutura com uma única classe residual.",Financeiro,"os direitos creditórios de tempos em tempos detidos pela Cedente em face dos Devedores , conforme as regras dos Arranjos de Pagamentos, decorrentes de Transações de Pagamento realizadas por Usuários-Finais com a utilização de Instrumentos de Pagamento, Página 97 de 116",CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,267022638.13,1.0,1.0,1.0,2026-07,1 conta senior reportada,True,nao publicada,42.0
