Nome,GAVEA SUL MULTISSETORIAL LP
Grupo,FIDC GAVEA SUL
CNPJ,18.185.812/0001-14
Páginas locais analisadas,735
Última competência IME,—
PL (R$ mm),—
Direitos creditórios / PL,—
Vencidos Over 30d / crédito,—
Vencidos Over 60d / crédito,—
Vencidos Over 90d / crédito,—
Vencidos Over 180d / crédito,—
Vencidos Over 360d / crédito,—
PDD / crédito,—
PDD / vencidos,—
Cotas sênior / PL,—
Cotas mezanino / PL,—
Cotas subordinadas / PL,—
Séries/classes emitidas identificadas,18
Volume emitido identificado (R$ mm),1.507
Primeira emissão identificada,02/02/2021
Última emissão identificada,30/04/2026
"Emissões detectadas (data, classe, preço e volume)","02/02/2021 · 8ª Série: R$ 60 mm; Rem DI + 5,0% a.a.
23/02/2021 · 8ª Série: R$ 140 mm; Rem DI + 4,5% a.a.
28/06/2021 · COTAS SENIORES DO GÁVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CR · Sênior: R$ 140 mm; Rem DI + 4,5% a.a.
28/06/2021 · Cotas Subordinadas Mezanino e (b) 1 (uma) classe de Cotas Subordinad · Mezanino: termos econômicos não identificados
06/07/2021 · COTAS SENIORES DO · Sênior: R$ 140 mm; Rem DI + 4,5% a.a.
09/05/2022 · 9ª SÉRIE: R$ 169 mm
13/05/2022 · Classe Mezanino 4” · Mezanino: R$ 169 mm
04/07/2022 · 10ª SÉRIE: R$ 30 mm
25/08/2022 · Cotas Subordinadas serão divididas em (a)um número indeterminado de · Subordinada: termos econômicos não identificados
09/05/2023 · Classe Subordinada · Subordinada: termos econômicos não identificados
06/10/2023 · Cotas Subordinadas Juniores do Fundo · Subordinada: R$ 40 mm
14/02/2024 · Cotas Subordinadas Mezanino e (b) 1 · Mezanino: termos econômicos não identificados
14/02/2024 · cotas Subordinadas · Subordinada: R$ 90 mm
28/03/2024 · Cotas Subordinadas Mezanino e (b)1 (uma) classe de Cotas Subordinada · Mezanino: termos econômicos não identificados
22/05/2024 · 12ª Série: R$ 117 mm
10/06/2024 · Classe/série não identificada: R$ 117 mm
06/11/2024 · Cotas Subordinadas Mezanino · Mezanino: termos econômicos não identificados
12/11/2024 · 13ª Série: R$ 90 mm
22/11/2024 · Classe/série não identificada: R$ 90 mm
28/05/2025 · Cotas Subordinadas Mezanino · Mezanino: termos econômicos não identificados
13/10/2025 · Cotas Subordinadas Mezanino · Mezanino: termos econômicos não identificados
19/01/2026 · Cotas Subordinadas Mezanino · Mezanino: R$ 50 mm; Rem DI + 3% a.a.
27/04/2026 · 6ª Série: R$ 15 mm; Rem DI + 2,5% a.a.
30/04/2026 · cotas MEZANINO 6 do · Mezanino: R$ 50 mm"
Remuneração-alvo por emissão detectada,"02/02/2021 · 8ª Série: DI + 5,0% a.a.
23/02/2021 · 8ª Série: DI + 4,5% a.a.
28/06/2021 · COTAS SENIORES DO GÁVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CR · Sênior: DI + 4,5% a.a.
06/07/2021 · COTAS SENIORES DO · Sênior: DI + 4,5% a.a.
19/01/2026 · Cotas Subordinadas Mezanino · Mezanino: DI + 3% a.a.
27/04/2026 · 6ª Série: DI + 2,5% a.a."
Amortização/vencimento por emissão detectada,—
Regulamento-base dos thresholds,13/10/2025 · 2025
Alocação mínima em DCs,>= 67%
Subordinação mínima,">= 181,82%; >= 22%; >= 8%; 8%; +2"
Evento de avaliação por atraso,<= 10%; 10%
Liquidação/vencimento por atraso,—
Cobertura mínima PDD,>= 100%; 100%
Reserva/caixa mínimo,—
Limite de recompra,—
Limite de cancelamento,—
Limite de chargeback/contestação,—
Limites de concentração,<= 7%; <= 50%; <= 10%
Hedges permitidos,—
Cross default do cedente,—
Troca de gestor/administrador,"texto; <=; Regra textual de troca/substituição de administrador, gestor ou prestador-chave."
Critérios de elegibilidade,<= 5%; texto
