CNPJ,Fundo,Competência,Métrica,Valor na lâmina (%),Valor no Informe Mensal Estruturado (%),Valor absoluto IME (R$),Diferença em p.p.,Diferença relativa (%),Status,Fonte na lâmina,Fonte/tag path no IME,Observação técnica
08417544000165,CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;,Jan-26,Over 30,5.24,1.0233163867015627,12325505.690000001,-4.2166836132984375,-80.47106132248926,DIVERGENTE,PDF > seção Indicadores de Atraso > série Jan-26,"Numerador: soma cumulativa de COMPMT_DICRED_AQUIS e COMPMT_DICRED_SEM_AQUIS para VL_INAD_VENC_31_60, VL_INAD_VENC_61_90, VL_INAD_VENC_91_120, VL_INAD_VENC_121_150, VL_INAD_VENC_151_180, VL_INAD_VENC_181_360, VL_INAD_VENC_361_720, VL_INAD_VENC_721_1080, VL_INAD_VENC_1080; denominador: dc_total_canonico (malha_vencimento); status=calculado","IME usa soma cumulativa dos buckets VL_INAD_VENC_* sobre dc_total_canonico. A lâmina Pravaler apresenta Índices de Atraso substancialmente maiores, sugerindo diferença metodológica, denominador/base operacional ou métrica de gestor não replicada pelo XML."
08417544000165,CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;,Jan-26,Over 60,3.89,0.7892950760125752,9506796.8,-3.1007049239874247,-79.70963814877699,DIVERGENTE,PDF > seção Indicadores de Atraso > série Jan-26,"Numerador: soma cumulativa de COMPMT_DICRED_AQUIS e COMPMT_DICRED_SEM_AQUIS para VL_INAD_VENC_61_90, VL_INAD_VENC_91_120, VL_INAD_VENC_121_150, VL_INAD_VENC_151_180, VL_INAD_VENC_181_360, VL_INAD_VENC_361_720, VL_INAD_VENC_721_1080, VL_INAD_VENC_1080; denominador: dc_total_canonico (malha_vencimento); status=calculado","IME usa soma cumulativa dos buckets VL_INAD_VENC_* sobre dc_total_canonico. A lâmina Pravaler apresenta Índices de Atraso substancialmente maiores, sugerindo diferença metodológica, denominador/base operacional ou métrica de gestor não replicada pelo XML."
08417544000165,CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;,Jan-26,Over 90,3.19,0.617237700490041,7434422.91,-2.572762299509959,-80.65085578401126,DIVERGENTE,PDF > seção Indicadores de Atraso > série Jan-26,"Numerador: soma cumulativa de COMPMT_DICRED_AQUIS e COMPMT_DICRED_SEM_AQUIS para VL_INAD_VENC_91_120, VL_INAD_VENC_121_150, VL_INAD_VENC_151_180, VL_INAD_VENC_181_360, VL_INAD_VENC_361_720, VL_INAD_VENC_721_1080, VL_INAD_VENC_1080; denominador: dc_total_canonico (malha_vencimento); status=calculado","IME usa soma cumulativa dos buckets VL_INAD_VENC_* sobre dc_total_canonico. A lâmina Pravaler apresenta Índices de Atraso substancialmente maiores, sugerindo diferença metodológica, denominador/base operacional ou métrica de gestor não replicada pelo XML."
08417544000165,CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;,Jan-26,Over 180,1.58,0.26653780132174704,3210359.21,-1.313462198678253,-83.1305189036869,DIVERGENTE,PDF > seção Indicadores de Atraso > série Jan-26,"Numerador: soma cumulativa de COMPMT_DICRED_AQUIS e COMPMT_DICRED_SEM_AQUIS para VL_INAD_VENC_181_360, VL_INAD_VENC_361_720, VL_INAD_VENC_721_1080, VL_INAD_VENC_1080; denominador: dc_total_canonico (malha_vencimento); status=calculado","IME usa soma cumulativa dos buckets VL_INAD_VENC_* sobre dc_total_canonico. A lâmina Pravaler apresenta Índices de Atraso substancialmente maiores, sugerindo diferença metodológica, denominador/base operacional ou métrica de gestor não replicada pelo XML."
08417544000165,CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;,Jan-26,Over 360,,0.0,0.0,,,AUSENTE NA LÂMINA,Não exibido na lâmina,"Numerador: soma cumulativa de COMPMT_DICRED_AQUIS e COMPMT_DICRED_SEM_AQUIS para VL_INAD_VENC_361_720, VL_INAD_VENC_721_1080, VL_INAD_VENC_1080; denominador: dc_total_canonico (malha_vencimento); status=calculado",A lâmina não apresenta Over 360; o IME calcula o corte cumulativo acima de 360 dias.
26749095000134,PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,Jan-26,Over 30,5.74,0.92631520027003,3401730.5600000005,-4.8136847997299705,-83.86210452491237,DIVERGENTE,PDF > seção Indicadores de Atraso > série Jan-26,"Numerador: soma cumulativa de COMPMT_DICRED_AQUIS e COMPMT_DICRED_SEM_AQUIS para VL_INAD_VENC_31_60, VL_INAD_VENC_61_90, VL_INAD_VENC_91_120, VL_INAD_VENC_121_150, VL_INAD_VENC_151_180, VL_INAD_VENC_181_360, VL_INAD_VENC_361_720, VL_INAD_VENC_721_1080, VL_INAD_VENC_1080; denominador: dc_total_canonico (malha_vencimento); status=calculado","IME usa soma cumulativa dos buckets VL_INAD_VENC_* sobre dc_total_canonico. A lâmina Pravaler apresenta Índices de Atraso substancialmente maiores, sugerindo diferença metodológica, denominador/base operacional ou métrica de gestor não replicada pelo XML."
26749095000134,PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,Jan-26,Over 60,4.24,0.7042571803765764,2586261.3200000003,-3.5357428196234237,-83.39016084017508,DIVERGENTE,PDF > seção Indicadores de Atraso > série Jan-26,"Numerador: soma cumulativa de COMPMT_DICRED_AQUIS e COMPMT_DICRED_SEM_AQUIS para VL_INAD_VENC_61_90, VL_INAD_VENC_91_120, VL_INAD_VENC_121_150, VL_INAD_VENC_151_180, VL_INAD_VENC_181_360, VL_INAD_VENC_361_720, VL_INAD_VENC_721_1080, VL_INAD_VENC_1080; denominador: dc_total_canonico (malha_vencimento); status=calculado","IME usa soma cumulativa dos buckets VL_INAD_VENC_* sobre dc_total_canonico. A lâmina Pravaler apresenta Índices de Atraso substancialmente maiores, sugerindo diferença metodológica, denominador/base operacional ou métrica de gestor não replicada pelo XML."
26749095000134,PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,Jan-26,Over 90,3.51,0.5390567546074633,1979591.65,-2.9709432453925366,-84.64225770349107,DIVERGENTE,PDF > seção Indicadores de Atraso > série Jan-26,"Numerador: soma cumulativa de COMPMT_DICRED_AQUIS e COMPMT_DICRED_SEM_AQUIS para VL_INAD_VENC_91_120, VL_INAD_VENC_121_150, VL_INAD_VENC_151_180, VL_INAD_VENC_181_360, VL_INAD_VENC_361_720, VL_INAD_VENC_721_1080, VL_INAD_VENC_1080; denominador: dc_total_canonico (malha_vencimento); status=calculado","IME usa soma cumulativa dos buckets VL_INAD_VENC_* sobre dc_total_canonico. A lâmina Pravaler apresenta Índices de Atraso substancialmente maiores, sugerindo diferença metodológica, denominador/base operacional ou métrica de gestor não replicada pelo XML."
26749095000134,PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,Jan-26,Over 180,1.84,0.22115696677033808,812160.28,-1.618843033229662,-87.98059963204685,DIVERGENTE,PDF > seção Indicadores de Atraso > série Jan-26,"Numerador: soma cumulativa de COMPMT_DICRED_AQUIS e COMPMT_DICRED_SEM_AQUIS para VL_INAD_VENC_181_360, VL_INAD_VENC_361_720, VL_INAD_VENC_721_1080, VL_INAD_VENC_1080; denominador: dc_total_canonico (malha_vencimento); status=calculado","IME usa soma cumulativa dos buckets VL_INAD_VENC_* sobre dc_total_canonico. A lâmina Pravaler apresenta Índices de Atraso substancialmente maiores, sugerindo diferença metodológica, denominador/base operacional ou métrica de gestor não replicada pelo XML."
26749095000134,PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,Jan-26,Over 360,,0.0,0.0,,,AUSENTE NA LÂMINA,Não exibido na lâmina,"Numerador: soma cumulativa de COMPMT_DICRED_AQUIS e COMPMT_DICRED_SEM_AQUIS para VL_INAD_VENC_361_720, VL_INAD_VENC_721_1080, VL_INAD_VENC_1080; denominador: dc_total_canonico (malha_vencimento); status=calculado",A lâmina não apresenta Over 360; o IME calcula o corte cumulativo acima de 360 dias.
