Fundo,CNPJ,Data,Classe/Série,Evento,Volume,Remuneração,Amortização/Vencimento,Fonte
VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL RESPONSABILIDADE LIMITADA,17.468.142/0001-80,,15ª Série,evento de cota,"R$ 200.000.000,00","Taxa DI + 2,75% a.a. | representantes da Administradora e da Gestora do Fundo. 04. COMPOSIÇÃO DA MESA: Presidente: Sr. Alexandre Calvo; Secretária: Sra. Alexandra Matos. 05. ORDEM DO DIA /DELIBERAÇÕES: Os Cotistas, por unanimidade de votos e s em ressalvas, aprovaram: a) A alteração dos prazos de duração, amortização e resgate, além da remuneração alvo das Cotas da 15ª Série Sênior, com a consequente alteração dos itens “j”, “k”, “m” e “n…","stradora. Presentes, ainda, os representantes da Administradora e da Gestora do Fundo. 04. COMPOSIÇÃO DA MESA: Presidente: Sr. Alexandre Calvo; Secretária: Sra. Alexandra Matos. 05. ORDEM DO DIA /DELIBERAÇÕES: Os Cotistas, por unanimidade de votos e s em ressalvas, aprovaram: a) A alteração dos prazos de duração, amortização e resgate, além da remuneração alvo das Cotas da 15ª Série Sênior, com a consequente alteraç…",1126079_assembleia_assembleia_1126079_2026-02-19.pdf
VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL RESPONSABILIDADE LIMITADA,17.468.142/0001-80,,COTAS SUBORDINADAS MEZANINO IX DO VALOREM,evento de cota,"R$ 20.062.523,28","Taxa DI + 3,60% a.a. | 54º mês 55º mês 1/6 1/5 1/4 1/3 1/2 1/1 i) Resgate: no 55º (quinquagésimo quinto) mês ocorrerá o resgate integral das Cotas (1/1), com o pagamento no mês no mesmo dia que ocorreu a primeira integralização de Cotas da Classe, pelo valor da Cota do dia, encerrando-se as Cotas Subordinadas Mezanino IX do Fundo. j) Rentabilidade alvo: CDI + 3,60% a.a. (três inteiros e sessenta centésimos por cento ao ano). k) Possibili…","s Cotas da Subordinadas Juniores e das Cotas Subordinadas Mezanino IX do Fundo, conforme assinaturas na lista de presença. Presentes, ainda, os representantes da Administradora e da Gestora. 03. ORDEM DO DIA/DELIBERAÇÕES: Os Cotistas, por unanimidade e sem ressalvas, aprovaram: a) A alteração dos prazos de duração, amortização e resgate das Cotas Subordinadas Mezanino IX, com a consequente alteração dos itens “g”, “…",1138857_assembleia_assembleia_1138857_2026-03-11.pdf
VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL RESPONSABILIDADE LIMITADA,17.468.142/0001-80,,28ª Série,evento de cota,"R$ 10.000.000,00","Taxa DI + 2,75% a.a. | estidores profissionais. Regime de Distribuição: Melhores esforços de colocação. Público-Alvo da Oferta: Investidores Profissionais. Distribuidor: Será a própria Administradora do Fundo. 7d100a05-d464-423d-9263-0ef3f76b7bf7 Taxa de Distribuição: (i) Taxa exigível pela CVM, conforme legislação vigente; (ii) remuneração do Distribuidor equivalente a 0,0 2% sobre cada aporte. Possibilidade de cancelamento do saldo não…","o: do 19º (décimo nono) mês até o 24º (vigésimo quarto) mês, a contar da data da primeira integralização de Cotas da Subclasse Subordinada Sênior da 28ª Série, com pagamento em cada mês no mesmo dia da primeira integralização de Cotas da Subclasse, pelo valor da Cota do dia, conforme cronograma e proporções abaixo. A amortização será feita utilizando o critério de principal + juros. 19º mês 20º mês 21º mês 22º mês 2…",1146989_assembleia_assembleia_1146989_2026-03-23.pdf
VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL RESPONSABILIDADE LIMITADA,17.468.142/0001-80,,,evento de cota,,,,1146994_evento_evento_1146994_2026-03-27.pdf
VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL RESPONSABILIDADE LIMITADA,17.468.142/0001-80,,,emissão,"R$ 10.000.000,00",,,1158740_emissao_emissao_1158740_2026-04-02.pdf
VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL RESPONSABILIDADE LIMITADA,17.468.142/0001-80,,,emissão,"R$ 10.000.000,00",,,1158747_emissao_emissao_1158747_2026-04-02.pdf
VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL RESPONSABILIDADE LIMITADA,17.468.142/0001-80,,,emissão,"R$ 5.000.000,00",,,1157862_emissao_emissao_1157862_2026-04-09.pdf
VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL RESPONSABILIDADE LIMITADA,17.468.142/0001-80,,,evento de cota,,"os da Resolução CVM 175/22. “Anexo Normativo II” Significa o anexo normativo II da Resolução CVM 175/22, conforme em vigor. “Apêndices” Significam os apêndices integrantes dos Anexos Descritivos, os quais descreverão as características e os direitos, assim como as condições de emissão, subscrição, integralização, remuneração, amortização e resgate de cada Subclasse de Cotas para cada uma das Classes do Fundo. “Assem…","__________________________________ 77 CAPÍTULO SÉTIMO – CARACTERÍSTICAS, DIREITOS, CONDIÇÕES DE EMISSÃO, SUBSCRIÇÃO E INTEGRALIZAÇÃO DAS COTAS E PATRIMÔNIO LÍQUIDO ____________________ 80 CAPÍTULO OITAVO – ASSEMBLEIAS ESPECIAIS __________________________________________________ 87 CAPÍTULO NONO – VALORAÇÃO DAS COTAS, AMORTIZAÇÃO E RESGATE DE COTAS, ORDEM DE ALOCAÇÃO DE RECURSOS, RESGATE EM ATIVOS ___________________…",1157934_regulamento_regulamento_1157934_2026-04-09.pdf
VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL RESPONSABILIDADE LIMITADA,17.468.142/0001-80,,,emissão,"R$ 10.000.000,00",,,1162431_emissao_emissao_1162431_2026-04-15.pdf
VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL RESPONSABILIDADE LIMITADA,17.468.142/0001-80,,Classe Mezanino II,evento de cota,"R$ 45.000.000,00",". 85º mês 86º mês 87º mês 88º mês 89º mês 90º mês 1/6 1/5 1/4 1/3 1/2 1/1 j) Resgate: no 90° ( nonagésimo) mês ocorrerá o resgate integral das Cotas (1/1), com o pagamento no mesmo dia do mês que ocorreu a primeira emissão de Cotas da Classe, pelo valor da Cota do dia, encerrando-se a Classe Mezanino V. k) Remuneração alvo: 100% (cem por cento) da variação do CDI-Over + 3,50% (três inteiros e cinco décimos por cento…","nica – Responsabilidade Limitada do Fundo, conforme lista de presença arquivada pela Administradora (“Cotistas”). Presentes, ainda, os representantes da Administradora e da Gestora do Fundo. 03. ORDEM DO DIA/DELIBERAÇÕES: Os Cotistas, por unanimidade e sem ressalvas, aprovaram: a) A alteração dos prazos de duração, amortização e resgate das Cotas da Subclasse Subordinada Mezanino II, com a consequente alteração dos…",1171598_assembleia_assembleia_1171598_2026-04-23.pdf
VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL RESPONSABILIDADE LIMITADA,17.468.142/0001-80,,30ª Série,evento de cota,"R$ 30.000.000,00","Taxa DI + 2,50% a.a. | estidores profissionais. Regime de Distribuição: Melhores esforços de colocação. Público-Alvo da Oferta: Investidores Profissionais. Distribuidor: Será a própria Administradora do Fundo. f6abce49-2e3c-46da-aabf-ccdc251ca097 Taxa de Distribuição: (i) Taxa exigível pela CVM, conforme legislação vigente; (ii) remuneração do Distribuidor equivalente a 0,0 2% sobre cada aporte. Possibilidade de cancelamento do saldo não…","o 13º (décimo terceiro) mês até o 24º (vigésimo quarto) mês, a contar da data da primeira integralização de Cotas da Subclasse Subordinada Sênior da 30ª Série, com pagamento em cada mês no mesmo dia da primeira integralização de Cotas da Subclasse, pelo valor da Cota do dia, conforme cronograma e proporções abaixo. A amortização será feita utilizando o critério de principal + juros. 13º mês 14º mês 15º mês 16º mês 1…",1179144_assembleia_assembleia_1179144_2026-04-24.pdf
VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL RESPONSABILIDADE LIMITADA,17.468.142/0001-80,,17ª SÉRIE,evento de cota,"R$ 5.000.000,00","Taxa DI + 2,75% a.a. | CVM nº 160, destinada exclusivamente a investidores profissionais. Regime de Distribuição: Melhores esforços de colocação. Público-Alvo da Oferta: Investidor Profissional. Distribuidor: Será a própria Administradora do Fundo. Taxa de Distribuição: (i) Taxa exigível pela CVM, conforme legislação vigente; (ii) remuneração do Distribuidor equivalente a 0,01% sobre cada aporte. aee7ce3f-61f6-4e2a-963d-744b480425bb Possi…","25º (vigésimo quinto) mês até o 36º (trigésimo sexto) mês, a contar da data da primeira integralização de Cotas da Subclasse Subordinada Sênior da 17ª Série , com pagamento em cada mês no mesmo dia da primeira integralização de Cotas da Subclasse, pelo valor da Cota do dia, conforme cronograma e proporções abaixo. A amortização será feita utilizando o critério de principal + juros. aee7ce3f-61f6-4e2a-963d-744b480425…",1176315_assembleia_assembleia_1176315_2026-04-27.pdf
VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL RESPONSABILIDADE LIMITADA,17.468.142/0001-80,,,emissão,"R$ 30.000.000,00",,,1179056_emissao_emissao_1179056_2026-05-04.pdf
VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL RESPONSABILIDADE LIMITADA,17.468.142/0001-80,,,evento de cota,,,,1179147_evento_evento_1179147_2026-05-04.pdf
VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL RESPONSABILIDADE LIMITADA,17.468.142/0001-80,,,emissão,"R$ 10.000.000,00",,,1180419_emissao_emissao_1180419_2026-05-05.pdf
VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL RESPONSABILIDADE LIMITADA,17.468.142/0001-80,,COTAS SUBORDINADAS MEZANINO II DO VALOREM FUNDO DE,evento de cota,"R$ 20.000.000,00","alvo das Cotas da Subclasse Subordinada Mezanino V, com a consequente alteração do ite m “k” do Suplemento das Cotas da Subclasse S ubordinada Mezanino V d a Classe Única – Responsabilidade Limitada do Fundo , que passar á a vigorar conforme redação abaixo e nos termos do Suplemento consolidado anexo (“Anexo II”): “k) Remuneração alvo: 100% (cem por cento) da variação do CDI-Over + 3% (três inteiros por cento) ao an…","ra integralização de Cotas. i) Amortizações: do 110° (centésimo décimo) mês até o 115º (centésimo décimo quinto) mês, a contar da data da primeira emissão de Cotas, com pagamento em cada mês no mesmo dia da primeira integralização de Cotas da Classe, pelo valor da Cota do dia, conforme cronograma e proporções abaixo. A amortização será feita utilizando o critério de principal + juros. 110º mês 111º mês 112º mês 113º…",1191041_assembleia_assembleia_1191041_2026-05-11.pdf
VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL RESPONSABILIDADE LIMITADA,17.468.142/0001-80,,COTAS SUBORDINADAS MEZANINO VI DO VALOREM,evento de cota,"R$ 20.000.000,00","resentes, ainda, os representantes da Administradora e da Gestora do Fundo. 04. MESA: Presidente: Sr. Alexandre Calvo; Secretário: Sr. Leandro Mendes Davanso. 05. ORDEM DO DIA/DELIBERAÇÕES: Os Cotistas, por unanimidade e sem ressalvas, aprovaram: a) A alteração dos prazos de duração, amortização e resgate, além da remuneração alvo das Cotas Subordinadas Mezanino VI da Classe Única – Responsabilidade Limitada do Fund…","Administradora (“Cotistas”). Presentes, ainda, os representantes da Administradora e da Gestora do Fundo. 04. MESA: Presidente: Sr. Alexandre Calvo; Secretário: Sr. Leandro Mendes Davanso. 05. ORDEM DO DIA/DELIBERAÇÕES: Os Cotistas, por unanimidade e sem ressalvas, aprovaram: a) A alteração dos prazos de duração, amortização e resgate, além da remuneração alvo das Cotas Subordinadas Mezanino VI da Classe Única – Res…",1200083_assembleia_assembleia_1200083_2026-05-18.pdf
GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,18.185.812/0001-14,,8ª Série,evento de cota,"R$ 60.000.000,00","Taxa DI + 5,0% a.a. | 1452 -919 | Tel.: (55 11) 2827-3500 | Ouvidoria: ouvidoria@singulare.com.br | www.singulare.com.br Mês 19 Mês 20 Mês 21 Mês 22 Mês 23 Mês 24 Mês 25 Mês 26 Mês 27 1/18 1/17 1/16 1/15 1/14 1/13 1/12 1/11 1/10 Mês 28 Mês 29 Mês 30 Mês 31 Mês 32 Mês 33 Mês 34 Mês 35 Mês 36 1/9 1/8 1/7 1/6 1/5 1/4 1/3 1/2 1/1 k) Remuneração alvo: 100% (cem por cento) da variação acumulada da taxa média diária dos Depósitos Interfinanceir…","meses, a contar da primeira subscrição de cotas; j) Amortizações: do 19º mês até o 36º mês, com o pagamento em cada mês no mesmo dia em que ocorreu a primeira integralização de cotas da classe, a contar da data da primeira integralização de cotas, com o valor da cota no dia imediatamente anterior ao dia do pagamento da amortização , conforme cronograma e proporções abaixo. Av. Brig. Faria Lima, 1355 ▪ 5° e 15° andar…",144637_assembleia_assembleia_144637_2021-02-02.pdf
GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,18.185.812/0001-14,,8ª Série,evento de cota,"R$ 140.000.000,00","Taxa DI + 4,5% a.a. | sse, o qual deixa de ocorrer “partir do 25º (vigésimo quinto) mês até o 48º (quadragésimos oitavo) mês” e passa a ocorrer em “a partir do 19º (décimo nono) mês até o 42º (quadragésimo segundo) mês, a contar da data da primeira integralização”, sendo tal alteração refletida na alínea “i” do Suplemento. iii. Alterar a remuneração alvo da cota, a qual deixa de ser “Taxa média diária dos Depósitos Interfinanceiros –DI d…","quarenta mil) cotas; c) Valor unitário: R$ 1.000,00 (um mil reais); d) Valor da emissão: R$ 140.000.000,00 (cento e quarenta milhões de reais); e) Aplicação mínima por investidor: R$ 1.000.000,00 (um milhão de reais); f) Prazo de colocação: nos termos da instrução CVM 476/2009; g) Prazo de duração e data de resgate: 42 (quarenta e dois) meses, a contar da primeira integralização de cotas, sendo que no 42º (quadragés…",150760_assembleia_assembleia_150760_2021-02-23.pdf
GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,18.185.812/0001-14,,COTAS SENIORES DO GÁVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CR,evento de cota,"R$ 140.000.000,00","Taxa DI + 4,5% a.a. | ês 27 1/24 1/23 1/22 1/21 1/20 1/19 1/18 1/17 1/16 Mês 28 Mês 29 Mês 30 Mês 31 Mês 32 Mês 33 Mês 34 Mês 35 Mês 36 1/15 1/14 1/13 1/12 1/11 1/10 1/9 1/8 1/7 -919 | Tel.: (55 11) 2827-3500 | Ouvidoria: ouvidoria@singulare.com.br | www.singulare.com.br Mês 37 Mês 38 Mês 39 Mês 40 Mês 41 Mês 42 1/6 1/5 1/4 1/3 1/2 1/1 j) Remuneração alvo: 100% (cem por cento) da variação acumulada da taxa média diária dos Depósitos Inte…",o de competência à Assembleia Geral de Cotistas para deliberar sobre o aporte adicional de recursos pelos Cotistas na hipótese se o Fundo não possuir recursos para a adoção e manutenção de procedimentos judiciais e extrajudiciais para cobrança de Direitos Creditórios de sua titularidade; (xiv) alterações nas condições para amortização das Cotas Subordinada Júnior; (xv) alteração na metodologia de valoração das Cotas…,190609_assembleia_assembleia_190609_2021-06-28.pdf
GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,18.185.812/0001-14,,Cotas Subordinadas Mezanino e (b) 1 (uma) classe de Cotas Subordinad,evento de cota,"R$300.000,00","deliberação da Assembleia Geral de Cotistas; III não possui taxa de ingresso, nem taxa de saída, e não possui taxa de desempenho ou de performance; IV possui Cotas de Classe Sênior e de Classe Subordinada (Mezanino e Júnior); V poderá emitir séries de Cotas da Classe Sênior com prazos e valores para amortização, resgate e remuneração distintos. As Cotas Subordinadas serão divididas em (a) um número indeterminado de…","al de 10 (dez) anos por deliberação da Assembleia Geral de Cotistas; III não possui taxa de ingresso, nem taxa de saída, e não possui taxa de desempenho ou de performance; IV possui Cotas de Classe Sênior e de Classe Subordinada (Mezanino e Júnior); V poderá emitir séries de Cotas da Classe Sênior com prazos e valores para amortização, resgate e remuneração distintos. As Cotas Subordinadas serão divididas em (a) um…",190610_regulamento_regulamento_190610_2021-06-28.pdf
GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,18.185.812/0001-14,,COTAS SENIORES DO,emissão,"R$ 140.000.000,00","Taxa DI + 4,5% a.a. | DO DE INVESTIMENTO E M DIREITOS CREDITÓRIOS MULTISSETORIAL LP (“Fundo”), vem, no âmbito da oferta pública com esforços restritos de colocação da 7ª (s étima) série de Cotas Seniores do Fundo, a qual foi deliberada pela Assembleia Geral de Cotistas realizada em 28 de junho de 20 21, informar que a sobretaxa e fetiva de remuneração das Cotas Seniores da 7ª (sétima) série, apurada em procedimento de coleta de intenções…","o: R$ 1.000,00 (um mil reais), na primeira data de integralização de cotas da série; d) Valor da emissão: R$ 140.000.000,00 (cento e quarenta milhões de reais); e) Aplicação mínima por investidor: R$ 300.000,00 (trezentos mil reais); f) Prazo de colocação: nos termos da Instrução CVM 476; g) Prazo de duração e data de resgate: 42 (quarenta e dois) meses, a contar da primeira integralização de cotas, sendo que no 42º…",191622_emissao_emissao_191622_2021-07-06.pdf
GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,18.185.812/0001-14,,9ª SÉRIE,evento de cota,"R$ 1 69.000.000,00","27° mês 28° mês 29° mês 30° mês 1/24 2/24 3/24 4/24 5/24 6/24 31° mês 32° mês 33° mês 34° mês 35° mês 36° mês 7/24 8/24 9/24 10/24 11/24 12/24 37° mês 38° mês 39° mês 40° mês 41° mês 42° mês 13/24 14/24 15/24 16/24 17/24 18/24 43° mês 44° mês 45° mês 46° mês 47° mês 48° mês 19/24 20/24 21/24 22/24 23/24 24/24 j) Remuneração alvo: Taxa média diária dos Depósitos Interfinanceiros – DI de 1 (um) dia, expressa na forma…","plicação mínima por investidor: R$ 100.000,00 (cem mil reais); f) Prazo de colocação: nos termos da instrução CVM 476. g) Prazo de duração da série: 4 8 (quarenta e oito) meses, a contar da primeira integralização de cotas; h) Prazo de carência: 24 meses, a contar da primeira integralização de cotas; i) Amortizações e Resgate: 25º mês até o 48º mês, a contar da data da primeira integralização de cotas, com o valor d…",306543_assembleia_assembleia_306543_2022-05-09.pdf
GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,18.185.812/0001-14,,Classe Mezanino 4”,emissão,"R$ 169.000.000,00","mês 28° mês 29° mês 30° mês 1/24 2/24 3/24 4/24 5/24 6/24 31° mês 32° mês 33° mês 34° mês 35° mês 36° mês 7/24 8/24 9/24 10/24 11/24 12/24 37° mês 38° mês 39° mês 40° mês 41° mês 42° mês 13/24 14/24 15/24 16/24 17/24 18/24 43° mês 44° mês 45° mês 46° mês 47° mês 48° mês 19/24 20/24 21/24 22/24 23/24 24/24 j) Remuneração alvo: Taxa média diária dos Depósitos Interfinanceiros – DI de 1 (um) dia, expressa na forma de p…","Aplicação mínima por investidor: R$ 100.000,00 (cem mil reais); f) Prazo de colocação: nos termos da instrução CVM 476. g) Prazo de duração da série: 48 (quarenta e oito) meses, a contar da primeira integralização de cotas; h) Prazo de carência: 24 meses, a contar da primeira integralização de cotas; i) Amortizações e Resgate : 25º mês até o 48º mês, a contar da data da primeira integralização de cotas, com o valor…",304202_emissao_emissao_304202_2022-05-13.pdf
GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,18.185.812/0001-14,,10ª SÉRIE,evento de cota,"R$ 30.000.000,00","27° mês 28° mês 29° mês 30° mês 1/24 2/24 3/24 4/24 5/24 6/24 31° mês 32° mês 33° mês 34° mês 35° mês 36° mês 7/24 8/24 9/24 10/24 11/24 12/24 37° mês 38° mês 39° mês 40° mês 41° mês 42° mês 13/24 14/24 15/24 16/24 17/24 18/24 43° mês 44° mês 45° mês 46° mês 47° mês 48° mês 19/24 20/24 21/24 22/24 23/24 24/24 j) Remuneração alvo: Taxa média diária dos Depósitos Interfinanceiros – DI de 1 (um) dia, expressa na forma…","ínima por investidor: R$ 1.000.000,00 (um milhão de reais); g) Prazo de colocação: nos termos da instrução CVM 400/482; g) Prazo de duração da série: 48 (quarenta e oito) meses, a contar da primeira integralização de cotas; h) Prazo de carência: 24 meses, a contar da primeira integralização de cotas; i) Amortizações e Resgate : 25º mês até o 48º mês, a contar da data da primeira integralização de cotas, com o valor…",322443_assembleia_assembleia_322443_2022-07-04.pdf
GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,18.185.812/0001-14,,9ª SÉRIE,evento de cota,,"dia imediatamente anterior, conforme cronograma e proporções abaixo. No 30º mês ocorrerá o resgate integral das cotas (1/1), o que se dará o encerramento da Série. 19° mês 20° mês 21° mês 22° mês 23° mês 24° mês 1/12 2/12 3/12 4/12 5/12 6/12 25° mês 26° mês 27° mês 28° mês 29° mês 30° mês 7/12 8/12 9/12 10/12 11/12 12/12 - Remuneração alvo: Taxa média diária dos Depósitos Interfinanceiros DI de 1 (um) dia, expressa…","ão conforme cálculo do valor unitário da Cota em cada data de integralização; - Prazo de colocação: nos termos da instrução CVM 400/482; - Prazo de duração da série: 30 (trinta) meses, a contar da primeira integralização de cotas; - Prazo de carência: 18 meses, a contar da primeira integralização de cotas; - Amortizações e Resgate: As amortizações serão realizadas a partir do 19º mês até o 30º mês, a contar da data…",344136_assembleia_assembleia_344136_2022-08-23.pdf
GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,18.185.812/0001-14,,Cotas Subordinadas serão divididas em (a)um número indeterminado de,evento de cota,"R$300.000,00","por deliberação da Assembleia Geral de Cotistas;III não possui taxa de ingresso, nem taxa de saída, e não possui taxa de desempenho ou de performance;IV possui Cotas de Classe Sênior e de Classe Subordinada (Mezanino e Júnior);V poderá emitir séries de Cotas da Classe Sênior com prazos e valores para amortização, resgate e remuneração distintos. As Cotas Subordinadas serão divididas em (a)um número indeterminado de…","ional de 10 (dez) anos por deliberação da Assembleia Geral de Cotistas;III não possui taxa de ingresso, nem taxa de saída, e não possui taxa de desempenho ou de performance;IV possui Cotas de Classe Sênior e de Classe Subordinada (Mezanino e Júnior);V poderá emitir séries de Cotas da Classe Sênior com prazos e valores para amortização, resgate e remuneração distintos. As Cotas Subordinadas serão divididas em (a)um n…",346325_regulamento_regulamento_346325_2022-08-25.pdf
GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,18.185.812/0001-14,,9ª Série,emissão,"R$ 1.00 0,00","amente anterior, conforme cronograma e proporções abaixo. No 30º mês ocorrerá o resgate integral das cotas (1/1), o que se dará o encerramento da Série. 19° mês 20° mês 21° mês 22° mês 23° mês 24° mês 1/12 2/12 3/12 4/12 5/12 6/12 25° mês 26° mês 27° mês 28° mês 29° mês 30° mês 7/12 8/12 9/12 10/12 11/12 12/12 i) Remuneração alvo: Taxa média diária dos Depósitos Interfinanceiros – DI de 1 (um) dia, expressa na forma…","me cálculo do valor unitário da Cota em cada data de integralização; e) Prazo de colocação: nos termos da instrução CVM 400/482; f) Prazo de duração da série: 30 (trinta) meses, a contar da primeira integralização de cotas; g) Prazo de carência: 18 meses, a contar da primeira integralização de cotas; h) Amortizações e Resgate: As amortizações serão realizadas a partir do 19º mês até o 30º mês, a contar da data da pr…",345707_emissao_emissao_345707_2022-08-29.pdf
GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,18.185.812/0001-14,,8ª Série,evento de cota,,,"rticipação na assembleia, presentes ainda os representantes da Administradora e da Gestora.3. MESA: Edson Vieira de LucenaPresidente; e Vinicius Hernandes Ribeiro MendesSecretário.4.ORDEM DO DIA / DELIBERAÇÕES: Os Cotistas presentes, representando 83,32% das Cotas Subordinadas Mezaninos II e III,sem ressalvas:a)Aprovaram o resgate total antecipado das Cotas da 1ª Emissão de Cotas Subordinadas da Classe Mezanino II ,…",400422_assembleia_assembleia_400422_2023-01-09.pdf
GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,18.185.812/0001-14,,Cotas Subordinadas Mezanino e (b)1 (uma) classe de Cotas Subordinada,evento de cota,"R$300.000,00","por deliberação da Assembleia Geral de Cotistas;III não possui taxa de ingresso, nem taxa de saída, e não possui taxa de desempenho ou de performance;IV possui Cotas de Classe Sênior e de Classe Subordinada (Mezanino e Júnior);V poderá emitir séries de Cotas da Classe Sênior com prazos e valores para amortização, resgate e remuneração distintos. As Cotas Subordinadas serão divididas em (a)um número indeterminado de…","ional de 10 (dez) anos por deliberação da Assembleia Geral de Cotistas;III não possui taxa de ingresso, nem taxa de saída, e não possui taxa de desempenho ou de performance;IV possui Cotas de Classe Sênior e de Classe Subordinada (Mezanino e Júnior);V poderá emitir séries de Cotas da Classe Sênior com prazos e valores para amortização, resgate e remuneração distintos. As Cotas Subordinadas serão divididas em (a)um n…",400423_regulamento_regulamento_400423_2023-01-09.pdf
GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,18.185.812/0001-14,,Classe Subordinada,evento de cota,,,ata da cessão não apresentem qualquer valor em atraso há mais de 5 (cinco) dias corridos junto ao Fundo ou que representem mais de 5%(cinco por cento) do Patrimônio Líquido; b)o Fundo somente poderá adquirir Direitos Creditórios que não estejam vencidos e pendentes de pagamento na Data da Aquisição e Pagamento;c)o prazo de vencimento de cada Direito Creditório representados por CCB ou NC a ser cedido deverá correspo…,466866_assembleia_assembleia_466866_2023-05-09.pdf
GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,18.185.812/0001-14,,Cotas Subordinadas Mezanino e (b)1 (uma) classe de Cotas Subordinada,evento de cota,"R$300.000,00","por deliberação da Assembleia Geral de Cotistas;III não possui taxa de ingresso, nem taxa de saída, e não possui taxa de desempenho ou de performance;IV possui Cotas de Classe Sênior e de Classe Subordinada (Mezanino e Júnior);V poderá emitir séries de Cotas da Classe Sênior com prazos e valores para amortização, resgate e remuneração distintos. As Cotas Subordinadas serão divididas em (a)um número indeterminado de…","ional de 10 (dez) anos por deliberação da Assembleia Geral de Cotistas;III não possui taxa de ingresso, nem taxa de saída, e não possui taxa de desempenho ou de performance;IV possui Cotas de Classe Sênior e de Classe Subordinada (Mezanino e Júnior);V poderá emitir séries de Cotas da Classe Sênior com prazos e valores para amortização, resgate e remuneração distintos. As Cotas Subordinadas serão divididas em (a)um n…",466867_regulamento_regulamento_466867_2023-05-09.pdf
