termo_canonico,aliases_grafias,termo_legado_pre_rcvm175,categoria,definicao_proposta,tipo_afirmacao,cnpj_fundo,fundo,segmento_oficial,subtipo_funcional_documental,pl,familia_documental_independente,documento,documento_id,documento_cnpj,data_versao,pagina,secao_clausula_artigo,trecho_curto,trecho_tipo,sha256,confianca,status,fonte_primaria,fonte_metodologica
fundo,,,regime e arquitetura,Fundo de investimento é comunhão de recursos sob condomínio de natureza especial.,normativa,,,,,,norma,Resolução CVM 175 — Parte Geral consolidada,rcvm_175_parte_geral,,verificado em 2026-07-16,,art. 4º,Fundo de investimento é comunhão de recursos sob condomínio de natureza especial.,paráfrase normativa; conferir artigo indicado,,alta,expandir,https://conteudo.cvm.gov.br/export/sites/cvm/legislacao/resolucoes/anexos/100/resol175consolid_ParteGeral.pdf,
classe e patrimônio segregado,,,regime e arquitetura,Cada classe possui patrimônio segregado; subclasse não recebe parcela patrimonial afetada.,normativa,,,,,,norma,Resolução CVM 175 — Parte Geral consolidada,rcvm_175_parte_geral,,verificado em 2026-07-16,,art. 5º,Cada classe possui patrimônio segregado; subclasse não recebe parcela patrimonial afetada.,paráfrase normativa; conferir artigo indicado,,alta,corrigir,https://conteudo.cvm.gov.br/export/sites/cvm/legislacao/resolucoes/anexos/100/resol175consolid_ParteGeral.pdf,
cota,,,regime e arquitetura,Cota corresponde a fração do patrimônio da classe.,normativa,,,,,,norma,Resolução CVM 175 — Parte Geral consolidada,rcvm_175_parte_geral,,verificado em 2026-07-16,,art. 14,Cota corresponde a fração do patrimônio da classe.,paráfrase normativa; conferir artigo indicado,,alta,corrigir,https://conteudo.cvm.gov.br/export/sites/cvm/legislacao/resolucoes/anexos/100/resol175consolid_ParteGeral.pdf,
"subclasse sênior, mezanino e subordinada",,,regime e arquitetura,Senioridade é atributo de subclasses de cotas dentro da classe.,normativa,,,,,,norma,Resolução CVM 175 — Anexo Normativo II de FIDC,rcvm_175_anexo_ii,,verificado em 2026-07-16,,"art. 2º, VIII a X",Senioridade é atributo de subclasses de cotas dentro da classe.,paráfrase normativa; conferir artigo indicado,,alta,corrigir,https://conteudo.cvm.gov.br/export/sites/cvm/legislacao/resolucoes/anexos/100/resol175consolid_Anexo02.pdf,
série,,,regime e arquitetura,Série é subconjunto de cotas seniores de classe fechada nas condições normativas.,normativa,,,,,,norma,Resolução CVM 175 — Anexo Normativo II de FIDC,rcvm_175_anexo_ii,,verificado em 2026-07-16,,"arts. 2º, XXIII, e 8º",Série é subconjunto de cotas seniores de classe fechada nas condições normativas.,paráfrase normativa; conferir artigo indicado,,alta,novo,https://conteudo.cvm.gov.br/export/sites/cvm/legislacao/resolucoes/anexos/100/resol175consolid_Anexo02.pdf,
índice referencial,,,oferta e remuneração,Índice usado como referência de rentabilidade de subclasse sênior ou mezanino.,normativa,,,,,,norma,Resolução CVM 175 — Anexo Normativo II de FIDC,rcvm_175_anexo_ii,,verificado em 2026-07-16,,"art. 2º, XIV",Índice usado como referência de rentabilidade de subclasse sênior ou mezanino.,paráfrase normativa; conferir artigo indicado,,alta,expandir,https://conteudo.cvm.gov.br/export/sites/cvm/legislacao/resolucoes/anexos/100/resol175consolid_Anexo02.pdf,
índice de subordinação,,,estrutura de capital,Relação mínima referente à subclasse subordinada ou mezanino e ao PL da classe.,normativa,,,,,,norma,Resolução CVM 175 — Anexo Normativo II de FIDC,rcvm_175_anexo_ii,,verificado em 2026-07-16,,"art. 2º, XV",Relação mínima referente à subclasse subordinada ou mezanino e ao PL da classe.,paráfrase normativa; conferir artigo indicado,,alta,corrigir,https://conteudo.cvm.gov.br/export/sites/cvm/legislacao/resolucoes/anexos/100/resol175consolid_Anexo02.pdf,
revolvência,,,ciclo da carteira,Aquisição de novos direitos com recursos da carteira conforme política e período definidos.,normativa,,,,,,norma,Resolução CVM 175 — Anexo Normativo II de FIDC,rcvm_175_anexo_ii,,verificado em 2026-07-16,,"art. 2º, XXII",Aquisição de novos direitos com recursos da carteira conforme política e período definidos.,paráfrase normativa; conferir artigo indicado,,alta,novo,https://conteudo.cvm.gov.br/export/sites/cvm/legislacao/resolucoes/anexos/100/resol175consolid_Anexo02.pdf,
rating da subclasse sênior,,,oferta e rating,Exigência específica quando cotas seniores são distribuídas ao público em geral.,normativa,,,,,,norma,Resolução CVM 175 — Anexo Normativo II de FIDC,rcvm_175_anexo_ii,,verificado em 2026-07-16,,"art. 13, V",Exigência específica quando cotas seniores são distribuídas ao público em geral.,paráfrase normativa; conferir artigo indicado,,alta,corrigir,https://conteudo.cvm.gov.br/export/sites/cvm/legislacao/resolucoes/anexos/100/resol175consolid_Anexo02.pdf,
verificação de lastro na aquisição,,,lastro,"Responsabilidade do gestor, com contratação e amostragem admitidas nas condições da norma.",normativa,,,,,,norma,Resolução CVM 175 — Anexo Normativo II de FIDC,rcvm_175_anexo_ii,,verificado em 2026-07-16,,art. 36,"Responsabilidade do gestor, com contratação e amostragem admitidas nas condições da norma.",paráfrase normativa; conferir artigo indicado,,alta,corrigir,https://conteudo.cvm.gov.br/export/sites/cvm/legislacao/resolucoes/anexos/100/resol175consolid_Anexo02.pdf,
