id,documento,tipo,arquivo_local,uso
467929,Regulamento 05/05/2023,regulamento,data/raw/50473039000102/467929_regulamento_regulamento_467929_2023-05-05.pdf,"Suplementos e cronogramas Sênior 1ª e 2ª séries, pp.115-120."
468755,AGE 22/05/2023,assembleia,data/raw/50473039000102/468755_assembleia_assembleia_468755_2023-05-22.pdf,Aprovação das primeiras séries.
471622,Aviso ao Mercado 30/05/2023,emissao,data/raw/50473039000102/471622_emissao_emissao_471622_2023-05-30.pdf,Liquidação 31/05/2023 e cronograma da oferta.
558803,AGE 23/11/2023,assembleia,data/raw/50473039000102/558803_assembleia_assembleia_558803_2023-11-23.pdf,Aprovação da 3ª/4ª séries e subordinada júnior.
559856,Anúncio de Início 27/11/2023,emissao,data/raw/50473039000102/559856_emissao_emissao_559856_2023-11-27.pdf,Oferta tradicional de mercado de R$300 mm (3ª e 4ª séries).
909546,AGO/E 19/05/2025,assembleia,data/raw/50473039000102/909546_assembleia_assembleia_909546_2025-05-19.pdf,Aprovação da emissão de 2025.
912093,Instrumento Particular de Emissão de Cotas 26/05/2025,emissao,data/raw/50473039000102/912093_assembleia_assembleia_912093_2025-05-26.pdf,"Sênior 5ª série: R$1,5 bi, DI+0,85%, cronograma até 15/05/2028."
912172,Anúncio de Início 28/05/2025,emissao,data/raw/50473039000102/912172_emissao_emissao_912172_2025-05-28.pdf,Primeira integralização em 29/05/2025.
932137,Anúncio de Encerramento 04/06/2025,emissao,data/raw/50473039000102/932137_emissao_emissao_932137_2025-06-04.pdf,Oferta integralmente subscrita por 2 instituições financeiras.
IME,Informes Mensais Estruturados 02/2025-03/2026,relatorios_administrador,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695/,"VNU, quantidade de cotas e evidência de pagamentos/amortizações."
MELI-10Q-1T26,"MercadoLibre Form 10-Q, 1T26, nota de securitization transactions",fonte externa,https://investor.mercadolibre.com/open-file?file=aHR0cHM6Ly9odHRwMi5tbHN0YXRpYy5jb20vc3RvcmFnZS9tbC1jbXMtYmFja2VuZC9jbXMtZG9jdW1lbnRzLXByb2Qvc2VjLzAwMDEwOTk1OTAvMDAwMTA5OTU5MC0yNi0wMDAwMTcvZm9ybTEwLVEtMDAwMTA5OTU5MC0yNi0wMDAwMTcucGRm,Corroboração externa dos meses de vencimento das séries 3 e 4: setembro/2026 e novembro/2026.
