Nome,FORNECEDORES MADEIRA MADEIRA I
Grupo,FIDC Madeira Madeira
CNPJ,38.658.727/0001-33
Páginas locais analisadas,595
Última competência IME,—
PL (R$ mm),—
Direitos creditórios / PL,—
Vencidos Over 30d / crédito,—
Vencidos Over 60d / crédito,—
Vencidos Over 90d / crédito,—
Vencidos Over 180d / crédito,—
Vencidos Over 360d / crédito,—
PDD / crédito,—
PDD / vencidos,—
Cotas sênior / PL,—
Cotas mezanino / PL,—
Cotas subordinadas / PL,—
Séries/classes emitidas identificadas,9
Volume emitido identificado (R$ mm),660
Primeira emissão identificada,09/02/2021
Última emissão identificada,11/09/2025
"Emissões detectadas (data, classe, preço e volume)","09/02/2021 · Cotas Seniores do Fundo · Sênior: R$ 110 mm; Rem DI + 4,2500% a.a.
22/02/2021 · Cotas Seniores do Fundo · Sênior: R$ 110 mm; Rem DI + 4,2500% a.a.
05/05/2023 · cotas seniores do Fundo no montante de · Sênior: R$ 110 mm; Rem DI + 4,2500% a.a.
13/06/2024 · Classe/série não identificada: Rem DI + 3,4800% a.a.
13/06/2024 · cotas seniores da 1ª (primeira) · Sênior: R$ 110 mm
29/07/2024 · cotas subordinadas · Subordinada: R$ 20 mm; Rem DI + 1,5000% a.a.
06/08/2024 · 2ª Série: R$ 20 mm
08/08/2024 · cotas seniores da 2ª (segunda) série do Fundo (“ AGC 29 · Sênior: R$ 20 mm; Rem DI + 1,5000% a.a.
14/08/2024 · Cotas Seniores emissão do Fundo · Sênior: R$ 20 mm
28/11/2024 · Cotas Seniores ou de · Sênior: termos econômicos não identificados
11/06/2025 · Cotas Seniores · Sênior: R$ 110 mm; Rem DI + 3,4800% a.a.
11/09/2025 · Cotas Subordinadas · Subordinada: R$ 30 mm"
Remuneração-alvo por emissão detectada,"09/02/2021 · Cotas Seniores do Fundo · Sênior: DI + 4,2500% a.a.
22/02/2021 · Cotas Seniores do Fundo · Sênior: DI + 4,2500% a.a.
05/05/2023 · cotas seniores do Fundo no montante de · Sênior: DI + 4,2500% a.a.
13/06/2024 · Classe/série não identificada: DI + 3,4800% a.a.
29/07/2024 · cotas subordinadas · Subordinada: DI + 1,5000% a.a.
08/08/2024 · cotas seniores da 2ª (segunda) série do Fundo (“ AGC 29 · Sênior: DI + 1,5000% a.a.
11/06/2025 · Cotas Seniores · Sênior: DI + 3,4800% a.a."
Amortização/vencimento por emissão detectada,—
Regulamento-base dos thresholds,28/11/2024 · 2024
Alocação mínima em DCs,>= 15%; >= 67%; 67%
Subordinação mínima,>= 10%; 10%
Evento de avaliação por atraso,—
Liquidação/vencimento por atraso,—
Cobertura mínima PDD,—
Reserva/caixa mínimo,>= 100%
Limite de recompra,—
Limite de cancelamento,"<= 0,20%; 0,20%"
Limite de chargeback/contestação,—
Limites de concentração,<= 100%
Hedges permitidos,texto; Regra textual de derivativos/hedge; verificar observação e fonte.
Cross default do cedente,—
Troca de gestor/administrador,texto; >= 50%
Critérios de elegibilidade,>= 67%; texto; Regra textual de elegibilidade dos direitos creditórios; verificar observação e fonte.
