Nome,MF GROUP NÃO PADRONIZADOS
Grupo,Ciapetro FIDC
CNPJ,47.424.724/0001-26
Páginas locais analisadas,169
Última competência IME,—
PL (R$ mm),—
Direitos creditórios / PL,—
Vencidos Over 30d / crédito,—
Vencidos Over 60d / crédito,—
Vencidos Over 90d / crédito,—
Vencidos Over 180d / crédito,—
Vencidos Over 360d / crédito,—
PDD / crédito,—
PDD / vencidos,—
Cotas sênior / PL,—
Cotas mezanino / PL,—
Cotas subordinadas / PL,—
Séries/classes emitidas identificadas,1
Volume emitido identificado (R$ mm),10
Primeira emissão identificada,28/07/2022
Última emissão identificada,28/07/2022
"Emissões detectadas (data, classe, preço e volume)",28/07/2022 · Classe/série não identificada: R$ 10 mm
Remuneração-alvo por emissão detectada,—
Amortização/vencimento por emissão detectada,—
Regulamento-base dos thresholds,05/06/2025 · 917703_regulamento_regulamento_917703_2025-06-05.pdf
Alocação mínima em DCs,>= 67%; 67%
Subordinação mínima,—
Evento de avaliação por atraso,—
Liquidação/vencimento por atraso,—
Cobertura mínima PDD,—
Reserva/caixa mínimo,—
Limite de recompra,—
Limite de cancelamento,—
Limite de chargeback/contestação,—
Limites de concentração,>= 50%; <= 50%
Hedges permitidos,texto; >=; Regra textual de derivativos/hedge; verificar observação e fonte.
Cross default do cedente,—
Troca de gestor/administrador,>=; texto
Critérios de elegibilidade,>=
