rank,cnpj_classe,denominacao,source_type,source_id,source_reference_date,source_delivery_date,source_title,supports_fields,source_url,download_url,fund_manager_url,local_path,read_status,consulted_at,source_note
1,09195235000150,FIDC DO SISTEMA PETROBRAS,ANBIMA Data,anbima:09195235000150:2025-12-29,2025-12-29,,ANBIMA Data — Fundos 175: características público,Tipo ANBIMA; Foco ANBIMA; origem da classificação,https://data.anbima.com.br/,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=09195235000150,/Users/matheusjprates/fidc/data/industry_study/industry_anbima_classification.csv.gz,oficial_anbima_snapshot,2026-07-16,A leitura documental é compatível com o Tipo/Foco oficial ANBIMA.
1,09195235000150,FIDC DO SISTEMA PETROBRAS,CVM Informe Mensal FIDC,universe_latest:2026-05:09195235000150,2026-05,,CVM Informe Mensal FIDC — fotografia por veículo/classe,ranking; PL; CNPJ de classe/fundo; administrador; gestor; custodiante,https://dados.cvm.gov.br/dataset/fidc-doc-inf_mensal,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=09195235000150,/Users/matheusjprates/fidc/data/industry_study/universe_latest.csv,linha reconciliada,2026-07-16,PL e prestadores vêm da fotografia CVM de mai/26; o ranking exclui FIC-FIDC.
1,09195235000150,FIDC DO SISTEMA PETROBRAS,CVM/FundosNet,fundosnet:792797,29/11/2024,29/11/2024 20:45,Regulamento,cedente; devedor; recebíveis; fluxo de cobrança; subclasses; prestadores,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=792797&cvm=true,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=792797,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=09195235000150,/Users/matheusjprates/fidc/data/raw/industry_large_funds/9195235000150/792797_regulamento.txt,texto_extraído,2026-07-16,Paráfrase conservadora; consultar o documento integral antes de publicar citação literal.
2,26287464000114,TAPSO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,ANBIMA Data,anbima:26287464000114:2025-12-29,2025-12-29,,ANBIMA Data — Fundos 175: características público,Tipo ANBIMA; Foco ANBIMA; origem da classificação,https://data.anbima.com.br/,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=26287464000114,/Users/matheusjprates/fidc/data/industry_study/industry_anbima_classification.csv.gz,oficial_anbima_snapshot,2026-07-16,O cadastro ANBIMA traz Financeiro/Crédito Pessoal; o regulamento consultado descreve predominantemente recebíveis de meios de pagamento. Manter as duas leituras separadas.
2,26287464000114,TAPSO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,CVM Informe Mensal FIDC,universe_latest:2026-05:26287464000114,2026-05,,CVM Informe Mensal FIDC — fotografia por veículo/classe,ranking; PL; CNPJ de classe/fundo; administrador; gestor; custodiante,https://dados.cvm.gov.br/dataset/fidc-doc-inf_mensal,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=26287464000114,/Users/matheusjprates/fidc/data/industry_study/universe_latest.csv,linha reconciliada,2026-07-16,PL e prestadores vêm da fotografia CVM de mai/26; o ranking exclui FIC-FIDC.
2,26287464000114,TAPSO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,CVM/FundosNet,fundosnet:1066031,17/12/2025,18/12/2025 17:29,Regulamento,cedentes; devedores; recebíveis de pagamento e sub-rogação; classes; subordinação,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1066031&cvm=true,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1066031,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=26287464000114,/Users/matheusjprates/fidc/data/raw/industry_large_funds/26287464000114/1066031_regulamento.txt,texto_extraído,2026-07-16,Paráfrase conservadora; consultar o documento integral antes de publicar citação literal.
3,62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,ANBIMA Data,anbima:62393679000183:2025-12-29,2025-12-29,,ANBIMA Data — Fundos 175: características público,Tipo ANBIMA; Foco ANBIMA; origem da classificação,https://data.anbima.com.br/,,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=62393679000183,/Users/matheusjprates/fidc/data/industry_study/industry_anbima_classification.csv.gz,oficial_anbima_snapshot,2026-07-16,O cadastro ANBIMA traz Outros/Multicarteira Outros; a estrutura econômica documental é de meios de pagamento.
3,62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CVM Informe Mensal FIDC,universe_latest:2026-05:62393679000183,2026-05,,CVM Informe Mensal FIDC — fotografia por veículo/classe,ranking; PL; CNPJ de classe/fundo; administrador; gestor; custodiante,https://dados.cvm.gov.br/dataset/fidc-doc-inf_mensal,https://dados.cvm.gov.br/dados/FIDC/DOC/INF_MENSAL/DADOS/,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=62393679000183,/Users/matheusjprates/fidc/data/industry_study/universe_latest.csv,linha reconciliada,2026-07-16,PL e prestadores vêm da fotografia CVM de mai/26; o ranking exclui FIC-FIDC.
3,62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CVM/FundosNet,fundosnet:1117954,19/02/2026,19/02/2026 15:26,Regulamento,cedente; devedores; recebíveis; classes; subordinação,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1117954&cvm=true,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1117954,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=62393679000183,/Users/matheusjprates/fidc/data/raw/industry_large_funds/62393679000183/1117954_regulamento.txt,texto_extraído,2026-07-16,Paráfrase conservadora; consultar o documento integral antes de publicar citação literal.
3,62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CVM/FundosNet,fundosnet:1166893,20/04/2026,20/04/2026 18:03,Oferta Pública de Distribuição de Cotas — Anúncio de Encerramento,oferta primária de 2026; volume; séries,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1166893&cvm=true,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1166893,https://fnet.bmfbovespa.com.br/fnet/publico/abrirGerenciadorDocumentosCVM?cnpjFundo=62393679000183,/Users/matheusjprates/fidc/data/raw/industry_large_funds/62393679000183/1166893_emissao.txt,texto_extraído,2026-07-16,Paráfrase conservadora; consultar o documento integral antes de publicar citação literal.
