Nome,MERCADO CRÉDITO II BRASIL,MERCADO CRÉDITO I BRASIL,MERCADO CRÉDITO
Grupo,Soma,Soma,Soma
CNPJ,41.970.012/0001-26,37.511.828/0001-14,33.254.370/0001-04
Páginas locais analisadas,2964,1951,1282
Última competência IME,03/2026,03/2026,03/2026
PL (R$ mm),R$ 1.690 mm,R$ 744 mm,R$ 2.683 mm
Direitos creditórios / PL,"159,9%","189,9%","132,8%"
Vencidos Over 30d / crédito,"17,5%","34,5%","6,0%"
Vencidos Over 60d / crédito,"15,3%","32,0%","4,9%"
Vencidos Over 90d / crédito,"13,4%","28,9%","3,8%"
Vencidos Over 180d / crédito,"7,6%","20,4%","1,1%"
Vencidos Over 360d / crédito,"0,0%","0,0%","0,0%"
PDD / crédito,"40,6%","49,5%","25,5%"
PDD / vencidos,"175,3%","123,4%","323,2%"
Cotas sênior / PL,"71,5%","68,7%","18,7%"
Cotas mezanino / PL,"18,8%","13,6%","0,0%"
Cotas subordinadas / PL,"9,7%","17,8%","81,3%"
Séries/classes emitidas identificadas,3,2,3
Volume emitido identificado (R$ mm),2.300,1.400,880
Primeira emissão identificada,09/08/2023,12/07/2024,03/09/2024
Última emissão identificada,19/12/2025,13/06/2025,03/03/2026
"Emissões detectadas (data, classe, preço e volume)","09/08/2023 · 2ª emissão sênior · Sênior: Qtd 1.247.000; Preço R$ 561,60; R$ 700 mm; Rem DI + 2,35% a.a.
19/12/2025 · 1ª emissão mezanino · Mezanino: Qtd 400.000; Preço R$ 1.000,00; R$ 400 mm; Rem DI + 5,25% a.a.
19/12/2025 · 1ª emissão sênior · Sênior: Qtd 1.200.000; Preço R$ 1.000,00; R$ 1.200 mm; Rem DI + 1,90% a.a.","12/07/2024 · Cota sênior única consolidada · Sênior: Qtd 1; Preço R$ 1.300.000.000,00; R$ 1.300 mm; Rem DI + 2,50% a.a.
13/06/2025 · 1ª emissão mezanino · Mezanino: Qtd 100.000; Preço R$ 1.000,00; R$ 100 mm; Rem DI + 5,25% a.a.","03/09/2024 · 2ª série sênior · Sênior: Qtd 80.000; Preço R$ 1.000,00; R$ 80 mm; Rem CDI + 3,50% a.a.
30/04/2025 · 3ª série sênior · Sênior: Qtd 300.000; Preço R$ 1.000,00; R$ 300 mm; Rem DI + 3,00% a.a.
03/03/2026 · 4ª série sênior · Sênior: Qtd 500.000; Preço R$ 1.000,00; R$ 500 mm; Rem DI + 2,50% a.a."
Remuneração-alvo por emissão detectada,"09/08/2023 · 2ª emissão sênior · Sênior: DI + 2,35% a.a.
19/12/2025 · 1ª emissão mezanino · Mezanino: DI + 5,25% a.a.
19/12/2025 · 1ª emissão sênior · Sênior: DI + 1,90% a.a.","12/07/2024 · Cota sênior única consolidada · Sênior: DI + 2,50% a.a.
13/06/2025 · 1ª emissão mezanino · Mezanino: DI + 5,25% a.a.","03/09/2024 · 2ª série sênior · Sênior: CDI + 3,50% a.a.
30/04/2025 · 3ª série sênior · Sênior: DI + 3,00% a.a.
03/03/2026 · 4ª série sênior · Sênior: DI + 2,50% a.a."
Amortização/vencimento por emissão detectada,"09/08/2023 · 2ª emissão sênior · Sênior: Amortização após 14/04/2027; resgate em 14/10/2031
19/12/2025 · 1ª emissão mezanino · Mezanino: 14/03/2026: 3,57%; 14/04/2026: 3,70%; 2026-2028 conforme apêndice; 14/06/2028: 100,00%
19/12/2025 · 1ª emissão sênior · Sênior: Amortização do principal a partir do mês subsequente à Data Limite de Investimento em Direitos Creditórios; resgate em 14/10/2031","12/07/2024 · Cota sênior única consolidada · Sênior: Principal pago mensalmente a partir do mês subsequente à Data Limite para Aquisição de Direitos Creditórios até o resgate em 01/03/2027
13/06/2025 · 1ª emissão mezanino · Mezanino: 15/07/2026: 2,78%; 15/08/2026: 2,86%; 15/09/2026: 2,94%; 15/10/2026: 3,03%; 15/11/2026: 3,13%; 15/12/2026: 3,23%; 2027-2029 conforme Anexo A; 15/06/2029: 100,00%","03/09/2024 · 2ª série sênior · Sênior: 30/01/2025: 8,33%; 28/02/2025: 9,09%; 30/03/2025: 10,00%; 30/04/2025: 11,11%; 30/05/2025: 12,50%; 30/06/2025: 14,29%; 30/07/2025: 16,67%; 30/08/2025: 20,00%; 30/09/2025: 25,00%;...
30/04/2025 · 3ª série sênior · Sênior: 31/05/2026: 4,1667%; 30/06/2026: 4,3478%; 31/07/2026: 4,5455%; 31/08/2026: 4,7619%; 30/09/2026: 5,0000%; 31/10/2026: 5,2632%; 30/11/2026: 5,5556%; 31/12/2026: 5,8824%; 31/01/202...
03/03/2026 · 4ª série sênior · Sênior: 31/10/2027: 5,56%; 30/11/2027: 5,88%; 31/12/2027: 6,25%; 31/01/2028: 6,67%; 29/02/2028: 7,14%; 31/03/2028: 7,69%; 30/04/2028: 8,33%; 31/05/2028: 9,09%; 30/06/2028: 10,00%; 31/07..."
Regulamento-base dos thresholds,19/12/2025 · 1077334_regulamento_regulamento_1077334_2025-12-19.pdf · ID 1077334,20/10/2025 · 1019776_regulamento_regulamento_1019776_2025-10-20.pdf · ID 1019776,03/03/2026 · 1128340_regulamento_regulamento_1128340_2026-03-03.pdf · ID 1128340
Alocação mínima em DCs,Direitos Creditórios / PL >= 67%; Índices de Gerenciamento adicionais aplicáveis,Direitos Creditórios / PL >= 50%,Direitos Creditórios Elegíveis / PL >= 67%
Subordinação mínima,Cotas Subordinadas Júnior / PL >= 10%,Subordinação estrutural >= 10%,Cotas Subordinadas / PL >= 7%
Evento de avaliação por atraso,—,Índice de Inadimplência Relevante <= 8%,Média móvel 3 meses do Índice de Atraso Over 30 <= 35%
Liquidação/vencimento por atraso,—,Índice de Inadimplência Relevante <= 7%,—
Cobertura mínima PDD,">= 0,0%",—,—
Reserva/caixa mínimo,—,<= 75%,">= 0,01%"
Hedges permitidos,Derivativos permitidos para caixa/liquidez até 20%,Derivativos/ativos de liquidez limitados conforme regra textual; referência de 20% em ativos/posições específicas,texto
