veiculo_id,wam_contratual_max_dias,wam_observado_dias,prazo_medio_recebivel_meses,prazo_max_recebivel_meses,vencimento_do_veiculo,prazo_do_veiculo_meses,duration_serie_mais_longa,gap_ativo_passivo_meses,periodo_revolvencia_meses,inicio_amortizacao,fonte_id,status,nota_metodo
FIDC_I,2135,n/d,n/d,126,n/d,n/d,n/d,n/d,12,2024-11-01,DOC_FIDC_I_REG_202411,Documentado,Regulamentos/suplementos não publicam vencimentos efetivos em vários FIDCs; teto de WAM não é WAM observado.
FIDC_II,2400,n/d,n/d,150,n/d,n/d,n/d,n/d,n/d,n/d,DOC_FIDC_II_REG_202412,Documentado,Regulamentos/suplementos não publicam vencimentos efetivos em vários FIDCs; teto de WAM não é WAM observado.
FIDC_III,2000,n/d,n/d,150,n/d,n/d,n/d,n/d,6,n/d,DOC_FIDC_III_REG_202512,Documentado,Regulamentos/suplementos não publicam vencimentos efetivos em vários FIDCs; teto de WAM não é WAM observado.
FIDC_IV,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,DOC_FIDC_IV_REG_202510,Documentado,Regulamentos/suplementos não publicam vencimentos efetivos em vários FIDCs; teto de WAM não é WAM observado.
FIDC_V,2400,n/d,n/d,156,n/d,n/d,n/d,n/d,n/d,n/d,DOC_FIDC_V_REG_202411,Documentado,Regulamentos/suplementos não publicam vencimentos efetivos em vários FIDCs; teto de WAM não é WAM observado.
FIDC_VI,2400,n/d,n/d,126,n/d,n/d,n/d,n/d,n/d,n/d,DOC_FIDC_VI_REG_202605,Documentado,Regulamentos/suplementos não publicam vencimentos efetivos em vários FIDCs; teto de WAM não é WAM observado.
FIDC_VII,2400,n/d,n/d,126,n/d,n/d,n/d,n/d,12,mês 61 ou PL R$100 mi,DOC_FIDC_VII_REG_202605,Documentado,Regulamentos/suplementos não publicam vencimentos efetivos em vários FIDCs; teto de WAM não é WAM observado.
CRI_K1,2000,n/d,n/d,126.3,2036-01-15,144.0,n/d,78.3,n/d,conforme disponibilidade e waterfall,ANX_CRI1_PROSP_20240216,Documentado,Gap usa o prazo legal da série mais longa menos o teto de WAM; prazo médio observado permanece n/d.
CRI_K2,2000,n/d,n/d,126.3,2034-06-07,119.4,n/d,53.7,n/d,conforme disponibilidade e waterfall,ANX_CRI2_RATING_202406,Documentado,Gap usa o prazo legal da série mais longa menos o teto de WAM; prazo médio observado permanece n/d.
CRI_K3,2000,n/d,n/d,126.3,2037-05-08,143.3,n/d,77.60000000000001,n/d,conforme disponibilidade e waterfall,ANX_CRI3_LAM_PREL_20250422,Documentado,Gap usa o prazo legal da série mais longa menos o teto de WAM; prazo médio observado permanece n/d.
CRI_K4,2000,n/d,n/d,126.3,2037-09-22,143.8,n/d,78.10000000000001,n/d,conforme disponibilidade e waterfall,ANX_CRI4_INICIO_20250929,Documentado,Gap usa o prazo legal da série mais longa menos o teto de WAM; prazo médio observado permanece n/d.
CRI_V174,2000,n/d,n/d,126.3,2038-05-20,144.0,n/d,78.3,n/d,conforme disponibilidade e waterfall,ANX_CRIV_LAM_PREL_20260417,Documentado,Gap usa o prazo legal da série mais longa menos o teto de WAM; prazo médio observado permanece n/d.
CRI_V177,2000,n/d,n/d,126.3,2038-07-20,144.0,n/d,78.3,n/d,conforme disponibilidade e waterfall,CVM_FUNDOSNET_VERT177_20260720,Documentado,Gap usa o prazo legal da série mais longa menos o teto de WAM; prazo médio observado permanece n/d.
