veiculo_id,adimplencia_na_cessao,seasoning_minimo_meses,idade_maxima_devedor,prazo_max_recebivel_dias,prazo_max_recebivel_meses,wam_max_dias,ticket_max_PF_R$,ticket_max_PJ_R$,tipos_de_ativo,carencia_max_dias,preco_max_aquisicao_pct_saldo,preco_efetivo_aquisicao_pct_saldo,quem_atesta_elegibilidade,restricao_geografica,restricao_score,vedacoes_expressas,redacao_literal,fonte_id,status,nota_metodo
FIDC_I,Direito creditório performado; condições documentais e operacionais,n/d,70,3836,126.0,2135,201000,502000,CCB de financiamento solar,n/d,1.004,n/d,Gestor; custodiante verifica documentação,n/d,n/d,créditos não elegíveis; limites de concentração e integrador,"WAM não superior a 2.135 dias; preço de aquisição não superior a 100,4%",DOC_FIDC_I_REG_202411,Documentado,Limite contratual; preço efetivo permanece n/d quando o documento não publica o denominador.
FIDC_II,Devedor e direito sem atraso,n/d,70,4500,147.8,2400,300000,500000,CCB pré ou pós-fixada,180,1.005,n/d,Gestor,n/d,n/d,direitos/devedores inadimplentes,"WAM máximo de 2.400 dias; preço de aquisição limitado a 100,5%",DOC_FIDC_II_REG_202412,Documentado,Limite contratual; preço efetivo permanece n/d quando o documento não publica o denominador.
FIDC_III,Devedor e direito adimplentes,n/d,71,3845,126.3,2000,350000,600000,CCB pré-fixada,185,n/d,n/d,Gestor,n/d,n/d,crédito não performado e seleção adversa,WAM máximo de 2.000 dias; valor nominal máximo de R$350 mil/R$600 mil,DOC_FIDC_III_REG_202512,Documentado,Limite contratual; preço efetivo permanece n/d quando o documento não publica o denominador.
FIDC_IV,Devedor adimplente,n/d,70,n/d,n/d,n/d,n/d,n/d,CCB de financiamento solar,5,n/d,n/d,Administrador/gestor,n/d,n/d,direitos fora dos critérios do regulamento,devedor adimplente; verificação de carência em até 5 dias úteis,DOC_FIDC_IV_REG_202510,Documentado,Limite contratual; preço efetivo permanece n/d quando o documento não publica o denominador.
FIDC_V,Devedor e direito adimplentes,n/d,70,4760,156.4,2400,500000,700000,CCB PF/PJ; CPR-F até 15% do PL,366,1.005,n/d,Gestor,n/d,n/d,pré-fixados acima de 15%; integrador acima dos limites,"WAM máximo de 2.400 dias; preço de aquisição limitado a 100,5%",DOC_FIDC_V_REG_202411,Documentado,Limite contratual; preço efetivo permanece n/d quando o documento não publica o denominador.
FIDC_VI,Devedor e direito sem atraso,n/d,71,3836,126.0,2400,350000,700000,CCB pré-fixada,185,1.01,n/d,Gestor,n/d,n/d,balloon; seleção adversa; direitos vencidos,WAM máximo de 2.400 dias; preço de aquisição limitado a 101%,DOC_FIDC_VI_REG_202605,Documentado,Limite contratual; preço efetivo permanece n/d quando o documento não publica o denominador.
FIDC_VII,Devedor e direito sem atraso,n/d,71,3836,126.0,2400,350000,700000,CCB pré-fixada,185,1.04,n/d,Gestor,n/d,n/d,balloon; seleção adversa; direitos vencidos,preço de aquisição limitado a 104% do saldo contábil,DOC_FIDC_VII_REG_202605,Documentado,Limite contratual; preço efetivo permanece n/d quando o documento não publica o denominador.
CRI_K1,Direito não vencido e devedor adimplente,n/d,71,3845,126.3,2000,350000,600000,CCB pré-fixada,185,n/d,n/d,Solfácil atesta; securitizadora verifica,n/d,n/d,crédito não performado,"WAM pro forma até 2.000 dias; devedor individual 0,10%; top 10 1,00%",ANX_CRI1_PROSP_20240216,Documentado,Limite contratual; preço efetivo permanece n/d quando o documento não publica o denominador.
CRI_K2,Direito não vencido e devedor adimplente,n/d,71,3845,126.3,2000,350000,600000,CCB pré-fixada,185,n/d,n/d,Solfácil/FIDCs; securitizadora verifica,n/d,n/d,crédito não performado,WAM pro forma até 2.000 dias; novados limitados a 5%,ANX_CRI2_RATING_202406,Documentado,Limite contratual; preço efetivo permanece n/d quando o documento não publica o denominador.
CRI_K3,Direito e devedor adimplentes,n/d,71,3845,126.3,2000,350000,700000,CCB pré-fixada,185,n/d,n/d,Securitizadora com dados dos cedentes,n/d,n/d,crédito não performado,WAM pro forma até 2.000 dias; valor presente PF R$350 mil/PJ R$700 mil,ANX_CRI3_LAM_PREL_20250422,Documentado,Limite contratual; preço efetivo permanece n/d quando o documento não publica o denominador.
