tipo,indicador_ou_etapa,valor,unidade,data_base,fonte_id,status,leitura,nota_metodo
indicador,FIDCs confirmados,7,veículos,2026-07-31,UNIVERSO_SEARCH_20260822,Documentado,Sete fundos/classes I–VII; busca por VIII+ sem ocorrência.,Todos os números desta aba aparecem detalhados nos CSVs analíticos.
indicador,Operações de CRI,6,operações,2026-08-22,UNIVERSO_SEARCH_20260822,Documentado,Kanastra 1ª–4ª e VERT 174ª/177ª.,Todos os números desta aba aparecem detalhados nos CSVs analíticos.
indicador,Séries de CRI,34,séries totais,2026-08-22,CVM_FUNDOSNET_VERT177_20260720 | CVM_CRI_2026_CLASSE,Documentado,Inclui séries privadas.,Todos os números desta aba aparecem detalhados nos CSVs analíticos.
indicador,Classes/subclasses FIDC,25,classes,2026-07-31,CVM_FIDC_202607_X2,Documentado,Posição da última competência.,Todos os números desta aba aparecem detalhados nos CSVs analíticos.
indicador,Volume nominal total,3670.66282189,R$ mi,2026-08-22,CVM_FUNDOSNET_TERMOS_CRI_20260822,Documentado,Soma nominal das 34 séries; o agregado público CVM permanece em linha separada.,Todos os números desta aba aparecem detalhados nos CSVs analíticos.
indicador,Volume público registrado,3563.628,R$ mi,2026-08-22,CVM_OFERTAS_RCVM160_20260822,Documentado,Soma do Valor_Total_Registrado das seis ofertas.,Todos os números desta aba aparecem detalhados nos CSVs analíticos.
indicador,PL dos FIDCs,1234.70107138,R$ mi,2026-07-31,CVM_FIDC_202607_I_IV,Documentado,Soma simples dos sete veículos na mesma competência.,Todos os números desta aba aparecem detalhados nos CSVs analíticos.
indicador,CRIs com Informe Mensal,5,operações,2026-08-22,CVM_CRI_2026_GERAL_ATIVO,Documentado,VERT 177 ainda sem competência publicada.,Todos os números desta aba aparecem detalhados nos CSVs analíticos.
indicador,Cessões documentadas,4,linhas,2026-08-22,ANX_CRI1_PROSP_20240216 | ANX_CRI2_RATING_202406,Documentado,FIDC II/IV para CRI 1/2.,Todos os números desta aba aparecem detalhados nos CSVs analíticos.
indicador,Conflitos reconciliados,20,campos,2026-08-22,METH_RECONCILIACAO,Documentado,Cada decisão permanece na aba Conflitos.,Todos os números desta aba aparecem detalhados nos CSVs analíticos.
mapa,Originação Solfácil,1,etapa,2026-08-22,METH_COMPARACAO_FIDC_CRI,Inferido,CCBs de financiamento solar entram no programa.,Todos os números desta aba aparecem detalhados nos CSVs analíticos.
mapa,Warehouse FIDC,2,etapa,2026-08-22,METH_COMPARACAO_FIDC_CRI,Inferido,FIDCs acumulam e financiam créditos durante a revolvência permitida.,Todos os números desta aba aparecem detalhados nos CSVs analíticos.
mapa,Take-out CRI,3,etapa,2026-08-22,METH_COMPARACAO_FIDC_CRI,Inferido,Cessão transfere um pool elegível para o patrimônio separado.,Todos os números desta aba aparecem detalhados nos CSVs analíticos.
mapa,Investidores,4,etapa,2026-08-22,CVM_OFERTAS_RCVM160_20260822,Inferido,Séries públicas e privadas distribuem risco por camada.,Todos os números desta aba aparecem detalhados nos CSVs analíticos.
pergunta,P1 — descasamento de prazo,05_Prazos_WAM,aba,2026-08-22,METH_COMPARACAO_FIDC_CRI,Inferido,"Prazo médio observado do recebível e prazo legal dos FIDCs estão n/d; os CRIs têm 119,4–144,0 meses. Suplementos dos FIDCs são necessários para quantificar rollover.",Todos os números desta aba aparecem detalhados nos CSVs analíticos.
pergunta,P2 — seleção do pool,03_Elegibilidade + 11_Matriz_FIDC_CRI,abas,2026-08-22,METH_MATRIZ_ELEGIBILIDADE,Inferido,"Os CRIs exigem adimplência, WAM de 2.000 dias, prazo e tickets máximos. Seasoning, MoB e safra performada permanecem n/d.",Todos os números desta aba aparecem detalhados nos CSVs analíticos.
pergunta,P3 — antes e depois,14_Antes_Depois,aba,2026-08-22,CVM_FIDC_2023_I_IV_V_X2 | CVM_FIDC_2024_I_IV_V_X2,Inferido,"PDD e atraso mudam ao redor das cessões; sem tape por CCB, o dado agregado não separa seleção do pool e mudança do denominador.",Todos os números desta aba aparecem detalhados nos CSVs analíticos.
pergunta,P4 — saque da subordinada,07_Subordinada,aba,2026-08-22,METH_RECONCILIACAO,Inferido,Os sete FIDCs permitem saque condicionado. CRIs I e II pagam a subordinada pelo waterfall. Valores e datas de saques observados permanecem n/d.,Todos os números desta aba aparecem detalhados nos CSVs analíticos.
pergunta,P5 — pró-rata e sequencial,06_Waterfall + 07_Subordinada,abas,2026-08-22,METH_WATERFALL_COMPARATIVO,Inferido,O pró-rata vigora enquanto testes e prazos permitem; evento ou passagem do tempo ativa sequência. A júnior sai apenas quando os testes contratuais passam.,Todos os números desta aba aparecem detalhados nos CSVs analíticos.
pergunta,P6 — curva de amortização,13_Cronograma_Pagamentos,aba,2026-08-22,CVM_CRI_2024_CLASSE | CVM_CRI_2025_CLASSE | CVM_CRI_2026_CLASSE,Inferido,O realizado vem do Informe Mensal com lacunas de unidade preservadas. Curvas projetadas por série estão n/d porque os cronogramas mensais não foram localizados.,Todos os números desta aba aparecem detalhados nos CSVs analíticos.
pergunta,P7 — custo de captação,12_Custo_Captacao,aba,2026-08-22,B3_CURVA_DI_20260822 | ANBIMA_CURVA_20260822,Inferido,"Taxas contratadas estão documentadas; custo all-in comparável permanece n/d sem curvas datadas, custos completos, hedge e preço de cessão.",Todos os números desta aba aparecem detalhados nos CSVs analíticos.
pergunta,P8 — matriz de cessão,11_Matriz_FIDC_CRI + 11b_Cessoes,abas,2026-08-22,METH_MATRIZ_ELEGIBILIDADE,Inferido,"FIDCs II e IV cederam para CRIs I e II. Os demais estados Pode ceder são inferências de mandato e critérios, sem prova de uma fita concreta.",Todos os números desta aba aparecem detalhados nos CSVs analíticos.
