veiculo_id,regime,ordem_1,ordem_2,ordem_3,ordem_4,ordem_5,gatilho_de_mudanca_para_sequencial,quem_recebe_juros_antes_de_principal,super_senior_prioridade,senior_prioridade,mezanino_prioridade,junior_prioridade,cash_sweep,reserva_de_despesas,reserva_de_juros,reserva_MTM,fonte_id,status,nota_metodo
FIDC_I,pró-rata condicionado; sequencial na liquidação,despesas e reservas,sênior até alvo,mezanino A até alvo,mezanino B e júnior proporcionalmente,desde mês 73: sênior e A pró-rata; depois B e júnior,eventos de avaliação/liquidação,sênior,sênior,sênior,mezanino A/B,júnior,sim,6 meses,n/d,n/d,DOC_FIDC_I_REG_202411,Documentado,Ordem resumida; o texto contratual integral prevalece.
FIDC_II,target até mês 59; sequencial desde mês 60,despesas,sênior até target,mezanino até target,júnior,desde mês 60: sênior integral → mezanino → júnior,evento de venda ou liquidação,sênior,sênior,sênior,mezanino,júnior,sim,3 meses,n/d,n/d,DOC_FIDC_II_REG_202412,Documentado,Ordem resumida; o texto contratual integral prevalece.
FIDC_III,pró-rata até mês 47; sequencial desde mês 48/desalavancagem,despesas e reservas,sênior,mezanino A,derivativos e mezanino B,júnior,atraso desenquadrado por 10 DU; mês 48,sênior,sênior,sênior,A antes de B,júnior,sim,n/d,n/d,derivativos,DOC_FIDC_III_REG_202512,Documentado,Ordem resumida; o texto contratual integral prevalece.
FIDC_IV,ordem operacional; pró-rata formal n/d,despesas,benchmark sênior,benchmark mezanino,reservas,amortização extraordinária júnior e compras,eventos de liquidação,sênior,sênior,sênior,mezanino,júnior,n/d,n/d,n/d,n/d,DOC_FIDC_IV_REG_202510,Documentado,Ordem resumida; o texto contratual integral prevalece.
FIDC_V,pró-rata condicionado até mês 72; liquidação sequencial,despesas e reservas,sênior até alvo,mezanino até alvo,reserva de amortização,júnior e cura; desde mês 73 sênior/mezanino pró-rata,eventos de avaliação/liquidação,sênior,sênior,sênior,mezanino,júnior,sim,n/d,n/d,n/d,DOC_FIDC_V_REG_202411,Documentado,Ordem resumida; o texto contratual integral prevalece.
FIDC_VI,pró-rata; sequencial após desalavancagem,despesas/reserva/derivativos,sênior,mezanino A,mezanino B e reserva MTM,saque júnior; aquisição,coberturas/atraso-90; aceleração definitiva,sênior,sênior,sênior,A antes de B,júnior após públicas,sim,3 meses,n/d,menor entre MTM negativo e 1% do nocional,DOC_FIDC_VI_REG_202605,Documentado,Ordem resumida; o texto contratual integral prevalece.
FIDC_VII,revolvência 12m; pró-rata por targets; sequencial após evento,despesas/reservas/derivativos,sênior,mezanino A,mezanino B,júnior,evento encerra revolvência; aceleração definitiva,sênior,sênior,sênior,A antes de B,júnior,sim,3 meses,n/d,menor entre MTM negativo e 1% do PL,DOC_FIDC_VII_REG_202605,Documentado,Ordem resumida; o texto contratual integral prevalece.
CRI_K1,pró-rata até mês 47; sequencial desde mês 48/evento,despesas,recomposição da reserva,juros por camada,amortização por repasses 54/15/18/5/8,prêmio residual S5 após S1–S4,atraso estoque >15% em 2 verificações ou downgrade 2 níveis,juros por camada,S1,S1,S2/S3/S4,S5; prêmio residual travado,sim,"R$0,905 mi inicial",n/d,n/d,ANX_CRI1_PROSP_20240216,Documentado,Ordem resumida; o texto contratual integral prevalece.
CRI_K2,pró-rata até mês 47; sequencial desde mês 48/evento,despesas,reserva,juros por camada,amortização por repasses,júnior/residual conforme termo,atraso >15% em 3 verificações; downgrade; cobertura,juros por camada,S1,S1,S2/S3/S4,S5,sim,n/d,n/d,n/d,ANX_CRI2_RATING_202406,Documentado,Ordem resumida; o texto contratual integral prevalece.
CRI_K3,regime detalhado n/d na lâmina,despesas,reserva,remuneração,amortização conforme disponibilidade,n/d,termo definitivo necessário,n/d,S1/S2,S1/S2,S3/S4/S5,S6,n/d,n/d,n/d,n/d,ANX_CRI3_LAM_PREL_20250422,Documentado,Ordem resumida; o texto contratual integral prevalece.
CRI_K4,pró-rata/sequencial conforme termo; detalhe n/d no anúncio,despesas,reserva,remuneração,amortização,n/d,termo definitivo necessário,n/d,S1/S2,S1/S2,S3–S6,S7,n/d,n/d,n/d,n/d,ANX_CRI4_INICIO_20250929,Documentado,Ordem resumida; o texto contratual integral prevalece.
CRI_V174,regime detalhado n/d na lâmina,despesas,reserva,remuneração,amortização conforme disponibilidade,n/d,termo definitivo necessário,n/d,S1/S2,S1/S2,S3–S5,S6,n/d,n/d,n/d,n/d,ANX_CRIV_LAM_PREL_20260417,Documentado,Ordem resumida; o texto contratual integral prevalece.
CRI_V177,n/d,n/d,n/d,n/d,n/d,n/d,termo integral necessário,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,CVM_FUNDOSNET_VERT177_20260720,n/d,Ordem resumida; o texto contratual integral prevalece.
